,County,Total_Population,Male_Population,Female_Population,Total_currently_attending_title,Male_currently_attending_title,Female_currently_attending_title,Total_currently_attending_County_Sub_County,Male_currently_attending_County_Sub_County,Female_currently_attending_County_Sub_County,Total_currently_attending_County_Sub_County_original,Male_currently_attending_County_Sub_County_original,Female_currently_attending_County_Sub_County_original,Total_currently_attending_Total_astrsk,Male_currently_attending_Total_astrsk,Female_currently_attending_Total_astrsk,Total_currently_attending_Pre_Primary,Male_currently_attending_Pre_Primary,Female_currently_attending_Pre_Primary,Total_currently_attending_Primary,Male_currently_attending_Primary,Female_currently_attending_Primary,Total_currently_attending_Secondary,Male_currently_attending_Secondary,Female_currently_attending_Secondary,Total_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Male_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Female_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Total_currently_attending_University,Male_currently_attending_University,Female_currently_attending_University,Total_currently_attending_Adult_Basic_Education,Male_currently_attending_Adult_Basic_Education,Female_currently_attending_Adult_Basic_Education,Total_currently_attending_Madrasa_slash_Duksi,Male_currently_attending_Madrasa_slash_Duksi,Female_currently_attending_Madrasa_slash_Duksi,Total_currently_attending_Dont_Know,Male_currently_attending_Dont_Know,Female_currently_attending_Dont_Know,Total_currently_attending_Not_Stated,Male_currently_attending_Not_Stated,Female_currently_attending_Not_Stated,Total_highest_edu_title,Male_highest_edu_title,Female_highest_edu_title,Total_highest_edu_County_slash_Sub_County,Male_highest_edu_County_slash_Sub_County,Female_highest_edu_County_slash_Sub_County,Total_highest_edu_Total_astrsk,Male_highest_edu_Total_astrsk,Female_highest_edu_Total_astrsk,Total_highest_edu_Pre_Primary,Male_highest_edu_Pre_Primary,Female_highest_edu_Pre_Primary,Total_highest_edu_Primary,Male_highest_edu_Primary,Female_highest_edu_Primary,Total_highest_edu_Secondary,Male_highest_edu_Secondary,Female_highest_edu_Secondary,Total_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Male_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Female_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Total_highest_edu_University,Male_highest_edu_University,Female_highest_edu_University,Total_highest_edu_Adult_Basic_Education,Male_highest_edu_Adult_Basic_Education,Female_highest_edu_Adult_Basic_Education,Total_highest_edu_Madrasa_slash_Duksi,Male_highest_edu_Madrasa_slash_Duksi,Female_highest_edu_Madrasa_slash_Duksi,Total_highest_edu_None,Male_highest_edu_None,Female_highest_edu_None,Total_highest_edu_Dont_Know,Male_highest_edu_Dont_Know,Female_highest_edu_Dont_Know,Total_highest_edu_Not_Stated,Male_highest_edu_Not_Stated,Female_highest_edu_Not_Stated
126,KILUNGU,"25,498","12,802","12,696",KILUNGU,KILUNGU,KILUNGU,Total,Male,Female,KILUNGU,Male,Female,"25,498","12,802","12,696","3,516","1,816","1,700","15,571","7,818","7,753","5,412","2,623","2,789",464,225,239,443,272,171,27,15,12,1,-,1,64,33,31,-,-,-,KILUNGU,KILUNGU,KILUNGU,KILUNGU,Male,Female,"52,526","25,443","27,082","2,429","1,208","1,221","31,204","14,761","16,442","11,532","5,647","5,885","2,577","1,279","1,298",893,548,345,23,14,9,-,-,-,"3,615","1,871","1,744",66,97,250,49,41,201
127,MAKINDU,"33,771","17,300","16,471",MAKINDU,MAKINDU,MAKINDU,Total,Male,Female,MAKINDU,Male,Female,"33,771","17,300","16,471","4,757","2,535","2,222","20,596","10,615","9,981","7,001","3,424","3,577",693,298,395,617,372,245,34,17,17,1,1,-,72,38,34,-,-,-,MAKINDU,MAKINDU,MAKINDU,MAKINDU,Male,Female,"70,628","35,212","35,416","3,852","2,045","1,807","39,795","19,469","20,326","15,853","7,842","8,011","4,140","1,979","2,161","1,536",981,555,34,17,17,1,1,-,"4,966","2,631","2,335",139,111,586,108,93,139
128,MBOONI EAST,"39,608","20,632","18,975",MBOONI EAST,MBOONI EAST,MBOONI EAST,Total,Male,Female,MBOONI EAST,Male,Female,"39,608","20,632","18,975","5,307","2,761","2,545","23,053","12,079","10,974","9,494","4,819","4,675",853,460,393,776,457,319,43,14,29,1,1,-,81,41,40,-,-,-,MBOONI EAST,MBOONI EAST,MBOONI EAST,MBOONI EAST,Male,Female,"83,425","41,942","41,482","5,317","2,772","2,545","46,619","23,080","23,539","19,163","9,630","9,533","4,852","2,449","2,403","1,490",919,571,44,14,30,-,-,-,"5,464","2,830","2,633",145,153,384,103,75,202
129,MBOONI WEST,"42,564","21,819","20,745",MBOONI WEST,MBOONI WEST,MBOONI WEST,Total,Male,Female,MBOONI WEST,Male,Female,"42,564","21,819","20,745","5,479","2,783","2,696","25,720","13,318","12,402","9,734","4,820","4,914",834,442,392,659,376,283,26,13,13,-,-,-,112,67,45,-,-,-,MBOONI WEST,MBOONI WEST,MBOONI WEST,MBOONI WEST,Male,Female,"88,610","43,407","45,202","4,523","2,330","2,193","50,152","24,146","26,006","21,010","10,292","10,718","5,094","2,514","2,579","1,567",965,602,21,13,8,-,-,-,"5,657","2,865","2,792",170,214,232,112,90,111
130,MUKAA,"39,315","20,066","19,249",MUKAA,MUKAA,MUKAA,Total,Male,Female,MUKAA,Male,Female,"39,315","20,066","19,249","5,642","2,911","2,731","22,929","11,722","11,207","8,960","4,436","4,524",873,435,438,824,509,315,17,10,7,4,2,2,66,41,25,-,-,-,MUKAA,MUKAA,MUKAA,MUKAA,Male,Female,"91,871","47,042","44,829","4,684","2,366","2,318","50,206","25,373","24,833","23,465","12,157","11,308","5,463","2,796","2,667","1,848","1,150",698,19,11,8,1,-,1,"5,842","3,013","2,829",117,115,408,59,52,251
131,NZAUI,"50,750","25,936","24,812",NZAUI,NZAUI,NZAUI,Total,Male,Female,NZAUI,Male,Female,"50,750","25,936","24,812","6,552","3,337","3,215","30,445","15,648","14,796","11,565","5,747","5,817","1,048",527,521,"1,007",603,404,22,12,10,-,-,-,111,62,49,-,-,-,NZAUI,NZAUI,NZAUI,NZAUI,Male,Female,"107,060","54,172","52,885","4,881","2,456","2,425","60,964","30,568","30,394","25,239","12,846","12,392","6,420","3,189","3,231","2,142","1,352",790,20,11,9,-,-,-,"6,735","3,412","3,323",207,201,"1,211",131,120,243
132,NYANDARUA,"249,756","128,283","121,466",NYANDARUA,NYANDARUA,NYANDARUA,Total,Male,Female,NYANDARUA,Male,Female,"249,756","128,283","121,466","40,050","20,651","19,398","136,401","70,491","65,906","61,944","31,052","30,890","6,030","3,039","2,991","4,970","2,863","2,107",107,37,70,2,-,2,252,150,102,-,-,-,NYANDARUA,NYANDARUA,NYANDARUA,NYANDARUA,Male,Female,"554,036","277,223","276,797","22,418","11,457","10,960","304,961","152,064","152,887","146,945","72,031","74,911","27,565","13,821","13,744","9,751","6,070","3,681",68,33,35,1,1,-,"40,873","21,016","19,856",592,619,127,138,104,37
133,KINANGOP,"43,363","22,094","21,268",KINANGOP,KINANGOP,KINANGOP,Total,Male,Female,KINANGOP,Male,Female,"43,363","22,094","21,268","6,444","3,273","3,170","23,929","12,334","11,595","11,155","5,465","5,690",993,526,467,799,468,331,18,10,8,-,-,-,25,18,7,-,-,-,KINANGOP,KINANGOP,KINANGOP,KINANGOP,Male,Female,"96,274","47,838","48,433","3,899","2,004","1,895","54,233","26,910","27,321","25,483","12,417","13,066","4,442","2,169","2,273","1,500",926,574,12,8,4,1,1,-,"6,540","3,318","3,221",64,63,166,21,16,15
134,NYANDARUA SOUTH,"37,199","19,039","18,158",NYANDARUA SOUTH,NYANDARUA SOUTH,NYANDARUA SOUTH,Total,Male,Female,NYANDARUA SOUTH,Male,Female,"37,199","19,039","18,158","5,746","2,942","2,804","20,197","10,438","9,758","9,463","4,726","4,736",983,470,513,770,439,331,11,3,8,1,-,1,28,21,7,-,-,-,NYANDARUA SOUTH,NYANDARUA SOUTH,NYANDARUA SOUTH,NYANDARUA SOUTH,Male,Female,"81,756","40,704","41,049","3,371","1,741","1,630","45,396","22,637","22,758","21,028","10,065","10,961","4,305","2,166","2,139","1,640","1,025",615,6,4,2,-,-,-,"5,829","2,967","2,862",89,77,94,10,5,28
135,MIRANGINE,"26,957","13,817","13,139",MIRANGINE,MIRANGINE,MIRANGINE,Total,Male,Female,MIRANGINE,Male,Female,"26,957","13,817","13,139","4,570","2,369","2,201","14,955","7,644","7,310","6,448","3,284","3,164",565,270,295,357,219,138,11,3,8,-,-,-,51,28,23,-,-,-,MIRANGINE,MIRANGINE,MIRANGINE,MIRANGINE,Male,Female,"57,966","29,299","28,666","2,391","1,215","1,176","32,617","16,364","16,252","15,110","7,584","7,526","2,262","1,155","1,107",643,433,210,5,2,3,-,-,-,"4,816","2,481","2,335",48,46,230,17,11,32
