,County,Total_Population,Male_Population,Female_Population,Total_currently_attending_title,Male_currently_attending_title,Female_currently_attending_title,Total_currently_attending_County_Sub_County,Male_currently_attending_County_Sub_County,Female_currently_attending_County_Sub_County,Total_currently_attending_County_Sub_County_original,Male_currently_attending_County_Sub_County_original,Female_currently_attending_County_Sub_County_original,Total_currently_attending_Total_astrsk,Male_currently_attending_Total_astrsk,Female_currently_attending_Total_astrsk,Total_currently_attending_Pre_Primary,Male_currently_attending_Pre_Primary,Female_currently_attending_Pre_Primary,Total_currently_attending_Primary,Male_currently_attending_Primary,Female_currently_attending_Primary,Total_currently_attending_Secondary,Male_currently_attending_Secondary,Female_currently_attending_Secondary,Total_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Male_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Female_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Total_currently_attending_University,Male_currently_attending_University,Female_currently_attending_University,Total_currently_attending_Adult_Basic_Education,Male_currently_attending_Adult_Basic_Education,Female_currently_attending_Adult_Basic_Education,Total_currently_attending_Madrasa_slash_Duksi,Male_currently_attending_Madrasa_slash_Duksi,Female_currently_attending_Madrasa_slash_Duksi,Total_currently_attending_Dont_Know,Male_currently_attending_Dont_Know,Female_currently_attending_Dont_Know,Total_currently_attending_Not_Stated,Male_currently_attending_Not_Stated,Female_currently_attending_Not_Stated,Total_highest_edu_title,Male_highest_edu_title,Female_highest_edu_title,Total_highest_edu_County_slash_Sub_County,Male_highest_edu_County_slash_Sub_County,Female_highest_edu_County_slash_Sub_County,Total_highest_edu_Total_astrsk,Male_highest_edu_Total_astrsk,Female_highest_edu_Total_astrsk,Total_highest_edu_Pre_Primary,Male_highest_edu_Pre_Primary,Female_highest_edu_Pre_Primary,Total_highest_edu_Primary,Male_highest_edu_Primary,Female_highest_edu_Primary,Total_highest_edu_Secondary,Male_highest_edu_Secondary,Female_highest_edu_Secondary,Total_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Male_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Female_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Total_highest_edu_University,Male_highest_edu_University,Female_highest_edu_University,Total_highest_edu_Adult_Basic_Education,Male_highest_edu_Adult_Basic_Education,Female_highest_edu_Adult_Basic_Education,Total_highest_edu_Madrasa_slash_Duksi,Male_highest_edu_Madrasa_slash_Duksi,Female_highest_edu_Madrasa_slash_Duksi,Total_highest_edu_None,Male_highest_edu_None,Female_highest_edu_None,Total_highest_edu_Dont_Know,Male_highest_edu_Dont_Know,Female_highest_edu_Dont_Know,Total_highest_edu_Not_Stated,Male_highest_edu_Not_Stated,Female_highest_edu_Not_Stated
0,MOMBASA,"378,423","189,490","188,930",MOMBASA,MOMBASA,MOMBASA,Total,Male,Female,MOMBASA,Male,Female,"378,423","189,490","188,930","84,970","42,759","42,211","196,845","97,844","98,999","65,116","32,911","32,205","16,412","7,808","8,604","11,474","6,370","5,103",506,250,256,"2,147","1,048","1,099",953,500,453,-,-,-,MOMBASA,MOMBASA,MOMBASA,MOMBASA,Male,Female,"990,259","507,180","483,066","55,316","27,062","28,254","415,805","204,322","211,476","281,897","153,058","128,837","101,951","51,168","50,782","39,864","23,574","16,287",419,203,216,78,36,42,"88,138","44,263","43,875","5,034","2,546","2,488","1,757",948,809
1,CHANGAMWE,"39,032","19,482","19,550",CHANGAMWE,CHANGAMWE,CHANGAMWE,Total,Male,Female,CHANGAMWE,Male,Female,"39,032","19,482","19,550","8,735","4,380","4,355","20,347","10,172","10,175","6,754","3,270","3,484","1,848",879,969,"1,181",691,490,36,19,17,41,22,19,90,49,41,-,-,-,CHANGAMWE,CHANGAMWE,CHANGAMWE,CHANGAMWE,Male,Female,"113,346","59,561","53,785","3,983","2,038","1,945","46,496","23,169","23,327","36,952","20,311","16,641","13,007","7,084","5,923","3,434","2,158","1,276",21,12,9,3,2,1,"8,913","4,474","4,439",367,211,156,170,102,68
2,JOMVU,"51,892","26,020","25,872",JOMVU,JOMVU,JOMVU,Total,Male,Female,JOMVU,Male,Female,"51,892","26,020","25,872","12,428","6,263","6,165","28,677","14,249","14,428","8,180","4,173","4,007","1,541",750,791,909,503,406,53,32,21,21,7,14,83,43,40,-,-,-,JOMVU,JOMVU,JOMVU,JOMVU,Male,Female,"135,585","70,085","65,497","8,507","4,168","4,339","59,788","29,621","30,165","38,086","20,714","17,372","12,322","6,540","5,781","3,483","2,240","1,243",48,30,18,3,1,2,"12,923","6,515","6,408",300,184,116,125,72,53
3,KISAUNI,"95,844","48,136","47,707",KISAUNI,KISAUNI,KISAUNI,Total,Male,Female,KISAUNI,Male,Female,"95,844","48,136","47,707","22,174","11,256","10,918","51,183","25,552","25,631","15,499","7,820","7,679","3,884","1,827","2,057","2,611","1,443","1,167",109,53,56,122,57,65,262,128,134,-,-,-,KISAUNI,KISAUNI,KISAUNI,KISAUNI,Male,Female,"236,303","120,288","116,013","13,434","6,613","6,821","103,042","50,944","52,097","61,686","32,834","28,852","25,238","12,401","12,837","8,489","5,102","3,386",90,41,49,12,5,7,"22,877","11,591","11,286",941,491,450,494,266,228
4,LIKONI,"79,083","39,336","39,746",LIKONI,LIKONI,LIKONI,Total,Male,Female,LIKONI,Male,Female,"79,083","39,336","39,746","19,570","9,788","9,782","41,167","20,087","21,079","13,724","7,043","6,681","2,941","1,445","1,496","1,207",729,478,150,71,79,131,74,57,193,99,94,-,-,-,LIKONI,LIKONI,LIKONI,LIKONI,Male,Female,"203,522","105,103","98,417","13,600","6,503","7,097","90,935","44,530","46,404","58,372","32,698","25,673","15,612","8,323","7,289","3,843","2,498","1,345",137,66,71,20,10,10,"20,164","10,041","10,123",547,293,254,292,141,151
5,MVITA,"46,714","23,515","23,198",MVITA,MVITA,MVITA,Total,Male,Female,MVITA,Male,Female,"46,714","23,515","23,198","7,850","3,922","3,928","22,009","11,064","10,944","9,265","4,775","4,490","2,935","1,381","1,554","2,764","1,450","1,314",84,41,43,"1,666",806,860,141,76,65,-,-,-,MVITA,MVITA,MVITA,MVITA,Male,Female,"119,741","59,338","60,402","4,434","2,107","2,327","44,619","20,928","23,690","35,004","18,646","16,358","14,936","6,850","8,086","9,442","5,258","4,184",66,30,36,32,13,19,"8,712","4,320","4,392","2,162","1,001","1,161",334,185,149
6,NYALI,"65,858","33,001","32,857",NYALI,NYALI,NYALI,Total,Male,Female,NYALI,Male,Female,"65,858","33,001","32,857","14,213","7,150","7,063","33,462","16,720","16,742","11,694","5,830","5,864","3,263","1,526","1,737","2,802","1,554","1,248",74,34,40,166,82,84,184,105,79,-,-,-,NYALI,NYALI,NYALI,NYALI,Male,Female,"181,762","92,805","88,952","11,358","5,633","5,725","70,925","35,130","35,793","51,797","27,855","23,941","20,836","9,970","10,866","11,173","6,318","4,853",57,24,33,8,5,3,"14,549","7,322","7,227",717,366,351,342,182,160
7,KWALE,"334,612","171,696","162,911",KWALE,KWALE,KWALE,Total,Male,Female,KWALE,Male,Female,"334,612","171,696","162,911","82,822","42,535","40,285","207,769","106,020","101,747","36,756","19,415","17,340","4,107","1,883","2,224","1,936","1,195",741,355,185,170,355,185,170,512,278,234,-,-,-,KWALE,KWALE,KWALE,KWALE,Male,Female,"585,770","304,149","281,610","42,445","22,028","20,414","342,513","173,915","168,593","84,543","47,246","37,297","22,142","11,630","10,511","6,463","4,174","2,289",332,172,160,39,26,13,"84,380","43,305","41,073","1,871","1,045",826,"1,042",608,434
8,KINANGO,"38,765","20,011","18,753",KINANGO,KINANGO,KINANGO,Total,Male,Female,KINANGO,Male,Female,"38,765","20,011","18,753","10,237","5,269","4,968","24,613","12,650","11,962","3,320","1,772","1,548",371,183,188,136,100,36,45,22,23,4,-,4,39,15,24,-,-,-,KINANGO,KINANGO,KINANGO,KINANGO,Male,Female,"58,568","30,470","28,097","4,621","2,459","2,161","36,161","18,420","17,741","5,334","3,006","2,328","1,449",858,591,360,257,103,44,19,25,-,-,-,"10,417","5,352","5,065",140,75,65,42,24,18
9,LUNGA LUNGA,"76,787","39,663","37,124",LUNGA LUNGA,LUNGA LUNGA,LUNGA LUNGA,Total,Male,Female,LUNGA LUNGA,Male,Female,"76,787","39,663","37,124","19,262","9,874","9,388","49,283","25,237","24,046","7,109","3,916","3,193",536,279,257,212,141,71,129,75,54,91,50,41,165,91,74,-,-,-,LUNGA LUNGA,LUNGA LUNGA,LUNGA LUNGA,LUNGA LUNGA,Male,Female,"122,221","63,937","58,283","11,355","5,866","5,488","74,624","38,249","36,375","12,253","7,116","5,137","2,569","1,518","1,051",632,468,164,126,74,52,4,3,1,"19,706","10,085","9,621",442,247,195,510,311,199
10,MATUGA,"76,734","39,476","37,257",MATUGA,MATUGA,MATUGA,Total,Male,Female,MATUGA,Male,Female,"76,734","39,476","37,257","18,054","9,371","8,683","47,029","24,173","22,856","9,802","5,005","4,796","1,063",463,600,534,323,211,81,38,43,70,42,28,101,61,40,-,-,-,MATUGA,MATUGA,MATUGA,MATUGA,Male,Female,"139,714","72,298","67,414","8,479","4,480","3,999","82,285","41,392","40,891","22,533","12,500","10,033","5,625","2,878","2,747","1,868","1,197",671,70,34,36,5,3,2,"18,317","9,511","8,806",418,237,181,114,66,48
11,MSAMBWENI,"61,075","30,868","30,206",MSAMBWENI,MSAMBWENI,MSAMBWENI,Total,Male,Female,MSAMBWENI,Male,Female,"61,075","30,868","30,206","14,168","7,154","7,014","35,461","17,885","17,575","8,896","4,579","4,317","1,418",619,799,786,450,336,41,22,19,170,85,85,135,74,61,-,-,-,MSAMBWENI,MSAMBWENI,MSAMBWENI,MSAMBWENI,Male,Female,"136,026","70,023","66,000","7,335","3,747","3,587","71,110","35,762","35,347","30,232","16,555","13,677","9,154","4,455","4,698","2,826","1,692","1,134",38,18,20,26,17,9,"14,463","7,302","7,161",603,338,265,239,137,102
12,SAMBURU,"81,251","41,678","39,571",SAMBURU,SAMBURU,SAMBURU,Total,Male,Female,SAMBURU,Male,Female,"81,251","41,678","39,571","21,101","10,867","10,232","51,383","26,075","25,308","7,629","4,143","3,486",719,339,380,268,181,87,59,28,31,20,8,12,72,37,35,-,-,-,SAMBURU,SAMBURU,SAMBURU,SAMBURU,Male,Female,"129,241","67,421","61,816","10,655","5,476","5,179","78,333","40,092","38,239","14,191","8,069","6,122","3,345","1,921","1,424",777,560,217,54,27,27,4,3,1,"21,477","11,055","10,420",268,148,120,137,70,67
13,KILIFI,"605,776","308,926","296,841",KILIFI,KILIFI,KILIFI,Total,Male,Female,KILIFI,Male,Female,"605,776","308,926","296,841","132,702","67,709","64,991","373,857","189,306","184,545","83,181","43,798","39,382","8,537","3,913","4,624","5,166","3,003","2,163",843,426,417,455,241,214,"1,035",530,505,-,-,-,KILIFI,KILIFI,KILIFI,KILIFI,Male,Female,"1,063,750","549,374","514,362","83,453","42,321","41,132","599,327","301,787","297,531","177,711","99,563","78,148","46,722","24,015","22,706","15,770","9,782","5,988",781,405,376,13,7,6,"135,660","69,143","66,515","3,071","1,673","1,397","1,242",678,563
14,CHONYI,"28,875","14,936","13,938",CHONYI,CHONYI,CHONYI,Total,Male,Female,CHONYI,Male,Female,"28,875","14,936","13,938","6,082","3,144","2,938","18,035","9,219","8,815","4,326","2,328","1,998",251,128,123,107,72,35,44,27,17,-,-,-,30,18,12,-,-,-,CHONYI,CHONYI,CHONYI,CHONYI,Male,Female,"44,897","23,263","21,633","3,933","1,972","1,961","26,684","13,335","13,348","6,500","3,768","2,732","1,196",717,479,299,212,87,44,27,17,-,-,-,"6,157","3,181","2,976",61,36,25,23,15,8
15,GANZE,"67,193","34,222","32,969",GANZE,GANZE,GANZE,Total,Male,Female,GANZE,Male,Female,"67,193","34,222","32,969","14,694","7,461","7,233","43,773","22,188","21,583","7,789","4,059","3,730",489,250,239,210,149,61,155,80,75,1,1,-,82,34,48,-,-,-,GANZE,GANZE,GANZE,GANZE,Male,Female,"95,274","48,889","46,383","9,143","4,749","4,394","58,252","29,379","28,871","9,644","5,286","4,358","2,138","1,208",930,565,407,158,153,78,75,1,1,-,"15,147","7,671","7,476",141,69,72,90,41,49
16,KALOLENI,"80,964","41,402","39,559",KALOLENI,KALOLENI,KALOLENI,Total,Male,Female,KALOLENI,Male,Female,"80,964","41,402","39,559","17,657","9,080","8,575","51,727","26,262","25,464","9,803","5,160","4,643","1,026",486,540,426,254,172,126,58,68,28,14,14,171,88,83,-,-,-,KALOLENI,KALOLENI,KALOLENI,KALOLENI,Male,Female,"134,645","69,960","64,681","11,325","5,912","5,413","78,082","39,605","38,476","19,556","10,914","8,642","5,554","2,978","2,576","1,511",965,546,113,56,57,1,1,-,"17,996","9,256","8,738",317,179,138,190,94,95
17,KAUMA,"10,969","5,659","5,310",KAUMA,KAUMA,KAUMA,Total,Male,Female,KAUMA,Male,Female,"10,969","5,659","5,310","2,196","1,114","1,082","7,104","3,553","3,551","1,543",916,627,72,39,33,26,21,5,18,11,7,1,1,-,9,4,5,-,-,-,KAUMA,KAUMA,KAUMA,KAUMA,Male,Female,"16,076","8,528","7,548","1,615",817,798,"9,683","5,000","4,683","2,098","1,301",797,291,170,121,78,56,22,15,9,6,-,-,-,"2,224","1,127","1,097",54,36,18,18,12,6
18,KILIFI NORTH,"72,834","36,930","35,902",KILIFI NORTH,KILIFI NORTH,KILIFI NORTH,Total,Male,Female,KILIFI NORTH,Male,Female,"72,834","36,930","35,902","17,073","8,728","8,345","41,645","20,935","20,709","10,609","5,542","5,066","1,693",723,970,"1,607",891,716,34,19,15,49,27,22,124,65,59,-,-,-,KILIFI NORTH,KILIFI NORTH,KILIFI NORTH,KILIFI NORTH,Male,Female,"138,095","70,668","67,425","8,070","4,153","3,917","74,515","36,942","37,572","25,235","13,840","11,395","8,260","4,114","4,146","4,012","2,411","1,601",25,18,7,-,-,-,"17,400","8,880","8,520",480,259,220,98,51,47
19,KILIFI SOUTH,"76,984","39,007","37,977",KILIFI SOUTH,KILIFI SOUTH,KILIFI SOUTH,Total,Male,Female,KILIFI SOUTH,Male,Female,"76,984","39,007","37,977","17,932","9,231","8,701","44,868","22,518","22,350","11,404","5,918","5,486","1,519",672,847,979,526,453,87,37,50,19,12,7,176,93,83,-,-,-,KILIFI SOUTH,KILIFI SOUTH,KILIFI SOUTH,KILIFI SOUTH,Male,Female,"158,925","81,501","77,423","10,757","5,373","5,384","80,815","40,180","40,635","35,112","19,282","15,830","9,754","4,831","4,922","3,416","2,031","1,385",83,35,48,3,2,1,"18,312","9,409","8,903",452,231,221,221,127,94
20,MAGARINI,"86,722","44,425","42,297",MAGARINI,MAGARINI,MAGARINI,Total,Male,Female,MAGARINI,Male,Female,"86,722","44,425","42,297","17,604","8,886","8,718","56,983","28,769","28,214","10,939","6,070","4,869",620,322,298,239,176,63,182,102,80,68,50,18,87,50,37,-,-,-,MAGARINI,MAGARINI,MAGARINI,MAGARINI,Male,Female,"134,107","70,300","63,807","13,879","6,987","6,892","82,026","42,083","39,943","15,867","9,531","6,336","2,984","1,744","1,240",707,509,198,175,98,77,1,1,-,"18,078","9,126","8,952",294,167,127,96,54,42
21,MALINDI,"132,098","67,256","64,841",MALINDI,MALINDI,MALINDI,Total,Male,Female,MALINDI,Male,Female,"132,098","67,256","64,841","29,960","15,157","14,803","78,388","39,925","38,462","19,619","10,134","9,485","2,183",994,"1,189","1,254",723,531,155,74,81,283,132,151,256,117,139,-,-,-,MALINDI,MALINDI,MALINDI,MALINDI,Male,Female,"252,086","129,812","122,270","17,738","8,809","8,929","137,812","69,535","68,273","47,716","26,621","21,095","12,355","5,926","6,429","4,320","2,632","1,688",143,68,75,4,1,3,"30,612","15,472","15,140",973,521,452,413,227,186
22,RABAI,"49,137","25,089","24,048",RABAI,RABAI,RABAI,Total,Male,Female,RABAI,Male,Female,"49,137","25,089","24,048","9,504","4,908","4,596","31,334","15,937","15,397","7,149","3,671","3,478",684,299,385,318,191,127,42,18,24,6,4,2,100,61,39,-,-,-,RABAI,RABAI,RABAI,RABAI,Male,Female,"89,645","46,453","43,192","6,993","3,549","3,444","51,458","25,728","25,730","15,983","9,020","6,963","4,190","2,327","1,863",862,559,303,30,16,14,3,1,2,"9,734","5,021","4,713",299,175,124,93,57,36
23,TANA RIVER,"95,997","50,470","45,527",TANA RIVER,TANA RIVER,TANA RIVER,Total,Male,Female,TANA RIVER,Male,Female,"95,997","50,470","45,527","25,480","13,387","12,093","55,036","27,965","27,071","12,346","7,249","5,097","1,308",797,511,517,354,163,172,96,76,979,529,450,159,93,66,-,-,-,TANA RIVER,TANA RIVER,TANA RIVER,TANA RIVER,Male,Female,"158,000","84,380","73,620","13,849","7,134","6,715","84,250","42,419","41,831","25,033","15,692","9,341","5,354","3,265","2,089","1,432","1,043",389,163,92,71,13,10,3,"26,420","13,896","12,524","1,191",673,518,295,156,139
24,TANA DELTA,"38,308","19,808","18,500",TANA DELTA,TANA DELTA,TANA DELTA,Total,Male,Female,TANA DELTA,Male,Female,"38,308","19,808","18,500","10,395","5,417","4,978","22,155","11,093","11,062","4,821","2,757","2,064",365,212,153,161,116,45,31,17,14,339,178,161,41,18,23,-,-,-,TANA DELTA,TANA DELTA,TANA DELTA,TANA DELTA,Male,Female,"60,630","32,005","28,625","5,722","2,866","2,856","32,017","15,998","16,019","9,267","5,744","3,523","1,933","1,206",727,429,319,110,31,18,13,6,4,2,"10,667","5,560","5,107",449,236,213,109,54,55
25,TANA NORTH,"28,681","15,776","12,905",TANA NORTH,TANA NORTH,TANA NORTH,Total,Male,Female,TANA NORTH,Male,Female,"28,681","15,776","12,905","6,737","3,614","3,123","16,434","8,711","7,723","4,200","2,630","1,570",589,390,199,154,112,42,92,50,42,424,231,193,51,38,13,-,-,-,TANA NORTH,TANA NORTH,TANA NORTH,TANA NORTH,Male,Female,"46,803","26,331","20,472","4,521","2,468","2,053","24,636","13,248","11,388","8,035","5,234","2,801","1,423",857,566,416,304,112,88,48,40,1,1,-,"7,182","3,866","3,316",422,256,166,79,49,30
26,LAMU,"50,249","25,969","24,278",LAMU,LAMU,LAMU,Total,Male,Female,LAMU,Male,Female,"50,249","25,969","24,278","10,470","5,389","5,081","30,511","15,566","14,943","7,600","4,101","3,499",619,310,309,463,277,186,45,24,21,461,264,197,80,38,42,-,-,-,LAMU,LAMU,LAMU,LAMU,Male,Female,"103,880","56,751","47,126","6,942","3,485","3,457","58,049","29,941","28,105","20,178","12,947","7,231","4,543","2,766","1,777","1,638","1,151",487,32,21,11,10,6,4,"11,218","5,768","5,450","1,142",594,548,128,72,56
27,LAMU EAST,"7,592","3,866","3,726",LAMU EAST,LAMU EAST,LAMU EAST,Total,Male,Female,LAMU EAST,Male,Female,"7,592","3,866","3,726","1,539",778,761,"4,941","2,486","2,455",980,518,462,55,29,26,24,18,6,5,4,1,40,27,13,8,6,2,-,-,-,LAMU EAST,LAMU EAST,LAMU EAST,LAMU EAST,Male,Female,"15,810","8,629","7,181","1,394",715,679,"9,202","4,680","4,522","2,444","1,721",723,501,337,164,109,86,23,4,3,1,4,2,2,"1,830",914,916,306,163,143,16,8,8
28,LAMU WEST,"42,657","22,103","20,552",LAMU WEST,LAMU WEST,LAMU WEST,Total,Male,Female,LAMU WEST,Male,Female,"42,657","22,103","20,552","8,931","4,611","4,320","25,570","13,080","12,488","6,620","3,583","3,037",564,281,283,439,259,180,40,20,20,421,237,184,72,32,40,-,-,-,LAMU WEST,LAMU WEST,LAMU WEST,LAMU WEST,Male,Female,"88,070","48,122","39,945","5,548","2,770","2,778","48,847","25,261","23,583","17,734","11,226","6,508","4,042","2,429","1,613","1,529","1,065",464,28,18,10,6,4,2,"9,388","4,854","4,534",836,431,405,112,64,48
29,TAITA/TAVETA,"116,381","59,272","57,108",TAITA/TAVETA,TAITA/TAVETA,TAITA/TAVETA,Total,Male,Female,TAITA/TAVETA,Male,Female,"116,381","59,272","57,108","20,535","10,439","10,095","67,662","34,682","32,980","22,938","11,327","11,611","3,236","1,677","1,559","1,710",989,721,78,35,43,11,8,3,211,115,96,-,-,-,TAITA/TAVETA,TAITA/TAVETA,TAITA/TAVETA,TAITA/TAVETA,Male,Female,"283,179","146,247","136,927","14,129","7,132","6,997","155,653","78,795","76,855","65,470","34,849","30,620","20,051","10,633","9,418","5,341","3,381","1,960",49,26,23,3,1,2,"21,163","10,732","10,430","1,111",591,520,209,107,102
30,MWATATE,"28,635","14,632","14,002",MWATATE,MWATATE,MWATATE,Total,Male,Female,MWATATE,Male,Female,"28,635","14,632","14,002","4,949","2,507","2,441","16,398","8,425","7,973","6,121","3,051","3,070",716,385,331,393,230,163,18,9,9,1,1,-,39,24,15,-,-,-,MWATATE,MWATATE,MWATATE,MWATATE,Male,Female,"69,170","35,947","33,222","3,180","1,634","1,546","39,371","19,960","19,411","15,729","8,525","7,204","4,482","2,475","2,007","1,069",649,420,9,6,3,3,1,2,"5,075","2,565","2,509",216,114,102,36,18,18
31,TAITA,"19,302","9,800","9,502",TAITA,TAITA,TAITA,Total,Male,Female,TAITA,Male,Female,"19,302","9,800","9,502","3,293","1,642","1,651","10,719","5,560","5,159","4,504","2,174","2,330",475,252,223,246,143,103,16,6,10,1,-,1,48,23,25,-,-,-,TAITA,TAITA,TAITA,TAITA,Male,Female,"48,089","24,894","23,195","1,781",899,882,"26,088","13,289","12,799","12,173","6,456","5,717","3,463","1,858","1,605",848,541,307,7,4,3,-,-,-,"3,435","1,702","1,733",254,125,129,40,20,20
32,TAVETA,"31,879","16,342","15,537",TAVETA,TAVETA,TAVETA,Total,Male,Female,TAVETA,Male,Female,"31,879","16,342","15,537","5,677","2,890","2,787","19,728","10,234","9,494","5,352","2,653","2,699",716,343,373,350,192,158,20,9,11,5,4,1,31,17,14,-,-,-,TAVETA,TAVETA,TAVETA,TAVETA,Male,Female,"73,195","38,171","35,024","4,248","2,159","2,089","43,599","22,427","21,172","14,343","7,769","6,574","3,708","1,925","1,783","1,164",766,398,15,5,10,-,-,-,"5,839","2,969","2,870",225,126,99,54,25,29
33,VOI,"36,565","18,498","18,067",VOI,VOI,VOI,Total,Male,Female,VOI,Male,Female,"36,565","18,498","18,067","6,616","3,400","3,216","20,817","10,463","10,354","6,961","3,449","3,512","1,329",697,632,721,424,297,24,11,13,4,3,1,93,51,42,-,-,-,VOI,VOI,VOI,VOI,Male,Female,"92,725","47,235","45,486","4,920","2,440","2,480","46,595","23,119","23,473","23,225","12,099","11,125","8,398","4,375","4,023","2,260","1,425",835,18,11,7,-,-,-,"6,814","3,496","3,318",416,226,190,79,44,35
34,GARISSA,"132,990","77,489","55,497",GARISSA,GARISSA,GARISSA,Total,Male,Female,GARISSA,Male,Female,"132,990","77,489","55,497","13,112","6,758","6,354","71,214","40,569","30,643","27,998","18,172","9,825","3,469","2,202","1,267","1,840","1,338",501,685,409,276,"13,742","7,492","6,250",929,549,380,1,-,1,GARISSA,GARISSA,GARISSA,GARISSA,Male,Female,"165,797","98,291","67,501","8,850","4,811","4,039","80,185","46,077","34,106","35,556","23,623","11,931","6,915","4,517","2,398","3,292","2,487",804,633,373,260,108,57,51,"21,560","11,370","10,190","6,248","3,484","2,764","2,450","1,492",958
35,BALAMBALA,"2,740","1,692","1,048",BALAMBALA,BALAMBALA,BALAMBALA,Total,Male,Female,BALAMBALA,Male,Female,"2,740","1,692","1,048",313,171,142,"1,558",939,619,766,512,254,54,37,17,19,11,8,27,20,7,2,1,1,1,1,-,-,-,-,BALAMBALA,BALAMBALA,BALAMBALA,BALAMBALA,Male,Female,"3,535","2,391","1,144",135,74,61,"1,710","1,066",644,"1,243",988,255,74,50,24,18,13,5,27,20,7,1,-,1,322,177,145,,,,5,3,2
36,DADAAB,"20,883","12,354","8,529",DADAAB,DADAAB,DADAAB,Total,Male,Female,DADAAB,Male,Female,"20,883","12,354","8,529","1,370",709,661,"12,075","6,930","5,145","4,523","2,996","1,527",408,297,111,109,88,21,145,84,61,"2,127","1,173",954,126,77,49,-,-,-,DADAAB,DADAAB,DADAAB,DADAAB,Male,Female,"25,675","15,538","10,137","1,327",754,573,"13,959","8,031","5,928","5,233","3,665","1,568",769,570,199,343,265,78,131,75,56,20,9,11,"2,540","1,364","1,176",,,,749,441,308
37,FAFI,"15,237","8,847","6,389",FAFI,FAFI,FAFI,Total,Male,Female,FAFI,Male,Female,"15,237","8,847","6,389","1,214",643,571,"8,702","4,838","3,863","3,592","2,362","1,230",201,136,65,70,57,13,95,58,37,"1,288",703,585,75,50,25,-,-,-,FAFI,FAFI,FAFI,FAFI,Male,Female,"18,945","11,187","7,756","1,117",588,529,"9,964","5,632","4,331","4,033","2,795","1,237",360,277,83,91,71,20,89,53,36,5,3,2,"1,845",969,876,,,,"1,313",718,595
38,HULUGHO,"19,993","12,290","7,703",HULUGHO,HULUGHO,HULUGHO,Total,Male,Female,HULUGHO,Male,Female,"19,993","12,290","7,703","2,334","1,244","1,090","10,449","6,511","3,938","3,289","2,269","1,020",262,187,75,117,97,20,106,62,44,"3,334","1,855","1,479",102,65,37,-,-,-,HULUGHO,HULUGHO,HULUGHO,HULUGHO,Male,Female,"22,386","13,803","8,583","1,155",662,493,"11,051","6,876","4,175","3,554","2,437","1,117",377,277,100,122,101,21,100,59,41,16,9,7,"5,023","2,763","2,260",,,,743,457,286
39,IJARA,"28,963","17,366","11,597",IJARA,IJARA,IJARA,Total,Male,Female,IJARA,Male,Female,"28,963","17,366","11,597","3,418","1,749","1,669","14,857","8,620","6,237","6,036","4,146","1,890",809,566,243,337,267,70,183,112,71,"2,973","1,704","1,269",350,202,148,-,-,-,IJARA,IJARA,IJARA,IJARA,Male,Female,"33,072","20,104","12,968","2,057","1,155",902,"15,237","9,008","6,229","6,782","4,651","2,131","1,303",926,377,455,367,88,171,101,70,26,13,13,"4,906","2,598","2,308",,,,"1,463",847,616
40,LAGDERA,"4,612","2,414","2,198",LAGDERA,LAGDERA,LAGDERA,Total,Male,Female,LAGDERA,Male,Female,"4,612","2,414","2,198",651,297,354,"2,807","1,403","1,404",774,486,288,100,71,29,47,38,9,37,21,16,169,82,87,27,16,11,-,-,-,LAGDERA,LAGDERA,LAGDERA,LAGDERA,Male,Female,"5,237","2,805","2,432",351,153,198,"2,907","1,498","1,409",872,583,289,110,81,29,47,35,12,36,20,16,1,1,-,729,337,392,,,,133,67,66
41,WAJIR,"132,610","75,637","56,969",WAJIR,WAJIR,WAJIR,Total,Male,Female,WAJIR,Male,Female,"132,610","75,637","56,969","15,024","7,713","7,310","78,024","43,283","34,740","26,173","16,413","9,759","3,262","2,151","1,111","1,278",973,304,496,292,204,"7,960","4,565","3,395",393,247,146,-,-,-,WAJIR,WAJIR,WAJIR,WAJIR,Male,Female,"151,956","88,325","63,627","9,832","5,237","4,595","81,117","45,553","35,562","28,081","18,278","9,803","5,567","3,911","1,656","2,128","1,686",441,403,234,169,39,23,16,"21,137","11,228","9,908",,,,"3,013","1,745","1,268"
42,BUNA,"6,080","3,410","2,670",BUNA,BUNA,BUNA,Total,Male,Female,BUNA,Male,Female,"6,080","3,410","2,670",746,399,347,"3,310","1,813","1,497","1,270",772,498,163,109,54,56,46,10,32,18,14,483,244,239,20,9,11,-,-,-,BUNA,BUNA,BUNA,BUNA,Male,Female,"6,738","3,843","2,895",727,375,352,"3,241","1,806","1,435","1,227",805,422,194,128,66,67,58,9,31,17,14,1,1,-,808,435,373,,,,398,199,199
