County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
KAJIADO CENTRAL,"37,238","37,059 179",,,"23,991","64.7 13,062 35.2 6",,,,,0
KAJIADO NORTH,"101,378","100,908 470",,,"19,017","18.8 81,846 81.1 45",,,,,0
KAJIADO WEST,"42,774","42,367 407",,,"29,966","70.7 12,386 29.2 15",,,,,0
LOITOKITOK,"47,058","45,581 1,477",,,"32,205","70.7 13,370 29.3 6",,,,,0
MASHUURU,"16,152","15,908 244",,,"9,358","58.8 6,548 41.2 2",,,,,0
KERICHO,"206,036","205,932 104",,,"152,990","74.3 52,873 25.7 69",,,,,0
BELGUT,"35,012","34,978 34",,,"24,452","69.9 10,519 30.1 7",,,,,0
BURETI,"43,117","43,098 19",,,"35,020","81.3 8,073 18.7 5",,,,,0
KERICHO EAST,"44,246","44,246 -",,,"23,449","53.0 20,768 46.9 29",,,,,0.1
KIPKELION,"24,688","24,676 12",,,"22,539","91.3 2,125 8.6 12",,,,,0
LONDIANI,"31,778","31,739 39",,,"23,558","74.2 8,171 25.7 10",,,,,0
SOIN SIGOWET,"27,195","27,195 -",,,"23,972","88.1 3,217 11.8 6",,,,,0
BOMET,"187,641","187,230 411",,,"155,576","83.1 31,630 16.9 24",,,,,0
BOMET EAST,"29,958","29,897 61",,,"27,472","91.9 2,420 8.1 5",,,,,0
CHEPALUNGU,"33,931","33,850 81",,,"32,715","96.6 1,131 3.3 4",,,,,0
KONOIN,"38,178","38,123 55",,,"24,381","64.0 13,736 36.0 6",,,,,0
SOTIK,"47,315","47,265 50",,,"41,107","87.0 6,153 13.0 5",,,,,0
BOMET CENTRAL,"38,259","38,095 164",,,"29,901","78.5 8,190 21.5 4",,,,,0
KAKAMEGA,"433,207","432,284 923",,,"369,381","85.4 62,765 14.5 138",,,,,0
BUTERE,"36,243","36,243 -",,,"33,817","93.3 2,422 6.7 4",,,,,0
KAKAMEGA CENTRAL,"52,015","51,956 59",,,"28,145","54.2 23,790 45.8 21",,,,,0
KAKAMEGA EAST,"39,589","39,589 -",,,"35,942","90.8 3,602 9.1 45",,,,,0.1
KAKAMEGA NORTH,"51,083","50,952 131",,,"45,870","90.0 5,063 9.9 19",,,,,0
KAKAMEGA SOUTH,"26,964","26,940 24",,,"25,580","95.0 1,353 5.0 7",,,,,0
KHWISERO,"27,681","27,681 -",,,"26,168","94.5 1,510 5.5 3",,,,,0
LIKUYANI,"35,322","34,776 546",,,"27,929","80.3 6,842 19.7 5",,,,,0
LUGARI,"27,862","27,817 45",,,"23,853","85.7 3,959 14.2 5",,,,,0
MATETE,"13,956","13,956 -",,,"12,736","91.3 1,220 8.7 -",,,,,-
MATUNGU,"36,457","36,414 43",,,"33,837","92.9 2,569 7.1 8",,,,,0
MUMIAS EAST,"26,049","25,995 54",,,"23,768","91.4 2,223 8.6 4",,,,,0
MUMIAS WEST,"27,671","27,650 21",,,"20,683","74.8 6,957 25.2 10",,,,,0
NAVAKHOLO,"32,315","32,315 -",,,"31,053","96.1 1,255 3.9 7",,,,,0
VIHIGA,"143,365","143,288 77",,,"126,261","88.1 16,993 11.9 34",,,,,0
EMUHAYA,"23,804","23,803 1",,,"22,471","94.4 1,325 5.6 7",,,,,0
VIHIGA,"23,375","23,359 16",,,"19,729","84.5 3,622 15.5 8",,,,,0
SABATIA,"31,422","31,391 31",,,"26,951","85.9 4,434 14.1 6",,,,,0
LUANDA,"26,766","26,766 -",,,"23,635","88.3 3,123 11.7 8",,,,,0
HAMISI,"37,986","37,965 21",,,"33,475","88.2 4,485 11.8 5",,,,,0
KAKAMEGA FOREST,12,4 8,,,-,- 4 100.0 -,,,,,-
BUNGOMA,"358,796","357,714 1,082",,,"293,353","82.0 64,317 18.0 44",,,,,0
BUMULA,"44,954","44,922 32",,,"42,150","93.8 2,770 6.2 2",,,,,0
BUNGOMA CENTRAL,"37,803","37,535 268",,,"32,160","85.7 5,374 14.3 1",,,,,0
BUNGOMA EAST,"24,873","24,798 75",,,"20,258","81.7 4,536 18.3 4",,,,,0
BUNGOMA NORTH,"24,998","24,940 58",,,"22,030","88.3 2,905 11.6 5",,,,,0
BUNGOMA SOUTH,"69,151","69,088 63",,,"43,753","63.3 25,330 36.7 5",,,,,0
CHEPTAIS,"26,326","26,007 319",,,"22,950","88.2 3,052 11.7 5",,,,,0
KIMILILI,"35,263","35,053 210",,,"28,006","79.9 7,044 20.1 3",,,,,0
MT ELGON,"15,276","15,230 46",,,"13,082","85.9 2,144 14.1 4",,,,,0
BUNGOMA WEST,"25,172","25,166 6",,,"22,830","90.7 2,329 9.3 7",,,,,0
TONGAREN,"21,343","21,343 -",,,"18,731","87.8 2,606 12.2 6",,,,,0
WEBUYE WEST,"32,839","32,834 5",,,"26,611","81.0 6,221 18.9 2",,,,,0
MT. ELGON FOREST,798,798 -,,,792,99.2 6 0.8 -,,,,,-
BUSIA,"198,152","197,944 208",,,"161,775","81.7 36,137 18.3 32",,,,,0
BUNYALA,"19,039","19,028 11",,,"14,906","78.3 4,120 21.7 2",,,,,0
BUSIA,"33,160","33,152 8",,,"22,664","68.4 10,472 31.6 16",,,,,0
BUTULA,"32,213","32,199 14",,,"28,961","89.9 3,235 10.0 3",,,,,0
NAMBALE,"23,892","23,889 3",,,"21,067","88.2 2,818 11.8 4",,,,,0
SAMIA,"23,884","23,813 71",,,"21,552","90.5 2,261 9.5 -",,,,,-
TESO NORTH,"29,395","29,314 81",,,"23,404","79.8 5,908 20.2 2",,,,,0
TESO SOUTH,"36,569","36,549 20",,,"29,221","80.0 7,323 20.0 5",,,,,0
SIAYA,"250,698","249,341 1,357",,,"202,274","81.1 46,969 18.8 98",,,,,0
SIAYA,"57,553","57,386 167",,,"45,942","80.1 11,408 19.9 36",,,,,0.1
GEM,"44,884","44,696 188",,,"39,766","89.0 4,915 11.0 15",,,,,0
UGENYA,"33,565","33,554 11",,,"29,926","89.2 3,622 10.8 6",,,,,0
UGUNJA,"26,328","26,321 7",,,"22,008","83.6 4,311 16.4 2",,,,,0
BONDO,"51,362","50,454 908",,,"32,584","64.6 17,851 35.4 19",,,,,0
RARIEDA,"37,006","36,930 76",,,"32,048","86.8 4,862 13.2 20",,,,,0.1
KISUMU,"300,745","296,846 3,899",,,"176,699","59.5 120,033 40.4 114",,,,,0
KISUMU EAST,"61,871","61,499 372",,,"24,181","39.3 37,293 60.6 25",,,,,0
KISUMU CENTRAL,"52,331","52,163 168",,,"6,148","11.8 45,990 88.2 25",,,,,0
KISUMU WEST,"45,933","42,785 3,148",,,"28,458","66.5 14,310 33.4 17",,,,,0
SEME,"29,404","29,404 -",,,"26,793","91.1 2,608 8.9 3",,,,,0
MUHORONI,"37,193","36,982 211",,,"27,362","74.0 9,604 26.0 16",,,,,0
NYANDO,"38,460","38,460 -",,,"31,994","83.2 6,452 16.8 14",,,,,0
NYAKACH,"35,553","35,553 -",,,"31,763","89.3 3,776 10.6 14",,,,,0
HOMA BAY,"262,036","260,290 1,746",,,"211,772","81.4 48,472 18.6 46",,,,,0
HOMA BAY,"29,318","28,471 847",,,"17,013","59.8 11,451 40.2 7",,,,,0
NDHIWA,"48,062","47,956 106",,,"43,149","90.0 4,801 10.0 6",,,,,0
RACHUONYO NORTH,"41,809","41,661 148",,,"36,831","88.4 4,818 11.6 12",,,,,0
RACHUONYO EAST,"27,319","27,229 90",,,"24,870","91.3 2,357 8.7 2",,,,,0
RACHUONYO SOUTH,"30,990","30,693 297",,,"24,139","78.6 6,550 21.3 4",,,,,0
RANGWE,"27,003","26,983 20",,,"24,985","92.6 1,995 7.4 3",,,,,0
SUBA NORTH,"29,766","29,662 104",,,"20,095","67.7 9,563 32.2 4",,,,,0
SUBA SOUTH,"27,769","27,635 134",,,"20,690","74.9 6,937 25.1 8",,,,,0
MIGORI,"240,168","238,133 2,035",,,"188,705","79.2 49,346 20.7 82",,,,,0
AWENDO,"27,033","27,014 19",,,"20,311","75.2 6,690 24.8 13",,,,,0
KURIA EAST,"17,363","17,267 96",,,"16,329",94.6 932 5.4 6,,,,,0
KURIA WEST,"39,781","39,723 58",,,"30,772","77.5 8,938 22.5 13",,,,,0
NYATIKE,"40,257","39,358 899",,,"31,551","80.2 7,794 19.8 13",,,,,0
RONGO,"29,087","29,007 80",,,"21,997","75.8 7,005 24.1 5",,,,,0
SUNA EAST,"27,302","27,214 88",,,"20,309","74.6 6,890 25.3 15",,,,,0.1
SUNA WEST,"29,251","28,839 412",,,"20,638","71.6 8,198 28.4 3",,,,,0
URIRI,"30,094","29,711 383",,,"26,798","90.2 2,899 9.8 14",,,,,0
KISII,"308,054","307,254 800",,,"255,080","83.0 52,130 17.0 44",,,,,0
ETAGO,"18,610","18,610 -",,,"17,382","93.4 1,225 6.6 3",,,,,0
GUCHA,"19,657","19,621 36",,,"17,178","87.5 2,438 12.4 5",,,,,0
GUCHA SOUTH,"19,732","19,627 105",,,"17,769","90.5 1,851 9.4 7",,,,,0
KENYENYA,"30,989","30,985 4",,,"27,477","88.7 3,505 11.3 3",,,,,0
KISII CENTRAL,"44,311","44,037 274",,,"28,557","64.8 15,476 35.1 4",,,,,0
KISII SOUTH,"31,696","31,574 122",,,"28,140","89.1 3,432 10.9 2",,,,,0
KITUTU CENTRAL,"41,271","41,233 38",,,"24,986","60.6 16,236 39.4 11",,,,,0
MARANI,"26,186","26,133 53",,,"24,978","95.6 1,150 4.4 5",,,,,0
MASABA SOUTH,"29,232","29,206 26",,,"26,246","89.9 2,958 10.1 2",,,,,0
NYAMACHE,"30,712","30,583 129",,,"28,092","91.9 2,490 8.1 1",,,,,0
SAMETA,"15,658","15,645 13",,,"14,275","91.2 1,369 8.8 1",,,,,0
NYAMIRA,"150,669","150,499 170",,,"128,713","85.5 21,767 14.5 19",,,,,0
BORABU,"19,468","19,404 64",,,"11,035","56.9 8,368 43.1 1",,,,,0
MANGA,"23,869","23,836 33",,,"21,457","90.0 2,376 10.0 3",,,,,0
MASABA NORTH,"27,913","27,904 9",,,"24,817","88.9 3,082 11.0 5",,,,,0
NYAMIRA NORTH,"40,446","40,396 50",,,"37,045","91.7 3,349 8.3 2",,,,,0
NYAMIRA SOUTH,"38,973","38,959 14",,,"34,359","88.2 4,592 11.8 8",,,,,0
NAIROBI CITY,"1,506,888","1,494,676 12,212",,,"138,976","9.3 1,354,882 90.6 818",,,,,0.1
DAGORETTI,"155,089","154,949 140",,,"13,940","9.0 140,898 90.9 111",,,,,0.1
EMBAKASI,"347,955","346,462 1,493",,,"17,809","5.1 328,498 94.8 155",,,,,0
KAMUKUNJI,"84,365","83,680 685",,,"3,757","4.5 79,869 95.4 54",,,,,0.1
KASARANI,"271,290","268,611 2,679",,,"22,367","8.3 246,121 91.6 123",,,,,0
KIBRA,"61,690","61,651 39",,,"6,120","9.9 55,504 90.0 27",,,,,0
LANG'ATA,"62,239","60,187 2,052",,,"12,299","20.4 47,853 79.5 35",,,,,0.1
MAKADARA,"70,361","70,080 281",,,"4,499","6.4 65,557 93.5 24",,,,,0
MATHARE,"74,967","74,967 -",,,"2,138","2.9 72,778 97.1 51",,,,,0.1
NJIRU,"204,563","204,492 71",,,"35,066","17.1 169,306 82.8 120",,,,,0.1
STAREHE,"69,389","66,108 3,281",,,"3,928","5.9 62,111 94.0 69",,,,,0.1
WESTLANDS,"104,980","103,489 1,491",,,"17,053","16.5 86,387 83.5 49",,,,,0
