County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
MARSABIT SOUTH,"11,615","11,563 52",,,"11,151",96.4 409 3.5 3,,,,,0
MOYALE,"17,709","17,591 118",,,"13,395","76.1 4,194 23.8 2",,,,,0
NORTH HORR,"9,789","9,601 188",,,"9,449",98.4 114 1.2 38,,,,,0.4
SOLOLO,"7,238","7,162 76",,,"6,493",90.7 668 9.3 1,,,,,0
ISIOLO,"58,072","53,217 4,855",,,"38,285","71.9 14,918 28.0 14",,,,,0
GARBATULLA,"18,661","17,047 1,614",,,"15,450","90.6 1,592 9.3 5",,,,,0
ISIOLO,"29,853","27,612 2,241",,,"14,669","53.1 12,934 46.8 9",,,,,0
MERTI,"9,558","8,558 1,000",,,"8,166",95.4 392 4.6 -,,,,,-
MERU,"426,360","423,931 2,429",,,"313,867","74.0 109,916 25.9 148",,,,,0
BUURI EAST,"23,834","23,737 97",,,"17,740","74.7 5,986 25.2 11",,,,,0
BUURI WEST,"27,973","27,905 68",,,"13,216","47.4 14,685 52.6 4",,,,,0
IGEMBE CENTRAL,"52,031","51,848 183",,,"42,208","81.4 9,624 18.6 16",,,,,0
IGEMBE NORTH,"38,871","38,716 155",,,"31,541","81.5 7,158 18.5 17",,,,,0
IGEMBE SOUTH,"43,281","43,222 59",,,"29,694","68.7 13,507 31.3 21",,,,,0
IMENTI NORTH,"57,668","57,556 112",,,"30,338","52.7 27,198 47.3 20",,,,,0
IMENTI SOUTH,"64,186","63,954 232",,,"46,723","73.1 17,221 26.9 10",,,,,0
MERU CENTRAL,"39,595","39,498 97",,,"33,046","83.7 6,436 16.3 16",,,,,0
TIGANIA CENTRAL,"25,039","24,983 56",,,"22,213","88.9 2,767 11.1 3",,,,,0
TIGANIA EAST,"17,185","16,791 394",,,"14,873","88.6 1,900 11.3 18",,,,,0.1
TIGANIA WEST,"36,207","35,402 805",,,"32,080","90.6 3,310 9.3 12",,,,,0
MERU NATIONAL PARK,207,46 161,,,-,- 46 100.0 -,,,,,-
MT. KENYA FOREST,283,273 10,,,195,71.4 78 28.6 -,,,,,-
THARAKA-NITHI,"109,860","109,450 410",,,"90,352","82.6 19,062 17.4 36",,,,,0
IGAMBANG'OMBE,"14,398","14,383 15",,,"12,551","87.3 1,826 12.7 6",,,,,0
MAARA,"35,041","34,779 262",,,"28,925","83.2 5,845 16.8 9",,,,,0
MERU SOUTH,"28,249","28,211 38",,,"20,258","71.8 7,943 28.2 10",,,,,0
THARAKA NORTH,"13,413","13,403 10",,,"12,307","91.8 1,088 8.1 8",,,,,0.1
THARAKA SOUTH,"18,646","18,603 43",,,"16,311","87.7 2,289 12.3 3",,,,,0
MT. KENYA FOREST,113,71 42,,,-,- 71 100.0 -,,,,,-
EMBU,"182,743","182,427 316",,,"133,108","73.0 49,298 27.0 21",,,,,0
EMBU EAST,"39,678","39,586 92",,,"32,844","83.0 6,742 17.0 -",,,,,-
EMBU NORTH,"24,300","24,294 6",,,"20,104","82.8 4,188 17.2 2",,,,,0
EMBU WEST,"43,153","43,126 27",,,"19,840","46.0 23,280 54.0 6",,,,,0
MBEERE SOUTH,"46,065","45,924 141",,,"36,283","79.0 9,630 21.0 11",,,,,0
MBEERE NORTH,"29,528","29,483 45",,,"24,037","81.5 5,444 18.5 2",,,,,0
MT. KENYA FOREST,19,14 5,,,-,- 14 100.0 -,,,,,-
KITUI,"262,942","261,814 1,128",,,"224,626","85.8 37,132 14.2 56",,,,,0
IKUTHA,"16,679","16,579 100",,,"15,115","91.2 1,463 8.8 1",,,,,0
