County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus,number,county,number_of_schools,total_enrolment,average_school_size,place,population,land_area_km_sq,pop_density_per_km_sq,number_ptr,county_ptr,Enrolment,public_teachers,public_PTR,public_enrolment,private_teachers,private_PTR,overall_pri_ptr_no,overall_pri_ptr_county,overall_pri_ptr_enrolment,overall_pri_ptr_teachers,overall_pri_ptr_PTR,txtbk_no,txtbk_county,txtbk_grade_1,txtbk_grade_2,txtbk_grade_3,pupil_textbook_ratio,s_number_elec,county_elec,national_grid,solar,no_power,elec_table_total,complete_dig_SN,complete_dig_county,number_of_pri_schools_by_2016,number_of_schools_w_complete_digital_devices,pct_installed,detailed_digi_SN,detailed_digi_county,installed_learner_digi_devices,installed_learner_digi_devices,Installed_digi_content_server_and_wireless_routers,installed_projectors,installed_special_needs_edu_devices,nasmla_number,nasmla_county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE
Kakamega,"10,412.85","12,389.41","1,499.98",844.39,"1,118.24","2,113.00","13,031.06","15,346.80",11,Kakamega,"1,120","555,021",496,Kakamega,"1,867,579","3,020.00",618,11,Kakamega,"519,857","10,664",49,"35,164","1,825",19,11,Kakamega,"555,021","12,489",44,11,Kakamega,0.97,0.98,0.99,0.98,37,Kakamega,887,9,13,909,11,Kakamega,880,879,99.89,11,Kakamega,"66,404","1,760",880,880,93,11,Kakamega,469,18.1,485.1,20.9,503,13.8
Kericho,"5,380.50","6,430.66",780.03,722.35,595.98,494.05,"6,756.51","7,647.07",12,Kericho,827,"222,619",269,Kericho,"901,777","2,436.10",370,12,Kericho,"178,579","5,494",33,"44,040","2,154",20,12,Kericho,"222,619","7,648",29,12,Kericho,0.96,0.97,0.97,0.97,35,Kericho,497,1,0,498,12,Kericho,503,502,99.8,12,Kericho,"23,783","1,004",502,502,66,12,Kericho,457.1,16.4,449.4,20.1,449.5,14.5
Kiambu,"9,431.70","11,717.53","1,418.16",742.54,"2,425.25","3,883.30","13,275.10","16,343.37",13,Kiambu,899,"347,510",387,Kiambu,"2,417,735","2,538.60",952,13,Kiambu,"227,580","6,129",37,"119,930","4,227",28,13,Kiambu,"347,510","10,356",34,13,Kiambu,0.94,0.98,0.96,0.96,22,Kiambu,461,0,1,462,13,Kiambu,481,481,100,13,Kiambu,"23,732",962,481,481,50,13,Kiambu,554.4,39.2,594.7,26,562,20
Kilifi,"10,444.50","11,641.59","1,807.24","2,307.31",833.85,925,"13,085.59","14,873.90",14,Kilifi,842,"353,254",420,Kilifi,"1,453,787","12,539.70",116,14,Kilifi,"310,881","5,869",53,"42,373","2,063",21,14,Kilifi,"353,254","7,932",45,14,Kilifi,0.93,0.94,0.96,0.94,3,Kilifi,439,101,10,550,14,Kilifi,507,507,100,14,Kilifi,"33,245","1,014",507,507,,14,Kilifi,559.7,12.8,533.4,22.6,581.5,9.5
Kirinyaga,"4,241.10","5,196.18",592.59,726.94,346.52,485,"5,180.21","6,408.11",15,Kirinyaga,355,"108,014",304,Kirinyaga,"610,411","1,478.30",413,15,Kirinyaga,"76,840","2,535",30,"31,174","1,824",17,15,Kirinyaga,"108,014","4,359",25,15,Kirinyaga,0.91,0.91,0.92,0.91,20,Kirinyaga,197,1,0,198,15,Kirinyaga,199,199,100,15,Kirinyaga,"9,329",398,199,199,15,15,Kirinyaga,493.6,15.3,508.6,11.6,496.4,4.3
Kisii,"7,785.90","8,894.27","1,244.00",728.94,403,700,"9,432.90","10,323.22",16,Kisii,"1,107","309,794",280,Kisii,"1,266,860","1,323.00",958,16,Kisii,"255,616","7,344",35,"54,178","2,345",23,16,Kisii,"309,794","9,689",32,16,Kisii,1.01,1.01,1.03,1.01,45,Kisii,694,1,3,698,16,Kisii,697,696,99.86,16,Kisii,"35,050","1,392",696,696,37,16,Kisii,478.8,18.7,455,16.4,473,22.4
Kisumu,"6,836.40","8,026.14","1,197.23",922.93,822.3,"1,984.00","8,855.93","10,933.07",17,Kisumu,821,"287,164",350,Kisumu,"1,155,574","2,085.40",554,17,Kisumu,"254,011","6,174",41,"33,153","1,554",21,17,Kisumu,"287,164","7,728",37,17,Kisumu,0.91,0.92,0.93,0.92,42,Kisumu,615,0,0,615,17,Kisumu,613,613,100,17,Kisumu,"30,716","1,226",613,613,110,17,Kisumu,464.8,24,484,27.4,459.6,28.6
Kitui,"8,830.35","10,393.97",833.88,658.52,326.45,850,"9,990.68","11,902.49",18,Kitui,"1,620","335,078",207,Kitui,"1,136,187","30,429.50",37,18,Kitui,"318,630","10,142",31,"16,448","1,126",15,18,Kitui,"335,078","11,268",30,18,Kitui,0.98,0.98,0.98,0.98,15,Kitui,885,484,45,"1,414",18,Kitui,,,99.6,18,Kitui,"42,732","2,466","1,233","1,233",,18,Kitui,482.6,17.6,448.9,15.1,467.7,12.7
Kwale,"7,785.90","8,265.59","1,164.15","1,237.99",250.09,315,"9,200.14","9,818.58",19,Kwale,532,"203,634",383,Kwale,"866,820","8,267.10",105,19,Kwale,"188,975","3,797",50,"14,659",947,15,19,Kwale,"203,634","4,744",43,19,Kwale,0.98,0.99,1,0.99,2,Kwale,349,51,21,421,19,Kwale,364,362,99.45,19,Kwale,"22,570",724,362,362,,19,Kwale,520.3,22,508.6,31.7,564.6,24.1
Laikipia,"4,177.80","5,136.27",715.83,748.11,840.4,"1,006.00","5,734.03","6,890.37",20,Laikipia,354,"97,710",276,Laikipia,"518,560","9,532.20",54,20,Laikipia,"85,592","2,719",31,"12,118",775,16,20,Laikipia,"97,710","3,494",28,20,Laikipia,0.95,0.97,0.98,0.97,31,Laikipia,245,53,2,300,20,Laikipia,292,289,98.97,20,Laikipia,"11,096",578,289,289,10,20,Laikipia,484.3,27.8,482.5,26.9,491.7,32.3
