currently_attending_title,currently_attending_County_Sub_County,currently_attending_Total_astrsk,currently_attending_Pre_Primary,currently_attending_Primary,currently_attending_Secondary,currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,currently_attending_University,currently_attending_Adult_Basic_Education,currently_attending_Madrasa_slash_Duksi,currently_attending_Dont_Know,currently_attending_Not_Stated,highest_edu_title,highest_edu_County_slash_Sub_County,highest_edu_Total_astrsk,highest_edu_Pre_Primary,highest_edu_Primary,highest_edu_Secondary,highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,highest_edu_University,highest_edu_Adult_Basic_Education,highest_edu_Madrasa_slash_Duksi,highest_edu_None,highest_edu_Dont_Know,highest_edu_Not_Stated
IKUTHA,Male,"20,339","3,126","13,096","3,435",336,226,29,-,91,-,IKUTHA,Male,"33,266","2,470","20,637","4,774","1,308",409,28,-,"3,287",236,102
IKUTHA,Female,"19,337","2,827","12,358","3,593",312,152,28,-,67,-,IKUTHA,Female,"33,668","2,318","21,804","4,748","1,226",220,28,-,"2,986",204,60
KATULANI,KATULANI,"18,641","2,527","10,821","4,542",373,327,11,-,40,-,KATULANI,KATULANI,"38,698","1,826","22,085","8,742","2,382",778,11,-,"2,610",121,35
KATULANI,Male,"9,635","1,328","5,576","2,281",221,198,3,-,28,-,KATULANI,Male,"19,602",967,"10,844","4,583","1,220",459,4,-,"1,369",83,25
KATULANI,Female,"9,006","1,199","5,245","2,261",152,129,8,-,12,-,KATULANI,Female,"19,095",859,"11,241","4,159","1,162",319,7,-,"1,240",118,87
KISASI,KISASI,"19,501","3,018","11,927","3,991",260,234,14,-,57,-,KISASI,KISASI,"37,580","2,582","23,265","6,312","1,496",516,15,-,"3,189",70,44
KISASI,Male,"10,112","1,543","6,234","2,007",151,139,7,-,31,-,KISASI,Male,"19,003","1,369","11,536","3,252",776,328,7,-,"1,621",48,43
KISASI,Female,"9,389","1,475","5,693","1,984",109,95,7,-,26,-,KISASI,Female,"18,577","1,213","11,729","3,060",720,188,8,-,"1,568",373,125
KITUI CENTRAL,KITUI CENTRAL,"39,644","6,531","21,999","8,259","1,531","1,172",25,2,125,-,KITUI CENTRAL,KITUI CENTRAL,"88,883","4,061","45,193","21,648","7,387","3,370",23,-,"6,703",199,72
KITUI CENTRAL,Male,"20,082","3,361","11,211","4,083",701,639,16,1,70,-,KITUI CENTRAL,Male,"44,153","2,139","22,082","10,895","3,467","1,834",15,-,"3,450",174,53
KITUI CENTRAL,Female,"19,562","3,170","10,788","4,176",830,533,9,1,55,-,KITUI CENTRAL,Female,"44,728","1,922","23,110","10,752","3,920","1,536",8,-,"3,253",426,52
KITUI WEST,KITUI WEST,"29,215","4,525","17,224","6,166",627,595,7,1,70,-,KITUI WEST,KITUI WEST,"59,783","2,642","34,391","12,378","3,870","1,365",6,-,"4,653",199,28
KITUI WEST,Male,"14,933","2,285","8,940","3,052",307,308,3,-,38,-,KITUI WEST,Male,"29,252","1,394","16,701","5,990","1,807",785,2,-,"2,346",227,24
KITUI WEST,Female,"14,281","2,240","8,283","3,114",320,287,4,1,32,-,KITUI WEST,Female,"30,530","1,248","17,689","6,388","2,063",580,4,-,"2,307",392,263
KYUSO,KYUSO,"34,600","5,172","22,948","5,433",493,332,44,1,177,-,KYUSO,KYUSO,"58,859","4,778","37,321","7,552","2,373",740,39,-,"5,401",178,126
KYUSO,Male,"17,508","2,648","11,643","2,659",236,198,21,1,102,-,KYUSO,Male,"28,937","2,422","18,000","3,836","1,129",467,21,-,"2,758",214,137
KYUSO,Female,"17,091","2,524","11,305","2,773",257,134,23,-,75,-,KYUSO,Female,"29,921","2,356","19,321","3,715","1,244",273,18,-,"2,643",241,122
LOWER YATTA,LOWER YATTA,"26,585","3,422","16,418","5,693",448,493,23,-,88,-,LOWER YATTA,LOWER YATTA,"51,367","4,103","30,231","9,763","2,182",962,24,1,"3,738",127,65
LOWER YATTA,Male,"13,784","1,773","8,598","2,846",233,271,12,-,51,-,LOWER YATTA,Male,"26,288","2,177","15,210","5,027","1,160",569,13,-,"1,940",114,57
LOWER YATTA,Female,"12,801","1,649","7,820","2,847",215,222,11,-,37,-,LOWER YATTA,Female,"25,079","1,926","15,021","4,736","1,022",393,11,1,"1,798",149,37
MATINYANI,MATINYANI,"19,193","3,256","11,044","4,038",437,356,17,-,45,-,MATINYANI,MATINYANI,"40,061","1,944","22,781","8,373","2,653",781,15,-,"3,328",75,25
MATINYANI,Male,"9,909","1,681","5,728","2,009",242,213,11,-,25,-,MATINYANI,Male,"20,200",996,"11,370","4,221","1,363",421,8,-,"1,721",74,12
MATINYANI,Female,"9,284","1,575","5,316","2,029",195,143,6,-,20,-,MATINYANI,Female,"19,860",948,"11,410","4,152","1,290",360,7,-,"1,607",461,180
MIGWANI,MIGWANI,"33,664","5,064","19,958","6,969",829,660,23,1,160,-,MIGWANI,MIGWANI,"65,677","2,690","38,115","13,220","4,326","1,433",17,-,"5,235",202,108
MIGWANI,Male,"17,222","2,541","10,337","3,422",418,388,10,-,106,-,MIGWANI,Male,"31,764","1,394","18,211","6,348","2,021",839,10,-,"2,631",259,72
MIGWANI,Female,"16,440","2,523","9,620","3,547",411,271,13,1,54,-,MIGWANI,Female,"33,910","1,296","19,902","6,871","2,305",594,7,-,"2,604",92,46
MUMONI,MUMONI,"13,808","2,132","8,763","2,509",179,150,44,-,31,-,MUMONI,MUMONI,"23,414","2,988","13,587","3,208",858,326,35,-,"2,274",39,26
MUMONI,Male,"6,857","1,046","4,373","1,223",86,83,26,-,20,-,MUMONI,Male,"11,198","1,469","6,260","1,621",440,192,24,-,"1,127",53,20
MUMONI,Female,"6,951","1,086","4,390","1,286",93,67,18,-,11,-,MUMONI,Female,"12,216","1,519","7,327","1,587",418,134,11,-,"1,147",162,120
MUTITU,MUTITU,"25,958","3,782","17,573","4,001",276,220,27,-,79,-,MUTITU,MUTITU,"41,209","2,897","27,184","5,162","1,257",408,29,-,"3,990",89,61
MUTITU,Male,"13,084","2,004","8,870","1,882",153,116,17,-,42,-,MUTITU,Male,"20,372","1,480","13,075","2,619",692,243,18,-,"2,095",73,59
MUTITU,Female,"12,872","1,778","8,701","2,119",123,104,10,-,37,-,MUTITU,Female,"20,835","1,417","14,107","2,543",565,165,11,-,"1,895",82,24
MUTITU NORTH,MUTITU NORTH,"9,275","1,269","6,063","1,660",145,103,10,-,25,-,MUTITU NORTH,MUTITU NORTH,"17,006","1,303","10,757","2,605",684,208,10,-,"1,333",41,16
MUTITU NORTH,Male,"4,763",676,"3,118",806,85,53,5,-,20,-,MUTITU NORTH,Male,"8,557",714,"5,256","1,330",356,140,7,-,697,41,8
MUTITU NORTH,Female,"4,511",593,"2,944",854,60,50,5,-,5,-,MUTITU NORTH,Female,"8,448",589,"5,500","1,275",328,68,3,-,636,571,135
MUTOMO,MUTOMO,"51,247","7,952","33,313","8,329",880,510,63,18,182,-,MUTOMO,MUTOMO,"87,071","6,138","54,596","12,091","4,151","1,005",57,-,"8,327",293,78
MUTOMO,Male,"25,989","4,103","16,965","4,019",455,316,28,10,93,-,MUTOMO,Male,"43,400","3,092","26,854","6,056","2,080",631,26,-,"4,290",278,57
MUTOMO,Female,"25,256","3,849","16,346","4,310",425,194,35,8,89,-,MUTOMO,Female,"43,668","3,044","27,741","6,035","2,071",374,31,-,"4,037",404,161
MWINGI CENTRAL,MWINGI CENTRAL,"46,035","6,982","28,700","8,511",873,754,62,2,150,1,MWINGI CENTRAL,MWINGI CENTRAL,"86,387","5,109","50,794","15,900","4,620","1,931",52,-,"7,416",211,84
MWINGI CENTRAL,Male,"23,501","3,548","14,812","4,181",420,425,38,1,76,-,MWINGI CENTRAL,Male,"42,345","2,586","24,679","7,788","2,104","1,107",32,-,"3,754",193,77
MWINGI CENTRAL,Female,"22,534","3,434","13,888","4,330",453,329,24,1,74,1,MWINGI CENTRAL,Female,"44,042","2,523","26,115","8,112","2,516",824,20,-,"3,662",365,237
MWINGI EAST,MWINGI EAST,"39,172","5,758","25,767","6,523",566,330,28,-,200,-,MWINGI EAST,MWINGI EAST,"64,565","4,520","41,851","8,596","2,237",695,30,-,"6,034",169,99
MWINGI EAST,Male,"19,856","2,996","13,130","3,166",261,194,16,-,93,-,MWINGI EAST,Male,"31,539","2,270","19,948","4,365","1,095",457,17,-,"3,119",196,138
MWINGI EAST,Female,"19,314","2,761","12,636","3,357",305,136,12,-,107,-,MWINGI EAST,Female,"33,022","2,250","21,901","4,230","1,142",238,13,-,"2,914",109,33
NZAMBANI,NZAMBANI,"19,051","3,052","11,616","3,724",353,235,18,1,52,-,NZAMBANI,NZAMBANI,"38,625","2,258","22,893","7,305","2,088",771,15,-,"3,153",52,17
NZAMBANI,Male,"9,831","1,566","5,986","1,921",189,130,13,-,26,-,NZAMBANI,Male,"19,454","1,159","11,300","3,836","1,012",451,11,-,"1,616",57,16
NZAMBANI,Female,"9,220","1,486","5,630","1,803",164,105,5,1,26,-,NZAMBANI,Female,"19,170","1,098","11,593","3,469","1,076",320,4,-,"1,537",76,11
THAGICU,THAGICU,"6,905","1,107","4,240","1,338",121,69,8,-,22,-,THAGICU,THAGICU,"11,778",692,"7,485","1,672",535,115,9,-,"1,183",41,7
THAGICU,Male,"3,457",552,"2,167",626,46,44,3,-,19,-,THAGICU,Male,"5,745",356,"3,592",811,272,78,4,-,584,35,4
THAGICU,Female,"3,447",555,"2,072",712,75,25,5,-,3,-,THAGICU,Female,"6,032",336,"3,892",861,263,37,5,-,599,102,91
TSEIKURU,TSEIKURU,"18,556","2,710","12,471","2,851",260,153,46,-,65,-,TSEIKURU,TSEIKURU,"30,246","2,955","18,971","3,749","1,091",314,46,-,"2,927",56,46
TSEIKURU,Male,"9,316","1,378","6,220","1,427",126,105,27,-,33,-,TSEIKURU,Male,"15,036","1,448","9,140","2,032",591,212,26,-,"1,485",46,45
TSEIKURU,Female,"9,240","1,332","6,251","1,424",134,48,19,-,32,-,TSEIKURU,Female,"15,210","1,507","9,831","1,717",500,102,20,-,"1,442","4,396","2,023"
MACHAKOS,MACHAKOS,"505,677","79,502","287,319","107,067","14,991","15,044",462,7,"1,285",-,MACHAKOS,MACHAKOS,"1,228,605","53,239","605,837","329,876","103,533","47,371",446,4,"81,880","2,296","1,119"
MACHAKOS,Male,"258,981","40,849","148,270","52,995","7,623","8,266",235,5,738,-,MACHAKOS,Male,"621,093","27,695","301,229","168,191","51,203","27,101",233,3,"42,023","2,100",904
MACHAKOS,Female,"246,686","38,650","139,044","54,070","7,368","6,778",227,2,547,-,MACHAKOS,Female,"607,488","25,544","304,596","161,678","52,328","20,270",213,1,"39,854","1,051",516
ATHI RIVER,ATHI RIVER,"98,497","19,610","47,846","18,688","4,891","6,889",125,1,447,-,ATHI RIVER,ATHI RIVER,"282,339","8,056","96,106","93,488","37,574","25,535",122,3,"19,888",616,286
ATHI RIVER,Male,"49,337","9,980","23,955","9,161","2,319","3,623",58,-,241,-,ATHI RIVER,Male,"143,817","4,139","48,104","48,284","18,288","13,925",57,2,"10,116",435,230
ATHI RIVER,Female,"49,159","9,629","23,891","9,527","2,572","3,266",67,1,206,-,ATHI RIVER,Female,"138,521","3,917","48,002","45,204","19,286","11,610",65,1,"9,771",195,112
KALAMA,KALAMA,"19,779","2,824","11,768","4,494",344,286,20,-,43,-,KALAMA,KALAMA,"45,900","2,792","24,372","11,802","2,766",826,23,-,"3,012",89,53
KALAMA,Male,"10,196","1,470","6,134","2,204",170,177,12,-,29,-,KALAMA,Male,"22,978","1,437","11,938","5,982","1,386",526,11,-,"1,556",106,59
KALAMA,Female,"9,582","1,354","5,634","2,289",174,109,8,-,14,-,KALAMA,Female,"22,917","1,355","12,432","5,817","1,380",300,12,-,"1,456",297,51
KANGUNDO,KANGUNDO,"35,182","5,183","20,694","7,916",696,629,14,-,50,-,KANGUNDO,KANGUNDO,"87,052","4,037","44,720","25,441","5,731","1,449",12,-,"5,314",132,27
KANGUNDO,Male,"18,188","2,631","10,850","3,972",367,342,4,-,22,-,KANGUNDO,Male,"43,862","2,077","22,096","12,884","3,029",929,5,-,"2,683",165,24
KANGUNDO,Female,"16,994","2,552","9,844","3,944",329,287,10,-,28,-,KANGUNDO,Female,"43,189","1,960","22,624","12,556","2,702",520,7,-,"2,631",351,140
KATHIANI,KATHIANI,"42,712","6,234","25,961","9,045",818,578,22,-,54,-,KATHIANI,KATHIANI,"97,951","3,834","57,325","21,982","6,402","1,502",17,-,"6,398",178,83
KATHIANI,Male,"22,119","3,208","13,527","4,522",461,358,10,-,33,-,KATHIANI,Male,"48,853","1,998","27,923","11,103","3,329",958,10,-,"3,271",173,57
KATHIANI,Female,"20,591","3,025","12,433","4,523",357,220,12,-,21,-,KATHIANI,Female,"49,094","1,836","29,400","10,878","3,073",544,7,-,"3,126",628,266
MACHAKOS,MACHAKOS,"54,322","9,153","28,687","11,513","2,407","2,411",33,-,118,-,MACHAKOS,MACHAKOS,"149,046","5,135","66,213","41,651","18,192","7,571",28,-,"9,362",325,145
MACHAKOS,Male,"27,561","4,662","14,722","5,670","1,084","1,338",13,-,72,-,MACHAKOS,Male,"75,155","2,626","33,407","20,933","8,622","4,312",15,-,"4,770",303,121
MACHAKOS,Female,"26,758","4,490","13,964","5,842","1,323","1,073",20,-,46,-,MACHAKOS,Female,"73,885","2,509","32,804","20,717","9,568","3,259",13,-,"4,591",521,414
MASINGA,MASINGA,"59,688","8,399","37,736","11,432","1,024",882,59,2,154,-,MASINGA,MASINGA,"123,806","6,795","75,685","23,898","5,809","1,865",65,-,"8,754",286,230
MASINGA,Male,"30,933","4,426","19,693","5,628",518,530,33,2,103,-,MASINGA,Male,"62,390","3,597","37,527","11,988","2,943","1,181",36,-,"4,602",235,184
MASINGA,Female,"28,754","3,973","18,042","5,804",506,352,26,-,51,-,MASINGA,Female,"61,414","3,198","38,156","11,910","2,866",684,29,-,"4,152",396,133
MATUNGULU,MATUNGULU,"58,093","9,443","33,511","12,411","1,425","1,175",41,1,86,-,MATUNGULU,MATUNGULU,"141,017","6,860","72,601","38,401","9,860","2,996",33,-,"9,737",191,86
MATUNGULU,Male,"29,817","4,797","17,329","6,230",753,633,23,1,51,-,MATUNGULU,Male,"71,601","3,583","36,412","19,691","4,948","1,731",17,-,"4,942",205,47
MATUNGULU,Female,"28,274","4,646","16,180","6,181",672,542,18,-,35,-,MATUNGULU,Female,"69,413","3,277","36,187","18,709","4,912","1,265",16,-,"4,795",487,147
MWALA,MWALA,"69,402","9,320","41,422","16,027","1,305","1,129",71,2,126,-,MWALA,MWALA,"157,089","8,798","87,431","38,762","8,841","2,849",69,1,"9,704",231,74
MWALA,Male,"36,048","4,859","21,677","8,079",674,657,35,1,66,-,MWALA,Male,"79,772","4,647","43,547","19,877","4,516","1,789",32,1,"5,058",256,73
MWALA,Female,"33,354","4,461","19,745","7,948",631,472,36,1,60,-,MWALA,Female,"77,316","4,151","43,883","18,885","4,325","1,060",37,-,"4,646",470,244
YATTA,YATTA,"68,002","9,336","39,694","15,541","2,081","1,065",77,1,207,-,YATTA,YATTA,"144,405","6,932","81,384","34,451","8,358","2,778",77,-,"9,711",248,135
YATTA,Male,"34,782","4,816","20,383","7,529","1,277",608,47,1,121,-,YATTA,Male,"72,665","3,591","40,275","17,449","4,142","1,750",50,-,"5,025",222,109
YATTA,Female,"33,220","4,520","19,311","8,012",804,457,30,-,86,-,YATTA,Female,"71,739","3,341","41,108","17,002","4,216","1,028",27,-,"4,686","3,356","1,602"
MAKUENI,MAKUENI,"395,627","52,909","235,037","90,576","8,419","7,541",269,23,853,-,MAKUENI,MAKUENI,"837,302","44,883","470,494","195,236","49,293","17,218",253,2,"54,965","1,708",888
MAKUENI,Male,"202,949","27,300","121,515","44,836","4,185","4,502",125,20,466,-,MAKUENI,Male,"420,302","23,044","232,854","97,989","24,676","10,750",123,1,"28,269","1,648",714
MAKUENI,Female,"192,669","25,608","113,518","45,738","4,233","3,038",144,3,387,-,MAKUENI,Female,"416,985","21,838","237,630","97,246","24,615","6,468",130,1,"26,695",436,163
KATHONZWENI,KATHONZWENI,"33,164","4,046","19,379","8,323",691,608,19,-,98,-,KATHONZWENI,KATHONZWENI,"67,132","3,524","38,281","15,085","4,009","1,274",13,-,"4,347",249,87
KATHONZWENI,Male,"17,094","2,059","10,184","4,108",333,352,7,-,51,-,KATHONZWENI,Male,"33,684","1,847","18,928","7,542","2,011",806,6,-,"2,208",187,76
KATHONZWENI,Female,"16,069","1,987","9,195","4,215",357,256,12,-,47,-,KATHONZWENI,Female,"33,445","1,677","19,350","7,543","1,998",468,7,-,"2,139",599,267
KIBWEZI,KIBWEZI,"82,524","10,751","50,296","18,909","1,178","1,176",44,16,154,-,KIBWEZI,KIBWEZI,"163,384","9,538","97,331","34,804","6,935","2,709",44,-,"11,157",333,158
KIBWEZI,Male,"42,482","5,478","26,135","9,424",606,727,21,16,75,-,KIBWEZI,Male,"82,305","4,864","48,462","17,461","3,547","1,785",21,-,"5,674",266,109
KIBWEZI,Female,"40,039","5,273","24,160","9,484",572,448,23,-,79,-,KIBWEZI,Female,"81,075","4,674","48,866","17,343","3,387",924,23,-,"5,483",163,90
KILUNGU,KILUNGU,"25,498","3,516","15,571","5,412",464,443,27,1,64,-,KILUNGU,KILUNGU,"52,526","2,429","31,204","11,532","2,577",893,23,-,"3,615",66,49
KILUNGU,Male,"12,802","1,816","7,818","2,623",225,272,15,-,33,-,KILUNGU,Male,"25,443","1,208","14,761","5,647","1,279",548,14,-,"1,871",97,41
KILUNGU,Female,"12,696","1,700","7,753","2,789",239,171,12,1,31,-,KILUNGU,Female,"27,082","1,221","16,442","5,885","1,298",345,9,-,"1,744",250,201
MAKINDU,MAKINDU,"33,771","4,757","20,596","7,001",693,617,34,1,72,-,MAKINDU,MAKINDU,"70,628","3,852","39,795","15,853","4,140","1,536",34,1,"4,966",139,108
MAKINDU,Male,"17,300","2,535","10,615","3,424",298,372,17,1,38,-,MAKINDU,Male,"35,212","2,045","19,469","7,842","1,979",981,17,1,"2,631",111,93
MAKINDU,Female,"16,471","2,222","9,981","3,577",395,245,17,-,34,-,MAKINDU,Female,"35,416","1,807","20,326","8,011","2,161",555,17,-,"2,335",586,139
MAKUENI,MAKUENI,"48,433","6,859","27,048","11,178","1,785","1,431",37,-,95,-,MAKUENI,MAKUENI,"112,666","6,135","55,942","29,085","9,803","3,759",35,-,"7,182",282,81
MAKUENI,Male,"24,818","3,620","13,996","5,435",859,834,16,-,58,-,MAKUENI,Male,"57,095","3,156","28,067","14,572","4,912","2,244",16,-,"3,765",304,58
MAKUENI,Female,"23,613","3,239","13,050","5,743",926,597,21,-,37,-,MAKUENI,Female,"55,569","2,978","27,874","14,513","4,891","1,515",19,-,"3,417",298,178
MBOONI EAST,MBOONI EAST,"39,608","5,307","23,053","9,494",853,776,43,1,81,-,MBOONI EAST,MBOONI EAST,"83,425","5,317","46,619","19,163","4,852","1,490",44,-,"5,464",145,103
MBOONI EAST,Male,"20,632","2,761","12,079","4,819",460,457,14,1,41,-,MBOONI EAST,Male,"41,942","2,772","23,080","9,630","2,449",919,14,-,"2,830",153,75
MBOONI EAST,Female,"18,975","2,545","10,974","4,675",393,319,29,-,40,-,MBOONI EAST,Female,"41,482","2,545","23,539","9,533","2,403",571,30,-,"2,633",384,202
MBOONI WEST,MBOONI WEST,"42,564","5,479","25,720","9,734",834,659,26,-,112,-,MBOONI WEST,MBOONI WEST,"88,610","4,523","50,152","21,010","5,094","1,567",21,-,"5,657",170,112
MBOONI WEST,Male,"21,819","2,783","13,318","4,820",442,376,13,-,67,-,MBOONI WEST,Male,"43,407","2,330","24,146","10,292","2,514",965,13,-,"2,865",214,90
MBOONI WEST,Female,"20,745","2,696","12,402","4,914",392,283,13,-,45,-,MBOONI WEST,Female,"45,202","2,193","26,006","10,718","2,579",602,8,-,"2,792",232,111
MUKAA,MUKAA,"39,315","5,642","22,929","8,960",873,824,17,4,66,-,MUKAA,MUKAA,"91,871","4,684","50,206","23,465","5,463","1,848",19,1,"5,842",117,59
MUKAA,Male,"20,066","2,911","11,722","4,436",435,509,10,2,41,-,MUKAA,Male,"47,042","2,366","25,373","12,157","2,796","1,150",11,-,"3,013",115,52
MUKAA,Female,"19,249","2,731","11,207","4,524",438,315,7,2,25,-,MUKAA,Female,"44,829","2,318","24,833","11,308","2,667",698,8,1,"2,829",408,251
NZAUI,NZAUI,"50,750","6,552","30,445","11,565","1,048","1,007",22,-,111,-,NZAUI,NZAUI,"107,060","4,881","60,964","25,239","6,420","2,142",20,-,"6,735",207,131
NZAUI,Male,"25,936","3,337","15,648","5,747",527,603,12,-,62,-,NZAUI,Male,"54,172","2,456","30,568","12,846","3,189","1,352",11,-,"3,412",201,120
NZAUI,Female,"24,812","3,215","14,796","5,817",521,404,10,-,49,-,NZAUI,Female,"52,885","2,425","30,394","12,392","3,231",790,9,-,"3,323","1,211",243
NYANDARUA,NYANDARUA,"249,756","40,050","136,401","61,944","6,030","4,970",107,2,252,-,NYANDARUA,NYANDARUA,"554,036","22,418","304,961","146,945","27,565","9,751",68,1,"40,873",592,138
NYANDARUA,Male,"128,283","20,651","70,491","31,052","3,039","2,863",37,-,150,-,NYANDARUA,Male,"277,223","11,457","152,064","72,031","13,821","6,070",33,1,"21,016",619,104
NYANDARUA,Female,"121,466","19,398","65,906","30,890","2,991","2,107",70,2,102,-,NYANDARUA,Female,"276,797","10,960","152,887","74,911","13,744","3,681",35,-,"19,856",127,37
KINANGOP,KINANGOP,"43,363","6,444","23,929","11,155",993,799,18,-,25,-,KINANGOP,KINANGOP,"96,274","3,899","54,233","25,483","4,442","1,500",12,1,"6,540",64,21
KINANGOP,Male,"22,094","3,273","12,334","5,465",526,468,10,-,18,-,KINANGOP,Male,"47,838","2,004","26,910","12,417","2,169",926,8,1,"3,318",63,16
KINANGOP,Female,"21,268","3,170","11,595","5,690",467,331,8,-,7,-,KINANGOP,Female,"48,433","1,895","27,321","13,066","2,273",574,4,-,"3,221",166,15
NYANDARUA SOUTH,NYANDARUA SOUTH,"37,199","5,746","20,197","9,463",983,770,11,1,28,-,NYANDARUA SOUTH,NYANDARUA SOUTH,"81,756","3,371","45,396","21,028","4,305","1,640",6,-,"5,829",89,10
NYANDARUA SOUTH,Male,"19,039","2,942","10,438","4,726",470,439,3,-,21,-,NYANDARUA SOUTH,Male,"40,704","1,741","22,637","10,065","2,166","1,025",4,-,"2,967",77,5
NYANDARUA SOUTH,Female,"18,158","2,804","9,758","4,736",513,331,8,1,7,-,NYANDARUA SOUTH,Female,"41,049","1,630","22,758","10,961","2,139",615,2,-,"2,862",94,28
MIRANGINE,MIRANGINE,"26,957","4,570","14,955","6,448",565,357,11,-,51,-,MIRANGINE,MIRANGINE,"57,966","2,391","32,617","15,110","2,262",643,5,-,"4,816",48,17
MIRANGINE,Male,"13,817","2,369","7,644","3,284",270,219,3,-,28,-,MIRANGINE,Male,"29,299","1,215","16,364","7,584","1,155",433,2,-,"2,481",46,11
MIRANGINE,Female,"13,139","2,201","7,310","3,164",295,138,8,-,23,-,MIRANGINE,Female,"28,666","1,176","16,252","7,526","1,107",210,3,-,"2,335",230,32
KIPIPIRI,KIPIPIRI,"38,278","5,374","21,795","9,781",685,593,30,-,20,-,KIPIPIRI,KIPIPIRI,"81,270","3,634","49,097","18,756","2,986","1,005",19,-,"5,511",106,16
KIPIPIRI,Male,"19,577","2,772","11,277","4,803",359,347,8,-,11,-,KIPIPIRI,Male,"40,745","1,867","24,515","9,220","1,558",628,6,-,"2,829",124,16
KIPIPIRI,Female,"18,701","2,602","10,518","4,978",326,246,22,-,9,-,KIPIPIRI,Female,"40,523","1,766","24,581","9,536","1,428",377,13,-,"2,682",159,39
NYANDARUA CENTRAL,NYANDARUA CENTRAL,"28,484","4,736","15,485","6,809",749,655,7,-,43,-,NYANDARUA CENTRAL,NYANDARUA CENTRAL,"64,926","2,975","33,231","18,155","3,974","1,543",6,-,"4,844",85,21
NYANDARUA CENTRAL,Male,"14,750","2,523","8,007","3,470",353,370,3,-,24,-,NYANDARUA CENTRAL,Male,"32,684","1,501","16,687","8,909","1,948",950,3,-,"2,580",74,18
NYANDARUA CENTRAL,Female,"13,733","2,213","7,477","3,339",396,285,4,-,19,-,NYANDARUA CENTRAL,Female,"32,241","1,474","16,543","9,246","2,026",593,3,-,"2,264",169,34
NYANDARUA WEST,NYANDARUA WEST,"37,017","6,814","19,488","8,603","1,087",963,13,-,49,-,NYANDARUA WEST,NYANDARUA WEST,"85,804","2,896","44,130","24,806","5,026","1,851",9,-,"6,883",76,16
NYANDARUA WEST,Male,"19,269","3,514","10,228","4,385",566,547,3,-,26,-,NYANDARUA WEST,Male,"43,142","1,478","22,141","12,194","2,538","1,150",4,-,"3,545",93,18
NYANDARUA WEST,Female,"17,746","3,300","9,259","4,217",521,416,10,-,23,-,NYANDARUA WEST,Female,"42,658","1,418","21,985","12,612","2,488",701,5,-,"3,338",266,58
NYANDARUA NORTH,NYANDARUA NORTH,"38,458","6,366","20,552","9,685",968,833,17,1,36,-,NYANDARUA NORTH,NYANDARUA NORTH,"86,026","3,252","46,253","23,600","4,567","1,569",11,-,"6,450",124,37
NYANDARUA NORTH,Male,"19,737","3,258","10,563","4,919",495,473,7,-,22,-,NYANDARUA NORTH,Male,"42,801","1,651","22,808","11,637","2,284",958,6,-,"3,296",142,20
NYANDARUA NORTH,Female,"18,721","3,108","9,989","4,766",473,360,10,1,14,-,NYANDARUA NORTH,Female,"43,223","1,601","23,445","11,962","2,283",611,5,-,"3,154",-,-
ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,-,-,-,-,0,-,-,-,-,-,ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,14,-,4,7,3,-,-,-,-,-,-
ABERDARE NATIONAL PARK,Male,-,-,-,-,0,-,-,-,-,-,ABERDARE NATIONAL PARK,Male,10,-,2,5,3,-,-,-,-,-,-
ABERDARE NATIONAL PARK,Female,-,-,-,-,0,-,-,-,-,-,ABERDARE NATIONAL PARK,Female,4,-,2,2,-,-,-,-,-,"2,170",623
NYERI,NYERI,"253,898","40,226","127,981","63,361","10,755","10,929",116,4,526,-,NYERI,NYERI,"669,179","21,243","310,058","213,006","58,744","22,341",66,-,"40,928","1,050",325
NYERI,Male,"130,417","20,618","65,726","32,228","5,288","6,214",42,2,299,-,NYERI,Male,"333,191","10,675","153,928","105,311","27,907","13,063",32,-,"20,900","1,120",298
NYERI,Female,"123,475","19,607","62,251","31,132","5,467","4,715",74,2,227,-,NYERI,Female,"335,963","10,568","156,110","107,691","30,837","9,278",34,-,"20,027",222,47
TETU,TETU,"26,827","4,258","13,585","7,004","1,114",804,18,1,43,-,TETU,TETU,"71,556","3,104","33,512","23,066","5,595","1,634",10,-,"4,366",105,18
TETU,Male,"13,866","2,178","7,070","3,602",542,441,6,-,27,-,TETU,Male,"35,587","1,531","16,608","11,456","2,721",918,6,-,"2,224",117,29
TETU,Female,"12,961","2,080","6,515","3,402",572,363,12,1,16,-,TETU,Female,"35,967","1,573","16,903","11,609","2,874",716,4,-,"2,142",237,56
KIENI EAST,KIENI EAST,"37,003","6,127","19,531","9,126","1,217",933,11,-,58,-,KIENI EAST,KIENI EAST,"97,363","3,155","47,288","30,514","7,564","2,319",11,-,"6,219",131,40
KIENI EAST,Male,"18,863","3,105","9,978","4,611",600,528,7,-,34,-,KIENI EAST,Male,"49,107","1,602","24,014","15,203","3,591","1,368",8,-,"3,150",106,16
KIENI EAST,Female,"18,139","3,021","9,553","4,515",617,405,4,-,24,-,KIENI EAST,Female,"48,252","1,553","23,272","15,310","3,973",951,3,-,"3,068",211,73
