currently_attending_title,currently_attending_County_Sub_County,currently_attending_Total_astrsk,currently_attending_Pre_Primary,currently_attending_Primary,currently_attending_Secondary,currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,currently_attending_University,currently_attending_Adult_Basic_Education,currently_attending_Madrasa_slash_Duksi,currently_attending_Dont_Know,currently_attending_Not_Stated,highest_edu_title,highest_edu_County_slash_Sub_County,highest_edu_Total_astrsk,highest_edu_Pre_Primary,highest_edu_Primary,highest_edu_Secondary,highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,highest_edu_University,highest_edu_Adult_Basic_Education,highest_edu_Madrasa_slash_Duksi,highest_edu_None,highest_edu_Dont_Know,highest_edu_Not_Stated
MT. KENYA FOREST,MT. KENYA FOREST,64,7,9,4,43,1,-,-,-,-,MT. KENYA FOREST,MT. KENYA FOREST,154,1,24,107,12,3,-,-,7,-,-
MT. KENYA FOREST,Male,13,4,4,4,1,-,-,-,-,-,MT. KENYA FOREST,Male,71,-,14,43,9,1,-,-,4,-,-
MT. KENYA FOREST,Female,51,3,5,-,42,1,-,-,-,-,MT. KENYA FOREST,Female,83,1,10,64,3,2,-,-,3,"1,496",344
EMBU,EMBU,"205,389","30,130","115,139","47,397","6,675","5,492",201,12,343,-,EMBU,EMBU,"517,269","27,621","273,675","131,788","36,627","13,859",167,2,"31,690",793,191
EMBU,Male,"104,132","15,308","59,371","23,031","3,071","3,052",98,6,195,-,EMBU,Male,"262,672","14,254","140,996","65,267","17,115","7,882",87,1,"16,086",703,153
EMBU,Female,"101,251","14,819","55,766","24,365","3,604","2,440",103,6,148,-,EMBU,Female,"254,578","13,367","132,672","66,513","19,512","5,976",80,1,"15,601",292,69
EMBU EAST,EMBU EAST,"41,231","5,578","22,985","10,247","1,377",929,45,2,68,-,EMBU EAST,EMBU EAST,"111,127","5,467","59,064","30,222","7,622","2,414",32,-,"5,945",149,42
EMBU EAST,Male,"20,990","2,918","11,845","5,004",656,510,19,1,37,-,EMBU EAST,Male,"56,420","2,848","30,379","14,932","3,596","1,366",15,-,"3,093",143,27
EMBU EAST,Female,"20,240","2,659","11,140","5,243",721,419,26,1,31,-,EMBU EAST,Female,"54,705","2,619","28,684","15,290","4,026","1,048",17,-,"2,851",134,21
EMBU NORTH,EMBU NORTH,"25,255","3,589","13,302","6,824",839,639,25,1,36,-,EMBU NORTH,EMBU NORTH,"68,261","4,476","33,305","19,981","4,981","1,550",22,2,"3,789",69,11
EMBU NORTH,Male,"13,147","1,850","7,013","3,444",433,370,15,-,22,-,EMBU NORTH,Male,"34,819","2,383","17,220","9,871","2,429",875,13,1,"1,947",65,10
EMBU NORTH,Female,"12,108","1,739","6,289","3,380",406,269,10,1,14,-,EMBU NORTH,Female,"33,441","2,093","16,085","10,109","2,552",675,9,1,"1,842",426,80
EMBU WEST,EMBU WEST,"38,642","6,076","19,158","8,730","2,342","2,197",35,2,102,-,EMBU WEST,EMBU WEST,"109,340","4,602","47,120","32,365","12,601","5,862",17,-,"6,267",226,43
