Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
MATUGA,Male,"87,377","39,476 45.2","21,744 24.9","11,056 12.7","14,610 16.7",469,0.5,22
MATUGA,Female,"90,296","37,257 41.3","18,633 20.6","11,505 12.7","22,580 25.0",302,0.3,19
MSAMBWENI,MSAMBWENI,"159,936","61,075 38.2","52,123 32.6","22,798 14.3","22,665 14.2","1,245",0.8,30
MSAMBWENI,Male,"80,181","30,868 38.5","28,037 35.0","11,099 13.8","9,381 11.7",777,1,19
MSAMBWENI,Female,"79,752","30,206 37.9","24,085 30.2","11,698 14.7","13,284 16.7",468,0.6,11
SAMBURU,SAMBURU,"180,988","81,251 44.9","27,830 15.4","20,089 11.1","50,773 28.1",974,0.5,71
SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35
SAMBURU,Female,"94,339","39,571 41.9","12,208 12.9","10,001 10.6","32,061 34.0",462,0.5,36
KILIFI,KILIFI,"1,323,664","605,776 45.8","282,538 21.3","175,199 13.2","250,280 18.9","9,634",0.7,237
KILIFI,Male,"636,891","308,926 48.5","154,263 24.2","86,075 13.5","82,303 12.9","5,214",0.8,110
KILIFI,Female,"686,754","296,841 43.2","128,273 18.7","89,122 13.0","167,972 24.5","4,420",0.6,126
CHONYI,CHONYI,"57,246","28,875 50.4","8,612 15.0","7,410 12.9","12,060 21.1",289,0.5,-
CHONYI,Male,"26,917","14,936 55.5","4,814 17.9","3,513 13.1","3,509 13.0",145,0.5,-
