,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
195,Murang'a,Murang'a,21,Kangema,kangema,KANGEMA,KANGEMA,"75,668","26,598 35.2","29,670 39.2","13,379 17.7","5,775 7.6",246,0.3,-,"26,598",35.2,"29,670",39.2,"13,379",17.7,"5,775",7.6,509,KANGEMA,Male,"37,165","13,778 37.1","14,793 39.8","6,461 17.4","1,999 5.4",134,0.4,-,"13,778",37.1,"14,793",39.8,"6,461",17.4,"1,999",5.4,509,KANGEMA,Male,"37,165","13,778 37.1","14,793 39.8","6,461 17.4","1,999 5.4",134,0.4,-,"13,778",37.1,"14,793",39.8,"6,461",17.4,"1,999",5.4,kangema
411,Machakos,Machakos,16,Kangundo,kangundo,KANGUNDO,KANGUNDO,"92,505","35,182 38.0","34,196 37.0","17,672 19.1","5,041 5.4",412,0.4,2,"35,182",38,"34,196",37,"17,672",19.1,"5,041",5.4,371,KANGUNDO,Male,"45,935","18,188 39.6","17,431 37.9","8,242 17.9","1,855 4.0",218,0.5,1,"18,188",39.6,"17,431",37.9,"8,242",17.9,"1,855",4,371,KANGUNDO,Male,"45,935","18,188 39.6","17,431 37.9","8,242 17.9","1,855 4.0",218,0.5,1,"18,188",39.6,"17,431",37.9,"8,242",17.9,"1,855",4,kangundo
292,Uasin Gishu,Eldoret,27,Kapseret,kapseret,KAPSERET,KAPSERET,"182,852","77,598 42.4","63,881 34.9","30,189 16.5","9,559 5.2","1,578",0.9,47,"77,598",42.4,"63,881",34.9,"30,189",16.5,"9,559",5.2,653,KAPSERET,Male,"91,412","38,581 42.2","32,800 35.9","14,635 16.0","4,379 4.8",995,1.1,22,"38,581",42.2,"32,800",35.9,"14,635",16,"4,379",4.8,653,KAPSERET,Male,"91,412","38,581 42.2","32,800 35.9","14,635 16.0","4,379 4.8",995,1.1,22,"38,581",42.2,"32,800",35.9,"14,635",16,"4,379",4.8,kapseret
538,Nairobi,Nairobi City,47,Kasarani,kasarani,KASARANI,KASARANI,"710,889","246,064 34.6","350,997 49.4","82,530 11.6","24,115 3.4","6,962",1,221,"246,064",34.6,"350,997",49.4,"82,530",11.6,"24,115",3.4,1157,KASARANI,Male,"344,378","121,382 35.2","172,727 50.2","35,668 10.4","10,936 3.2","3,557",1,108,"121,382",35.2,"172,727",50.2,"35,668",10.4,"10,936",3.2,1157,KASARANI,Male,"344,378","121,382 35.2","172,727 50.2","35,668 10.4","10,936 3.2","3,557",1,108,"121,382",35.2,"172,727",50.2,"35,668",10.4,"10,936",3.2,kasarani
142,Machakos,Machakos,16,Kathiani,kathiani,KATHIANI,KATHIANI,"105,562","42,712 40.5","36,686 34.8","18,540 17.6","6,877 6.5",734,0.7,13,"42,712",40.5,"36,686",34.8,"18,540",17.6,"6,877",6.5,374,KATHIANI,Male,"51,709","22,119 42.8","18,110 35.0","8,618 16.7","2,445 4.7",411,0.8,6,"22,119",42.8,"18,110",35,"8,618",16.7,"2,445",4.7,374,KATHIANI,Male,"51,709","22,119 42.8","18,110 35.0","8,618 16.7","2,445 4.7",411,0.8,6,"22,119",42.8,"18,110",35,"8,618",16.7,"2,445",4.7,kathiani
412,Makueni,Wote,17,Kathonzweni,kathonzweni,KATHONZWENI,KATHONZWENI,"74,893","33,164 44.3","21,495 28.7","12,469 16.6","6,114 8.2","1,647",2.2,4,"33,164",44.3,"21,495",28.7,"12,469",16.6,"6,114",8.2,395,KATHONZWENI,Male,"36,846","17,094 46.4","10,424 28.3","6,164 16.7","2,307 6.3",855,2.3,2,"17,094",46.4,"10,424",28.3,"6,164",16.7,"2,307",6.3,395,KATHONZWENI,Male,"36,846","17,094 46.4","10,424 28.3","6,164 16.7","2,307 6.3",855,2.3,2,"17,094",46.4,"10,424",28.3,"6,164",16.7,"2,307",6.3,kathonzweni
117,Kitui,Kitui,15,Katulani,katulani,KATULANI,KATULANI,"44,328","18,641 42.1","13,632 30.8","6,425 14.5","4,896 11.0",734,1.7,-,"18,641",42.1,"13,632",30.8,"6,425",14.5,"4,896",11,311,KATULANI,Male,"21,770","9,635 44.3","6,804 31.3","3,163 14.5","1,756 8.1",412,1.9,-,"9,635",44.3,"6,804",31.3,"3,163",14.5,"1,756",8.1,311,KATULANI,Male,"21,770","9,635 44.3","6,804 31.3","3,163 14.5","1,756 8.1",412,1.9,-,"9,635",44.3,"6,804",31.3,"3,163",14.5,"1,756",8.1,katulani
330,Kitui,Kitui,15,Kauma,kauma,KAUMA,KAUMA,"20,821","10,969 52.7","3,354 16.1","1,753 8.4","4,517 21.7",228,1.1,-,"10,969",52.7,"3,354",16.1,"1,753",8.4,"4,517",21.7,56,KAUMA,Male,"10,054","5,659 56.3","2,004 19.9",865 8.6,"1,421 14.1",105,1,-,"5,659",56.3,"2,004",19.9,865,8.6,"1,421",14.1,56,KAUMA,Male,"10,054","5,659 56.3","2,004 19.9",865 8.6,"1,421 14.1",105,1,-,"5,659",56.3,"2,004",19.9,865,8.6,"1,421",14.1,kauma
26,Elgeyo-Marakwet,Iten,28,Keiyo north,keiyo north,KEIYO NORTH,KEIYO NORTH,"91,430","42,628 46.6","28,055 30.7","12,537 13.7","7,697 8.4",498,0.5,15,"42,628",46.6,"28,055",30.7,"12,537",13.7,"7,697",8.4,671,KEIYO NORTH,Male,"45,566","21,499 47.2","14,415 31.6","5,895 12.9","3,492 7.7",259,0.6,6,"21,499",47.2,"14,415",31.6,"5,895",12.9,"3,492",7.7,671,KEIYO NORTH,Male,"45,566","21,499 47.2","14,415 31.6","5,895 12.9","3,492 7.7",259,0.6,6,"21,499",47.2,"14,415",31.6,"5,895",12.9,"3,492",7.7,keiyo north
27,Elgeyo-Marakwet,Iten,28,Keiyo south,keiyo south,KEIYO SOUTH,KEIYO SOUTH,"112,236","53,990 48.1","29,430 26.2","17,097 15.2","9,984 8.9","1,715",1.5,20,"53,990",48.1,"29,430",26.2,"17,097",15.2,"9,984",8.9,674,KEIYO SOUTH,Male,"56,593","27,641 48.8","15,165 26.8","8,446 14.9","4,468 7.9",864,1.5,9,"27,641",48.8,"15,165",26.8,"8,446",14.9,"4,468",7.9,674,KEIYO SOUTH,Male,"56,593","27,641 48.8","15,165 26.8","8,446 14.9","4,468 7.9",864,1.5,9,"27,641",48.8,"15,165",26.8,"8,446",14.9,"4,468",7.9,keiyo south
318,Kenya,Kenya,,,,KENYA,KENYA,"43,739,906","17,780,277 40.7","11,568,544 26.4","6,854,538 15.7","7,120,542 16.3","406,887",0.9,"9,118","17,780,277",40.7,"11,568,544",26.4,"6,854,538",15.7,"7,120,542",16.3,1,KENYA,Male,"21,574,077","9,040,318 41.9","5,910,664 27.4","3,172,382 14.7","3,223,856 14.9","222,301",1,"4,556","9,040,318",41.9,"5,910,664",27.4,"3,172,382",14.7,"3,223,856",14.9,1,KENYA,Male,"21,574,077","9,040,318 41.9","5,910,664 27.4","3,172,382 14.7","3,223,856 14.9","222,301",1,"4,556","9,040,318",41.9,"5,910,664",27.4,"3,172,382",14.7,"3,223,856",14.9,kenya
525,Kisii,Kisii,45,Kenyenya,kenyenya,KENYENYA,KENYENYA,"122,925","59,619 48.5","23,835 19.4","26,141 21.3","12,676 10.3",644,0.5,10,"59,619",48.5,"23,835",19.4,"26,141",21.3,"12,676",10.3,1103,KENYENYA,Male,"58,489","30,262 51.7","12,242 20.9","10,806 18.5","4,857 8.3",317,0.5,5,"30,262",51.7,"12,242",20.9,"10,806",18.5,"4,857",8.3,1103,KENYENYA,Male,"58,489","30,262 51.7","12,242 20.9","10,806 18.5","4,857 8.3",317,0.5,5,"30,262",51.7,"12,242",20.9,"10,806",18.5,"4,857",8.3,kenyenya
481,Kericho,Kericho,35,,,KERICHO,KERICHO,"834,061","387,109 46.4","201,479 24.2","172,473 20.7","68,545 8.2","4,236",0.5,219,"387,109",46.4,"201,479",24.2,"172,473",20.7,"68,545",8.2,827,KERICHO,Male,"415,734","197,586 47.5","105,284 25.3","80,978 19.5","29,453 7.1","2,323",0.6,110,"197,586",47.5,"105,284",25.3,"80,978",19.5,"29,453",7.1,827,KERICHO,Male,"415,734","197,586 47.5","105,284 25.3","80,978 19.5","29,453 7.1","2,323",0.6,110,"197,586",47.5,"105,284",25.3,"80,978",19.5,"29,453",7.1,kericho
482,Kericho,Kericho,35,,,KERICHO EAST,KERICHO EAST,"156,786","67,745 43.2","47,847 30.5","29,259 18.7","11,236 7.2",628,0.4,71,"67,745",43.2,"47,847",30.5,"29,259",18.7,"11,236",7.2,836,KERICHO EAST,Male,"79,013","34,263 43.4","25,293 32.0","14,292 18.1","4,776 6.0",353,0.4,36,"34,263",43.4,"25,293",32,"14,292",18.1,"4,776",6,836,KERICHO EAST,Male,"79,013","34,263 43.4","25,293 32.0","14,292 18.1","4,776 6.0",353,0.4,36,"34,263",43.4,"25,293",32,"14,292",18.1,"4,776",6,kericho east
293,Uasin Gishu,Eldoret,27,Kesses,kesses,KESSES,KESSES,"137,814","65,544 47.6","36,970 26.8","22,931 16.6","11,734 8.5",622,0.5,13,"65,544",47.6,"36,970",26.8,"22,931",16.6,"11,734",8.5,656,KESSES,Male,"68,811","33,580 48.8","18,727 27.2","10,957 15.9","5,201 7.6",339,0.5,7,"33,580",48.8,"18,727",27.2,"10,957",15.9,"5,201",7.6,656,KESSES,Male,"68,811","33,580 48.8","18,727 27.2","10,957 15.9","5,201 7.6",339,0.5,7,"33,580",48.8,"18,727",27.2,"10,957",15.9,"5,201",7.6,kesses
67,Kakamega,Kakamega,37,Khwisero,khwisero,KHWISERO,KHWISERO,"106,001","51,333 48.4","20,061 18.9","22,911 21.6","11,292 10.7",394,0.4,10,"51,333",48.4,"20,061",18.9,"22,911",21.6,"11,292",10.7,884,KHWISERO,Male,"49,957","25,687 51.4","9,601 19.2","10,056 20.1","4,404 8.8",205,0.4,4,"25,687",51.4,"9,601",19.2,"10,056",20.1,"4,404",8.8,884,KHWISERO,Male,"49,957","25,687 51.4","9,601 19.2","10,056 20.1","4,404 8.8",205,0.4,4,"25,687",51.4,"9,601",19.2,"10,056",20.1,"4,404",8.8,khwisero
86,Kiambu,Kiambu,22,Kiambaa,kiambaa,KIAMBAA,KIAMBAA,"218,165","71,027 32.6","104,756 48.0","31,176 14.3","9,649 4.4","1,474",0.7,83,"71,027",32.6,"104,756",48,"31,176",14.3,"9,649",4.4,551,KIAMBAA,Male,"106,623","34,903 32.7","52,380 49.1","14,516 13.6","4,010 3.8",770,0.7,44,"34,903",32.7,"52,380",49.1,"14,516",13.6,"4,010",3.8,551,KIAMBAA,Male,"106,623","34,903 32.7","52,380 49.1","14,516 13.6","4,010 3.8",770,0.7,44,"34,903",32.7,"52,380",49.1,"14,516",13.6,"4,010",3.8,kiambaa
87,Kiambu,Kiambu,22,Kiambu,kiambu,KIAMBU,KIAMBU,"2,231,514","778,586 34.9","1,013,910 45.4","326,845 14.6","98,594 4.4","13,057",0.6,522,"778,586",34.9,"1,013,910",45.4,"326,845",14.6,"98,594",4.4,533,KIAMBU,Male,"1,092,380","388,770 35.6","504,910 46.2","151,002 13.8","40,162 3.7","7,274",0.7,262,"388,770",35.6,"504,910",46.2,"151,002",13.8,"40,162",3.7,533,KIAMBU,Male,"1,092,380","388,770 35.6","504,910 46.2","151,002 13.8","40,162 3.7","7,274",0.7,262,"388,770",35.6,"504,910",46.2,"151,002",13.8,"40,162",3.7,kiambu
88,Kiambu,Kiambu,22,Kiambu,kiambu,KIAMBU,KIAMBU,"2,231,514","778,586 34.9","1,013,910 45.4","326,845 14.6","98,594 4.4","13,057",0.6,522,"778,586",34.9,"1,013,910",45.4,"326,845",14.6,"98,594",4.4,554,KIAMBU,Male,"63,471","21,477 33.8","31,001 48.8","8,202 12.9","2,362 3.7",397,0.6,32,"21,477",33.8,"31,001",48.8,"8,202",12.9,"2,362",3.7,554,KIAMBU,Male,"63,471","21,477 33.8","31,001 48.8","8,202 12.9","2,362 3.7",397,0.6,32,"21,477",33.8,"31,001",48.8,"8,202",12.9,"2,362",3.7,kiambu
89,Kiambu,Kiambu,22,Kiambu,kiambu,KIAMBU,KIAMBU,"133,949","43,881 32.8","65,022 48.5","18,408 13.7","5,755 4.3",822,0.6,61,"43,881",32.8,"65,022",48.5,"18,408",13.7,"5,755",4.3,533,KIAMBU,Male,"1,092,380","388,770 35.6","504,910 46.2","151,002 13.8","40,162 3.7","7,274",0.7,262,"388,770",35.6,"504,910",46.2,"151,002",13.8,"40,162",3.7,533,KIAMBU,Male,"1,092,380","388,770 35.6","504,910 46.2","151,002 13.8","40,162 3.7","7,274",0.7,262,"388,770",35.6,"504,910",46.2,"151,002",13.8,"40,162",3.7,kiambu
90,Kiambu,Kiambu,22,Kiambu,kiambu,KIAMBU,KIAMBU,"133,949","43,881 32.8","65,022 48.5","18,408 13.7","5,755 4.3",822,0.6,61,"43,881",32.8,"65,022",48.5,"18,408",13.7,"5,755",4.3,554,KIAMBU,Male,"63,471","21,477 33.8","31,001 48.8","8,202 12.9","2,362 3.7",397,0.6,32,"21,477",33.8,"31,001",48.8,"8,202",12.9,"2,362",3.7,554,KIAMBU,Male,"63,471","21,477 33.8","31,001 48.8","8,202 12.9","2,362 3.7",397,0.6,32,"21,477",33.8,"31,001",48.8,"8,202",12.9,"2,362",3.7,kiambu
442,Turkana,Lodwar,23,Kibish,kibish,KIBISH,KIBISH,"33,611","2,577 7.7",277 0.8,315 0.9,"30,064 89.4",378,1.1,-,"2,577",7.7,277,0.8,315,0.9,"30,064",89.4,578,KIBISH,Male,"17,046","1,516 8.9",219 1.3,167 1.0,"14,978 87.9",166,1,-,"1,516",8.9,219,1.3,167,1,"14,978",87.9,578,KIBISH,Male,"17,046","1,516 8.9",219 1.3,167 1.0,"14,978 87.9",166,1,-,"1,516",8.9,219,1.3,167,1,"14,978",87.9,kibish
539,Nairobi,Nairobi City,47,Kibra,kibra,KIBRA,KIBRA,"169,509","64,675 38.2","69,361 40.9","27,119 16.0","6,547 3.9","1,755",1,52,"64,675",38.2,"69,361",40.9,"27,119",16,"6,547",3.9,1160,KIBRA,Male,"85,815","31,846 37.1","37,211 43.4","12,797 14.9","2,953 3.4",984,1.1,24,"31,846",37.1,"37,211",43.4,"12,797",14.9,"2,953",3.4,1160,KIBRA,Male,"85,815","31,846 37.1","37,211 43.4","12,797 14.9","2,953 3.4",984,1.1,24,"31,846",37.1,"37,211",43.4,"12,797",14.9,"2,953",3.4,kibra
413,Makueni,Wote,17,Kibwezi,kibwezi,KIBWEZI,KIBWEZI,"182,688","82,524 45.2","46,652 25.5","34,188 18.7","16,731 9.2","2,573",1.4,20,"82,524",45.2,"46,652",25.5,"34,188",18.7,"16,731",9.2,398,KIBWEZI,Male,"90,350","42,482 47.0","23,054 25.5","16,761 18.6","6,608 7.3","1,437",1.6,8,"42,482",47,"23,054",25.5,"16,761",18.6,"6,608",7.3,398,KIBWEZI,Male,"90,350","42,482 47.0","23,054 25.5","16,761 18.6","6,608 7.3","1,437",1.6,8,"42,482",47,"23,054",25.5,"16,761",18.6,"6,608",7.3,kibwezi
250,Nyeri,Nyeri,19,Kieni east,kieni east,KIENI EAST,KIENI EAST,"102,812","37,003 36.0","44,148 42.9","16,204 15.8","5,012 4.9",437,0.4,8,"37,003",36,"44,148",42.9,"16,204",15.8,"5,012",4.9,455,KIENI EAST,Male,"51,442","18,863 36.7","22,297 43.3","7,941 15.4","2,089 4.1",246,0.5,6,"18,863",36.7,"22,297",43.3,"7,941",15.4,"2,089",4.1,455,KIENI EAST,Male,"51,442","18,863 36.7","22,297 43.3","7,941 15.4","2,089 4.1",246,0.5,6,"18,863",36.7,"22,297",43.3,"7,941",15.4,"2,089",4.1,kieni east
251,Nyeri,Nyeri,19,Kieni west,kieni west,KIENI WEST,KIENI WEST,"82,829","31,845 38.4","33,177 40.1","12,931 15.6","4,335 5.2",536,0.6,5,"31,845",38.4,"33,177",40.1,"12,931",15.6,"4,335",5.2,458,KIENI WEST,Male,"41,026","16,390 40.0","16,583 40.4","6,125 14.9","1,633 4.0",292,0.7,3,"16,390",40,"16,583",40.4,"6,125",14.9,"1,633",4,458,KIENI WEST,Male,"41,026","16,390 40.0","16,583 40.4","6,125 14.9","1,633 4.0",292,0.7,3,"16,390",40,"16,583",40.4,"6,125",14.9,"1,633",4,kieni west
196,Murang'a,Murang'a,21,Kigumo,kigumo,KIGUMO,KIGUMO,"128,481","46,894 36.5","43,644 34.0","27,598 21.5","9,786 7.6",530,0.4,29,"46,894",36.5,"43,644",34,"27,598",21.5,"9,786",7.6,524,KIGUMO,Male,"63,728","24,235 38.0","22,240 34.9","13,257 20.8","3,685 5.8",295,0.5,16,"24,235",38,"22,240",34.9,"13,257",20.8,"3,685",5.8,524,KIGUMO,Male,"63,728","24,235 38.0","22,240 34.9","13,257 20.8","3,685 5.8",295,0.5,16,"24,235",38,"22,240",34.9,"13,257",20.8,"3,685",5.8,kigumo
91,Kiambu,Kiambu,22,Kikuyu,kikuyu,KIKUYU,KIKUYU,"172,833","59,423 34.4","82,430 47.7","23,152 13.4","7,080 4.1",733,0.4,15,"59,423",34.4,"82,430",47.7,"23,152",13.4,"7,080",4.1,557,KIKUYU,Male,"83,603","29,466 35.2","40,300 48.2","10,468 12.5","2,982 3.6",380,0.5,7,"29,466",35.2,"40,300",48.2,"10,468",12.5,"2,982",3.6,557,KIKUYU,Male,"83,603","29,466 35.2","40,300 48.2","10,468 12.5","2,982 3.6",380,0.5,7,"29,466",35.2,"40,300",48.2,"10,468",12.5,"2,982",3.6,kikuyu
327,Kilifi,Kilifi,3,,,KILIFI,KILIFI,"1,323,664","605,776 45.8","282,538 21.3","175,199 13.2","250,280 18.9","9,634",0.7,237,"605,776",45.8,"282,538",21.3,"175,199",13.2,"250,280",18.9,44,KILIFI,Male,"636,891","308,926 48.5","154,263 24.2","86,075 13.5","82,303 12.9","5,214",0.8,110,"308,926",48.5,"154,263",24.2,"86,075",13.5,"82,303",12.9,44,KILIFI,Male,"636,891","308,926 48.5","154,263 24.2","86,075 13.5","82,303 12.9","5,214",0.8,110,"308,926",48.5,"154,263",24.2,"86,075",13.5,"82,303",12.9,kilifi
98,Kilifi,Kilifi,3,Kilifi north,kilifi north,KILIFI NORTH,KILIFI NORTH,"162,990","72,834 44.7","40,268 24.7","24,984 15.3","23,855 14.6","1,040",0.6,9,"72,834",44.7,"40,268",24.7,"24,984",15.3,"23,855",14.6,59,KILIFI NORTH,Male,"78,763","36,930 46.9","21,544 27.4","12,190 15.5","7,498 9.5",597,0.8,4,"36,930",46.9,"21,544",27.4,"12,190",15.5,"7,498",9.5,59,KILIFI NORTH,Male,"78,763","36,930 46.9","21,544 27.4","12,190 15.5","7,498 9.5",597,0.8,4,"36,930",46.9,"21,544",27.4,"12,190",15.5,"7,498",9.5,kilifi north
99,Kilifi,Kilifi,3,Kilifi south,kilifi south,KILIFI SOUTH,KILIFI SOUTH,"187,663","76,984 41.0","53,927 28.7","28,002 14.9","26,646 14.2","2,092",1.1,12,"76,984",41,"53,927",28.7,"28,002",14.9,"26,646",14.2,62,KILIFI SOUTH,Male,"91,863","39,007 42.5","29,022 31.6","13,465 14.7","9,225 10.0","1,137",1.2,7,"39,007",42.5,"29,022",31.6,"13,465",14.7,"9,225",10,62,KILIFI SOUTH,Male,"91,863","39,007 42.5","29,022 31.6","13,465 14.7","9,225 10.0","1,137",1.2,7,"39,007",42.5,"29,022",31.6,"13,465",14.7,"9,225",10,kilifi south
414,Makueni,Wote,17,Kilungu,kilungu,KILUNGU,KILUNGU,"57,412","25,498 44.4","17,145 29.9","9,870 17.2","4,293 7.5",593,1,13,"25,498",44.4,"17,145",29.9,"9,870",17.2,"4,293",7.5,401,KILUNGU,Male,"27,241","12,802 47.0","8,021 29.4","4,614 16.9","1,537 5.6",261,1,6,"12,802",47,"8,021",29.4,"4,614",16.9,"1,537",5.6,401,KILUNGU,Male,"27,241","12,802 47.0","8,021 29.4","4,614 16.9","1,537 5.6",261,1,6,"12,802",47,"8,021",29.4,"4,614",16.9,"1,537",5.6,kilungu
498,Bungoma,Bungoma,39,Kimilili,kimilili,KIMILILI,KIMILILI,"149,814","74,973 50.0","26,056 17.4","30,550 20.4","16,170 10.8","2,060",1.4,5,"74,973",50,"26,056",17.4,"30,550",20.4,"16,170",10.8,950,KIMILILI,Male,"72,387","37,873 52.3","12,952 17.9","13,137 18.1","7,363 10.2","1,060",1.5,2,"37,873",52.3,"12,952",17.9,"13,137",18.1,"7,363",10.2,950,KIMILILI,Male,"72,387","37,873 52.3","12,952 17.9","13,137 18.1","7,363 10.2","1,060",1.5,2,"37,873",52.3,"12,952",17.9,"13,137",18.1,"7,363",10.2,kimilili
283,Trans-Nzoia,Kitale,26,Kiminini,kiminini,KIMININI,KIMININI,"223,724","107,137 47.9","49,292 22.0","47,032 21.0","18,555 8.3","1,698",0.8,10,"107,137",47.9,"49,292",22,"47,032",21,"18,555",8.3,644,KIMININI,Male,"108,525","54,118 49.9","24,204 22.3","21,113 19.5","8,115 7.5",970,0.9,5,"54,118",49.9,"24,204",22.3,"21,113",19.5,"8,115",7.5,644,KIMININI,Male,"108,525","54,118 49.9","24,204 22.3","21,113 19.5","8,115 7.5",970,0.9,5,"54,118",49.9,"24,204",22.3,"21,113",19.5,"8,115",7.5,kiminini
131,Kwale,Kwale,2,Kinango,kinango,KINANGO,KINANGO,"84,534","38,765 45.9","9,817 11.6","9,969 11.8","25,594 30.3",372,0.4,17,"38,765",45.9,"9,817",11.6,"9,969",11.8,"25,594",30.3,29,KINANGO,Male,"40,445","20,011 49.5","5,412 13.4","5,040 12.5","9,783 24.2",192,0.5,7,"20,011",49.5,"5,412",13.4,"5,040",12.5,"9,783",24.2,29,KINANGO,Male,"40,445","20,011 49.5","5,412 13.4","5,040 12.5","9,783 24.2",192,0.5,7,"20,011",49.5,"5,412",13.4,"5,040",12.5,"9,783",24.2,kinango
245,Nyandarua,Ol Kalou,18,Kinangop,kinangop,KINANGOP,KINANGOP,"103,793","43,363 41.8","33,354 32.1","19,541 18.8","7,351 7.1",168,0.2,16,"43,363",41.8,"33,354",32.1,"19,541",18.8,"7,351",7.1,425,KINANGOP,Male,"50,836","22,094 43.5","16,353 32.2","9,382 18.5","2,882 5.7",116,0.2,9,"22,094",43.5,"16,353",32.2,"9,382",18.5,"2,882",5.7,425,KINANGOP,Male,"50,836","22,094 43.5","16,353 32.2","9,382 18.5","2,882 5.7",116,0.2,9,"22,094",43.5,"16,353",32.2,"9,382",18.5,"2,882",5.7,kinangop
246,Nyandarua,Ol Kalou,18,Kipipiri,kipipiri,KIPIPIRI,KIPIPIRI,"87,881","38,278 43.6","27,710 31.5","15,268 17.4","6,377 7.3",234,0.3,14,"38,278",43.6,"27,710",31.5,"15,268",17.4,"6,377",7.3,434,KIPIPIRI,Male,"43,161","19,577 45.4","13,860 32.1","7,302 16.9","2,298 5.3",118,0.3,6,"19,577",45.4,"13,860",32.1,"7,302",16.9,"2,298",5.3,434,KIPIPIRI,Male,"43,161","19,577 45.4","13,860 32.1","7,302 16.9","2,298 5.3",118,0.3,6,"19,577",45.4,"13,860",32.1,"7,302",16.9,"2,298",5.3,kipipiri
483,Kericho,Kericho,35,Kipkelion,kipkelion,KIPKELION,KIPKELION,"112,279","55,631 49.5","21,741 19.4","21,796 19.4","12,574 11.2",474,0.4,63,"55,631",49.5,"21,741",19.4,"21,796",19.4,"12,574",11.2,839,KIPKELION,Male,"55,954","28,758 51.4","11,336 20.3","10,058 18.0","5,480 9.8",288,0.5,34,"28,758",51.4,"11,336",20.3,"10,058",18,"5,480",9.8,839,KIPKELION,Male,"55,954","28,758 51.4","11,336 20.3","10,058 18.0","5,480 9.8",288,0.5,34,"28,758",51.4,"11,336",20.3,"10,058",18,"5,480",9.8,kipkelion
444,West Pokot,Kapenguria,24,Kipkomo,kipkomo,KIPKOMO,KIPKOMO,"91,581","48,572 53.0","6,410 7.0","12,468 13.6","23,302 25.4",829,0.9,-,"48,572",53,"6,410",7,"12,468",13.6,"23,302",25.4,602,KIPKOMO,Male,"45,307","24,703 54.5","3,569 7.9","6,181 13.6","10,398 23.0",456,1,-,"24,703",54.5,"3,569",7.9,"6,181",13.6,"10,398",23,602,KIPKOMO,Male,"45,307","24,703 54.5","3,569 7.9","6,181 13.6","10,398 23.0",456,1,-,"24,703",54.5,"3,569",7.9,"6,181",13.6,"10,398",23,kipkomo
435,Kirinyaga,Kerugoya/Kutus,20,,,KIRINYAGA,KIRINYAGA,"571,312","193,518 33.9","199,413 34.9","136,968 24.0","37,445 6.6","3,931",0.7,37,"193,518",33.9,"199,413",34.9,"136,968",24,"37,445",6.6,482,KIRINYAGA,Male,"281,556","98,661 35.0","100,582 35.7","67,459 24.0","12,577 4.5","2,256",0.8,21,"98,661",35,"100,582",35.7,"67,459",24,"12,577",4.5,482,KIRINYAGA,Male,"281,556","98,661 35.0","100,582 35.7","67,459 24.0","12,577 4.5","2,256",0.8,21,"98,661",35,"100,582",35.7,"67,459",24,"12,577",4.5,kirinyaga
103,Kirinyaga,Kerugoya/Kutus,20,Kirinyaga central,kirinyaga central,KIRINYAGA CENTRAL,KIRINYAGA CENTRAL,"114,807","38,430 33.5","44,653 38.9","23,571 20.5","7,105 6.2","1,045",0.9,3,"38,430",33.5,"44,653",38.9,"23,571",20.5,"7,105",6.2,485,KIRINYAGA CENTRAL,Male,"55,919","19,502 34.9","22,314 39.9","11,449 20.5","2,062 3.7",590,1.1,2,"19,502",34.9,"22,314",39.9,"11,449",20.5,"2,062",3.7,485,KIRINYAGA CENTRAL,Male,"55,919","19,502 34.9","22,314 39.9","11,449 20.5","2,062 3.7",590,1.1,2,"19,502",34.9,"22,314",39.9,"11,449",20.5,"2,062",3.7,kirinyaga central
