,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
459,Baringo,Kabarnet,,,,BARINGO,BARINGO,"609,555","253,878 41.6","124,066 20.4","67,739 11.1","157,298 25.8","6,530",1.1,44,"253,878",41.6,"124,066",20.4,"67,739",11.1,"157,298",25.8,704,BARINGO,Male,"306,702","130,797 42.6","64,231 20.9","32,867 10.7","75,333 24.6","3,456",1.1,18,"130,797",42.6,"64,231",20.9,"32,867",10.7,"75,333",24.6,704,BARINGO,Male,"306,702","130,797 42.6","64,231 20.9","32,867 10.7","75,333 24.6","3,456",1.1,18,"130,797",42.6,"64,231",20.9,"32,867",10.7,"75,333",24.6,baringo
0,Baringo,Kabarnet,30,Baringo central,baringo central,BARINGO CENTRAL,BARINGO CENTRAL,"89,180","42,317 47.5","29,046 32.6","10,050 11.3","7,236 8.1",530,0.6,1,"42,317",47.5,"29,046",32.6,"10,050",11.3,"7,236",8.1,707,BARINGO CENTRAL,Male,"44,084","21,287 48.3","14,595 33.1","4,896 11.1","3,044 6.9",262,0.6,-,"21,287",48.3,"14,595",33.1,"4,896",11.1,"3,044",6.9,707,BARINGO CENTRAL,Male,"44,084","21,287 48.3","14,595 33.1","4,896 11.1","3,044 6.9",262,0.6,-,"21,287",48.3,"14,595",33.1,"4,896",11.1,"3,044",6.9,baringo central
1,Baringo,Kabarnet,30,Baringo north,baringo north,BARINGO NORTH,BARINGO NORTH,"96,670","47,924 49.6","21,442 22.2","12,943 13.4","13,057 13.5","1,301",1.3,3,"47,924",49.6,"21,442",22.2,"12,943",13.4,"13,057",13.5,710,BARINGO NORTH,Male,"48,209","24,837 51.5","11,051 22.9","6,148 12.8","5,519 11.4",653,1.4,1,"24,837",51.5,"11,051",22.9,"6,148",12.8,"5,519",11.4,710,BARINGO NORTH,Male,"48,209","24,837 51.5","11,051 22.9","6,148 12.8","5,519 11.4",653,1.4,1,"24,837",51.5,"11,051",22.9,"6,148",12.8,"5,519",11.4,baringo north
76,Kericho,Kericho,35,Belgut,belgut,BELGUT,BELGUT,"135,941","60,638 44.6","37,090 27.3","28,745 21.1","8,879 6.5",575,0.4,14,"60,638",44.6,"37,090",27.3,"28,745",21.1,"8,879",6.5,830,BELGUT,Male,"67,923","30,818 45.4","19,474 28.7","13,551 20.0","3,762 5.5",310,0.5,8,"30,818",45.4,"19,474",28.7,"13,551",20,"3,762",5.5,830,BELGUT,Male,"67,923","30,818 45.4","19,474 28.7","13,551 20.0","3,762 5.5",310,0.5,8,"30,818",45.4,"19,474",28.7,"13,551",20,"3,762",5.5,belgut
485,Bomet,Bomet,36,,,BOMET,BOMET,"810,122","400,330 49.4","169,658 20.9","160,702 19.8","72,627 9.0","6,730",0.8,75,"400,330",49.4,"169,658",20.9,"160,702",19.8,"72,627",9,848,BOMET,Male,"400,694","205,930 51.4","88,746 22.1","72,327 18.1","30,078 7.5","3,572",0.9,41,"205,930",51.4,"88,746",22.1,"72,327",18.1,"30,078",7.5,848,BOMET,Male,"400,694","205,930 51.4","88,746 22.1","72,327 18.1","30,078 7.5","3,572",0.9,41,"205,930",51.4,"88,746",22.1,"72,327",18.1,"30,078",7.5,bomet
6,Bomet,Bomet,36,Bomet central,bomet central,BOMET CENTRAL,BOMET CENTRAL,"161,505","75,615 46.8","41,551 25.7","30,502 18.9","12,753 7.9","1,065",0.7,19,"75,615",46.8,"41,551",25.7,"30,502",18.9,"12,753",7.9,863,BOMET CENTRAL,Male,"80,564","38,810 48.2","21,745 27.0","13,998 17.4","5,438 6.7",563,0.7,10,"38,810",48.2,"21,745",27,"13,998",17.4,"5,438",6.7,863,BOMET CENTRAL,Male,"80,564","38,810 48.2","21,745 27.0","13,998 17.4","5,438 6.7",563,0.7,10,"38,810",48.2,"21,745",27,"13,998",17.4,"5,438",6.7,bomet central
7,Bomet,Bomet,36,Bomet east,bomet east,BOMET EAST,BOMET EAST,"132,732","66,149 49.8","24,702 18.6","26,037 19.6","14,280 10.8","1,539",1.2,25,"66,149",49.8,"24,702",18.6,"26,037",19.6,"14,280",10.8,851,BOMET EAST,Male,"65,185","34,557 53.0","12,710 19.5","11,263 17.3","5,868 9.0",773,1.2,14,"34,557",53,"12,710",19.5,"11,263",17.3,"5,868",9,851,BOMET EAST,Male,"65,185","34,557 53.0","12,710 19.5","11,263 17.3","5,868 9.0",773,1.2,14,"34,557",53,"12,710",19.5,"11,263",17.3,"5,868",9,bomet east
262,Siaya,Siaya,41,Bondo,bondo,BONDO,BONDO,"181,834","86,934 47.8","44,207 24.3","36,522 20.1","12,223 6.7","1,887",1,61,"86,934",47.8,"44,207",24.3,"36,522",20.1,"12,223",6.7,1007,BONDO,Male,"87,903","43,785 49.8","22,216 25.3","15,868 18.1","4,844 5.5","1,160",1.3,30,"43,785",49.8,"22,216",25.3,"15,868",18.1,"4,844",5.5,1007,BONDO,Male,"87,903","43,785 49.8","22,216 25.3","15,868 18.1","4,844 5.5","1,160",1.3,30,"43,785",49.8,"22,216",25.3,"15,868",18.1,"4,844",5.5,bondo
240,Nyamira,Nyamira,46,Borabu,borabu,BORABU,BORABU,"68,779","30,834 44.8","18,623 27.1","12,272 17.8","6,531 9.5",512,0.7,7,"30,834",44.8,"18,623",27.1,"12,272",17.8,"6,531",9.5,1130,BORABU,Male,"34,446","15,988 46.4","9,755 28.3","5,570 16.2","2,892 8.4",239,0.7,2,"15,988",46.4,"9,755",28.3,"5,570",16.2,"2,892",8.4,1130,BORABU,Male,"34,446","15,988 46.4","9,755 28.3","5,570 16.2","2,892 8.4",239,0.7,2,"15,988",46.4,"9,755",28.3,"5,570",16.2,"2,892",8.4,borabu
11,Bungoma,Bungoma,39,Bumula,bumula,BUMULA,BUMULA,"199,499","102,696 51.5","23,670 11.9","45,969 23.0","24,883 12.5","2,279",1.1,2,"102,696",51.5,"23,670",11.9,"45,969",23,"24,883",12.5,932,BUMULA,Male,"95,312","51,685 54.2","11,881 12.5","19,870 20.8","10,710 11.2","1,164",1.2,2,"51,685",54.2,"11,881",12.5,"19,870",20.8,"10,710",11.2,932,BUMULA,Male,"95,312","51,685 54.2","11,881 12.5","19,870 20.8","10,710 11.2","1,164",1.2,2,"51,685",54.2,"11,881",12.5,"19,870",20.8,"10,710",11.2,bumula
344,Wajir,Wajir,8,,,BUNA,BUNA,"44,083","6,081 13.8",478 1.1,179 0.4,"36,483 82.8",862,2,-,"6,081",13.8,478,1.1,179,0.4,"36,483",82.8,137,BUNA,Male,"23,847","3,410 14.3",320 1.3,113 0.5,"19,535 81.9",469,2,-,"3,410",14.3,320,1.3,113,0.5,"19,535",81.9,137,BUNA,Male,"23,847","3,410 14.3",320 1.3,113 0.5,"19,535 81.9",469,2,-,"3,410",14.3,320,1.3,113,0.5,"19,535",81.9,buna
492,Bungoma,Bungoma,39,,,BUNGOMA,BUNGOMA,"1,538,767","782,677 50.9","264,282 17.2","324,058 21.1","151,938 9.9","15,673",1,139,"782,677",50.9,"264,282",17.2,"324,058",21.1,"151,938",9.9,929,BUNGOMA,Male,"745,883","396,144 53.1","133,462 17.9","140,682 18.9","67,323 9.0","8,198",1.1,74,"396,144",53.1,"133,462",17.9,"140,682",18.9,"67,323",9,929,BUNGOMA,Male,"745,883","396,144 53.1","133,462 17.9","140,682 18.9","67,323 9.0","8,198",1.1,74,"396,144",53.1,"133,462",17.9,"140,682",18.9,"67,323",9,bungoma
493,Bungoma,Bungoma,39,Bungoma Central,bungoma central,BUNGOMA CENTRAL,BUNGOMA CENTRAL,"163,799","83,204 50.8","29,747 18.2","35,007 21.4","14,301 8.7","1,536",0.9,4,"83,204",50.8,"29,747",18.2,"35,007",21.4,"14,301",8.7,935,BUNGOMA CENTRAL,Male,"79,315","41,882 52.8","15,216 19.2","14,990 18.9","6,429 8.1",795,1,3,"41,882",52.8,"15,216",19.2,"14,990",18.9,"6,429",8.1,935,BUNGOMA CENTRAL,Male,"79,315","41,882 52.8","15,216 19.2","14,990 18.9","6,429 8.1",795,1,3,"41,882",52.8,"15,216",19.2,"14,990",18.9,"6,429",8.1,bungoma central
494,Bungoma,Bungoma,39,Bungoma East,bungoma east,BUNGOMA EAST,BUNGOMA EAST,"106,122","54,673 51.5","20,946 19.7","22,353 21.1","7,292 6.9",836,0.8,22,"54,673",51.5,"20,946",19.7,"22,353",21.1,"7,292",6.9,938,BUNGOMA EAST,Male,"51,497","27,756 53.9","10,382 20.2","9,670 18.8","3,211 6.2",467,0.9,11,"27,756",53.9,"10,382",20.2,"9,670",18.8,"3,211",6.2,938,BUNGOMA EAST,Male,"51,497","27,756 53.9","10,382 20.2","9,670 18.8","3,211 6.2",467,0.9,11,"27,756",53.9,"10,382",20.2,"9,670",18.8,"3,211",6.2,bungoma east
495,Bungoma,Bungoma,39,Bungoma North,bungoma north,BUNGOMA NORTH,BUNGOMA NORTH,"111,891","58,637 52.4","21,859 19.5","22,370 20.0","8,342 7.5",670,0.6,13,"58,637",52.4,"21,859",19.5,"22,370",20,"8,342",7.5,941,BUNGOMA NORTH,Male,"54,098","29,768 55.0","10,753 19.9","9,422 17.4","3,780 7.0",368,0.7,7,"29,768",55,"10,753",19.9,"9,422",17.4,"3,780",7,941,BUNGOMA NORTH,Male,"54,098","29,768 55.0","10,753 19.9","9,422 17.4","3,780 7.0",368,0.7,7,"29,768",55,"10,753",19.9,"9,422",17.4,"3,780",7,bungoma north
496,Bungoma,Bungoma,39,Bungoma South,bungoma east,BUNGOMA SOUTH,BUNGOMA SOUTH,"263,411","127,072 48.2","58,794 22.3","46,617 17.7","27,947 10.6","2,967",1.1,14,"127,072",48.2,"58,794",22.3,"46,617",17.7,"27,947",10.6,944,BUNGOMA SOUTH,Male,"126,979","63,234 49.8","29,269 23.1","20,605 16.2","12,377 9.7","1,489",1.2,5,"63,234",49.8,"29,269",23.1,"20,605",16.2,"12,377",9.7,944,BUNGOMA SOUTH,Male,"126,979","63,234 49.8","29,269 23.1","20,605 16.2","12,377 9.7","1,489",1.2,5,"63,234",49.8,"29,269",23.1,"20,605",16.2,"12,377",9.7,bungoma south
