,female_Place_county_or_subcounty,female_total_and_gender,female_number,female_at_school_or_learning_institution_number_and_percent,female_after_completion_number_and_percent,female_before_completion_number_and_percent,female_never_been_to_school_or_learning_institution_number_and_percent,female_dont_know_number,female_dont_know_number_percent,female_not_stated_number,female_at_school_or_learning_institution_number,female_at_school_or_learning_institution_pct,female_after_completion_number,female_after_completion_pct,female_before_completion_number,female_before_completion_pct,female_never_been_to_school_or_learning_institution_number,female_never_been_to_school_or_learning_institution_pct
90,LAMU EAST,Female,"9,832","3,726 37.9","1,430 14.5","2,025 20.6","2,633 26.8",18,0.2,-,"3,726",37.9,"1,430",14.5,"2,025",20.6,"2,633",26.8
93,LAMU WEST,Female,"52,045","20,552 39.5","10,469 20.1","8,907 17.1","11,804 22.7",296,0.6,17,"20,552",39.5,"10,469",20.1,"8,907",17.1,"11,804",22.7
96,TAITA/TAVETA,Female,"154,357","57,108 37.0","55,594 36.0","24,190 15.7","16,888 10.9",542,0.4,35,"57,108",37.0,"55,594",36.0,"24,190",15.7,"16,888",10.9
99,MWATATE,Female,"37,404","14,002 37.4","12,808 34.2","6,408 17.1","4,126 11.0",56,0.1,4,"14,002",37.4,"12,808",34.2,"6,408",17.1,"4,126",11.0
102,TAITA,Female,"25,850","9,502 36.8","10,301 39.8","3,390 13.1","2,556 9.9",99,0.4,2,"9,502",36.8,"10,301",39.8,"3,390",13.1,"2,556",9.9
105,TAVETA,Female,"40,241","15,537 38.6","11,993 29.8","7,481 18.6","4,993 12.4",224,0.6,13,"15,537",38.6,"11,993",29.8,"7,481",18.6,"4,993",12.4
108,VOI,Female,"50,862","18,067 35.5","20,492 40.3","6,911 13.6","5,213 10.2",163,0.3,16,"18,067",35.5,"20,492",40.3,"6,911",13.6,"5,213",10.2
111,GARISSA,Female,"352,563","55,497 15.7","7,744 2.2","4,198 1.2","273,149 77.5","11,913",3.4,62,"55,497",15.7,"7,744",2.2,"4,198",1.2,"273,149",77.5
114,BALAMBALA,Female,"11,492","1,048 9.1",68 0.6,28 0.2,"10,212 88.9",136,1.2,-,"1,048",9.1,68,0.6,28,0.2,"10,212",88.9
117,DADAAB,Female,"79,942","8,529 10.7",924 1.2,667 0.8,"66,718 83.5","3,087",3.9,17,"8,529",10.7,924,1.2,667,0.8,"66,718",83.5
120,FAFI,Female,"56,708","6,389 11.3",781 1.4,577 1.0,"47,489 83.7","1,463",2.6,9,"6,389",11.3,781,1.4,577,1.0,"47,489",83.7
123,GARISSA,Female,"73,652","18,033 24.5","4,449 6.0","1,973 2.7","46,268 62.8","2,903",3.9,26,"18,033",24.5,"4,449",6.0,"1,973",2.7,"46,268",62.8
126,HULUGHO,Female,"51,525","7,703 15.0",437 0.8,440 0.9,"41,710 81.0","1,232",2.4,3,"7,703",15.0,437,0.8,440,0.9,"41,710",81.0
129,IJARA,Female,"56,083","11,597 20.7",950 1.7,414 0.7,"40,391 72.0","2,724",4.9,7,"11,597",20.7,950,1.7,414,0.7,"40,391",72.0
132,LAGDERA,Female,"23,161","2,198 9.5",135 0.6,99 0.4,"20,361 87.9",368,1.6,-,"2,198",9.5,135,0.6,99,0.4,"20,361",87.9
135,WAJIR,Female,"331,969","56,970 17.2","4,369 1.3","2,265 0.7","263,682 79.4","4,660",1.4,23,"56,970",17.2,"4,369",1.3,"2,265",0.7,"263,682",79.4
138,BUNA,Female,"20,234","2,671 13.2",158 0.8,66 0.3,"16,946 83.8",393,1.9,-,"2,671",13.2,158,0.8,66,0.3,"16,946",83.8
141,ELDAS,Female,"40,314","6,531 16.2",319 0.8,211 0.5,"32,541 80.7",712,1.8,-,"6,531",16.2,319,0.8,211,0.5,"32,541",80.7
144,HABASWEIN,Female,"72,531","14,153 19.5",913 1.3,592 0.8,"56,572 78.0",289,0.4,12,"14,153",19.5,913,1.3,592,0.8,"56,572",78.0
147,TARBAJ,Female,"26,386","3,213 12.2",121 0.5,136 0.5,"22,756 86.2",160,0.6,-,"3,213",12.2,121,0.5,136,0.5,"22,756",86.2
150,WAJIR EAST,Female,"47,109","11,403 24.2","1,842 3.9",716 1.5,"31,997 67.9","1,146",2.4,5,"11,403",24.2,"1,842",3.9,716,1.5,"31,997",67.9
153,WAJIR NORTH,Female,"26,888","4,389 16.3",251 0.9,127 0.5,"21,566 80.2",555,2.1,-,"4,389",16.3,251,0.9,127,0.5,"21,566",80.2
156,WAJIR SOUTH,Female,"47,602","6,215 13.1",391 0.8,211 0.4,"40,100 84.2",679,1.4,6,"6,215",13.1,391,0.8,211,0.4,"40,100",84.2
159,WAJIR WEST,Female,"50,905","8,395 16.5",374 0.7,206 0.4,"41,204 80.9",726,1.4,-,"8,395",16.5,374,0.7,206,0.4,"41,204",80.9
162,MANDERA,Female,"383,873","77,980 20.3","7,279 1.9","3,104 0.8","284,543 74.1","10,902",2.8,65,"77,980",20.3,"7,279",1.9,"3,104",0.8,"284,543",74.1
165,MANDERA WEST,Female,"44,045","10,800 24.5",500 1.1,232 0.5,"31,546 71.6",965,2.2,2,"10,800",24.5,500,1.1,232,0.5,"31,546",71.6
168,BANISA,Female,"65,291","8,916 13.7",473 0.7,227 0.3,"54,241 83.1","1,433",2.2,1,"8,916",13.7,473,0.7,227,0.3,"54,241",83.1
171,KOTULO,Female,"31,826","7,780 24.4",634 2.0,263 0.8,"22,611 71.0",538,1.7,-,"7,780",24.4,634,2.0,263,0.8,"22,611",71.0
174,LAFEY,Female,"38,164","6,069 15.9",326 0.9,165 0.4,"30,104 78.9","1,500",3.9,-,"6,069",15.9,326,0.9,165,0.4,"30,104",78.9
177,MANDERA CENTRAL,Female,"76,039","17,941 23.6","1,457 1.9",709 0.9,"53,735 70.7","2,135",2.8,62,"17,941",23.6,"1,457",1.9,709,0.9,"53,735",70.7
180,MANDERA EAST,Female,"68,829","15,650 22.7","3,001 4.4","1,162 1.7","46,275 67.2","2,741",4,-,"15,650",22.7,"3,001",4.4,"1,162",1.7,"46,275",67.2
183,MANDERA NORTH,Female,"59,679","10,824 18.1",888 1.5,346 0.6,"46,031 77.1","1,590",2.7,-,"10,824",18.1,888,1.5,346,0.6,"46,031",77.1
186,MARSABIT,Female,"194,392","52,492 27.0","9,711 5.0","5,334 2.7","125,190 64.4","1,559",0.8,106,"52,492",27.0,"9,711",5.0,"5,334",2.7,"125,190",64.4
189,LOIYANGALANI,Female,"16,171","3,495 21.6",299 1.8,321 2.0,"11,975 74.1",81,0.5,-,"3,495",21.6,299,1.8,321,2.0,"11,975",74.1
192,MARSABIT CENTRAL,Female,"34,716","13,879 40.0","4,468 12.9","1,860 5.4","13,985 40.3",524,1.5,-,"13,879",40.0,"4,468",12.9,"1,860",5.4,"13,985",40.3
195,MARSABIT NORTH,Female,"20,800","5,186 24.9",450 2.2,265 1.3,"14,783 71.1",116,0.6,-,"5,186",24.9,450,2.2,265,1.3,"14,783",71.1
198,MARSABIT SOUTH,Female,"29,347","5,961 20.3",817 2.8,514 1.8,"21,925 74.7",125,0.4,5,"5,961",20.3,817,2.8,514,1.8,"21,925",74.7
201,MOYALE,Female,"47,152","14,830 31.5","2,482 5.3","1,693 3.6","27,813 59.0",329,0.7,5,"14,830",31.5,"2,482",5.3,"1,693",3.6,"27,813",59.0
204,NORTH HORR,Female,"26,881","3,105 11.6",380 1.4,132 0.5,"23,027 85.7",144,0.5,93,"3,105",11.6,380,1.4,132,0.5,"23,027",85.7
207,SOLOLO,Female,"19,325","6,036 31.2",815 4.2,549 2.8,"11,682 60.5",240,1.2,3,"6,036",31.2,815,4.2,549,2.8,"11,682",60.5
210,ISIOLO,Female,"117,317","38,920 33.2","14,994 12.8","6,886 5.9","55,904 47.7",597,0.5,16,"38,920",33.2,"14,994",12.8,"6,886",5.9,"55,904",47.7
213,GARBATULLA,Female,"41,418","11,914 28.8","2,311 5.6","1,225 3.0","25,735 62.1",229,0.6,4,"11,914",28.8,"2,311",5.6,"1,225",3.0,"25,735",62.1
216,ISIOLO,Female,"55,483","20,365 36.7","11,568 20.8","4,975 9.0","18,268 32.9",295,0.5,12,"20,365",36.7,"11,568",20.8,"4,975",9.0,"18,268",32.9
219,MERTI,Female,"20,416","6,641 32.5","1,115 5.5",686 3.4,"11,901 58.3",73,0.4,-,"6,641",32.5,"1,115",5.5,686,3.4,"11,901",58.3
222,MERU,Female,"725,139","277,259 38.2","180,414 24.9","147,834 20.4","113,943 15.7","5,511",0.8,178,"277,259",38.2,"180,414",24.9,"147,834",20.4,"113,943",15.7
225,BUURI EAST,Female,"36,093","12,362 34.3","13,212 36.6","6,527 18.1","3,854 10.7",124,0.3,14,"12,362",34.3,"13,212",36.6,"6,527",18.1,"3,854",10.7
228,BUURI WEST,Female,"37,616","13,070 34.7","13,945 37.1","6,983 18.6","3,466 9.2",147,0.4,5,"13,070",34.7,"13,945",37.1,"6,983",18.6,"3,466",9.2
231,IGEMBE CENTRAL,Female,"102,349","42,628 41.6","12,247 12.0","24,320 23.8","22,103 21.6","1,031",1,20,"42,628",41.6,"12,247",12.0,"24,320",23.8,"22,103",21.6
234,IGEMBE NORTH,Female,"79,620","33,496 42.1","8,481 10.7","14,685 18.4","22,101 27.8",835,1,22,"33,496",42.1,"8,481",10.7,"14,685",18.4,"22,101",27.8
237,IGEMBE SOUTH,Female,"75,484","28,799 38.2","13,331 17.7","18,512 24.5","13,982 18.5",834,1.1,26,"28,799",38.2,"13,331",17.7,"18,512",24.5,"13,982",18.5
240,IMENTI NORTH,Female,"82,328","27,849 33.8","35,252 42.8","12,653 15.4","6,153 7.5",401,0.5,20,"27,849",33.8,"35,252",42.8,"12,653",15.4,"6,153",7.5
243,IMENTI SOUTH,Female,"96,993","33,434 34.5","32,992 34.0","21,042 21.7","8,860 9.1",656,0.7,9,"33,434",34.5,"32,992",34.0,"21,042",21.7,"8,860",9.1
246,MERU CENTRAL,Female,"62,910","22,197 35.3","21,729 34.5","11,781 18.7","6,873 10.9",304,0.5,26,"22,197",35.3,"21,729",34.5,"11,781",18.7,"6,873",10.9
249,TIGANIA CENTRAL,Female,"49,332","20,559 41.7","7,991 16.2","11,808 23.9","8,618 17.5",355,0.7,1,"20,559",41.7,"7,991",16.2,"11,808",23.9,"8,618",17.5
252,TIGANIA EAST,Female,"34,705","15,018 43.3","5,655 16.3","6,065 17.5","7,590 21.9",351,1,26,"15,018",43.3,"5,655",16.3,"6,065",17.5,"7,590",21.9
255,TIGANIA WEST,Female,"67,585","27,819 41.2","15,512 23.0","13,440 19.9","10,332 15.3",473,0.7,9,"27,819",41.2,"15,512",23.0,"13,440",19.9,"10,332",15.3
258,MERU NATIONAL PARK,Female,75,23 30.7,45 60.0,1 1.3,6 8.0,-,-,-,23,30.7,45,60.0,1,1.3,6,8.0
261,MT. KENYA FOREST,Female,49,5 10.2,22 44.9,17 34.7,5 10.2,-,-,-,5,10.2,22,44.9,17,34.7,5,10.2
264,THARAKA-NITHI,Female,"186,875","71,422 38.2","48,655 26.0","41,983 22.5","23,205 12.4","1,577",0.8,33,"71,422",38.2,"48,655",26.0,"41,983",22.5,"23,205",12.4
267,IGAMBANG'OMBE,Female,"25,000","9,976 39.9","4,743 19.0","6,644 26.6","3,407 13.6",224,0.9,6,"9,976",39.9,"4,743",19.0,"6,644",26.6,"3,407",13.6
270,MAARA,Female,"54,026","18,510 34.3","18,069 33.4","12,851 23.8","4,192 7.8",397,0.7,7,"18,510",34.3,"18,069",33.4,"12,851",23.8,"4,192",7.8
273,MERU SOUTH,Female,"43,246","15,183 35.1","14,973 34.6","9,430 21.8","3,370 7.8",279,0.6,11,"15,183",35.1,"14,973",34.6,"9,430",21.8,"3,370",7.8
276,THARAKA NORTH,Female,"28,029","11,947 42.6","3,956 14.1","5,243 18.7","6,316 22.5",560,2,7,"11,947",42.6,"3,956",14.1,"5,243",18.7,"6,316",22.5
279,THARAKA SOUTH,Female,"36,488","15,755 43.2","6,887 18.9","7,810 21.4","5,917 16.2",117,0.3,2,"15,755",43.2,"6,887",18.9,"7,810",21.4,"5,917",16.2
282,MT. KENYA FOREST,Female,86,51 59.3,27 31.4,5 5.8,3 3.5,-,-,-,51,59.3,27,31.4,5,5.8,3,3.5
285,EMBU,Female,"285,182","101,251 35.5","89,746 31.5","63,552 22.3","29,730 10.4",874,0.3,29,"101,251",35.5,"89,746",31.5,"63,552",22.3,"29,730",10.4
288,EMBU EAST,Female,"61,270","20,240 33.0","19,150 31.3","15,313 25.0","6,371 10.4",194,0.3,2,"20,240",33.0,"19,150",31.3,"15,313",25.0,"6,371",10.4
291,EMBU NORTH,Female,"37,748","12,108 32.1","12,321 32.6","9,009 23.9","4,218 11.2",89,0.2,3,"12,108",32.1,"12,321",32.6,"9,009",23.9,"4,218",11.2
294,EMBU WEST,Female,"59,491","19,461 32.7","24,447 41.1","11,135 18.7","4,256 7.2",188,0.3,4,"19,461",32.7,"24,447",41.1,"11,135",18.7,"4,256",7.2
297,MBEERE SOUTH,Female,"74,993","28,606 38.1","21,679 28.9","16,294 21.7","8,175 10.9",223,0.3,16,"28,606",38.1,"21,679",28.9,"16,294",21.7,"8,175",10.9
300,MBEERE NORTH,Female,"51,677","20,836 40.3","12,146 23.5","11,801 22.8","6,710 13.0",180,0.3,4,"20,836",40.3,"12,146",23.5,"11,801",22.8,"6,710",13.0
303,MT. KENYA FOREST,Female,3,- -,3 100.0,- -,- -,-,-,-,-,-,3,100.0,-,-,-,-
306,KITUI,Female,"548,634","240,536 43.8","137,968 25.1","79,419 14.5","85,259 15.5","5,364",1,88,"240,536",43.8,"137,968",25.1,"79,419",14.5,"85,259",15.5
309,IKUTHA,Female,"40,281","19,337 48.0","8,083 20.1","6,247 15.5","5,991 14.9",622,1.5,1,"19,337",48.0,"8,083",20.1,"6,247",15.5,"5,991",14.9
312,KATULANI,Female,"22,557","9,006 39.9","6,828 30.3","3,261 14.5","3,140 13.9",322,1.4,-,"9,006",39.9,"6,828",30.3,"3,261",14.5,"3,140",13.9
315,KISASI,Female,"22,086","9,389 42.5","5,439 24.6","3,743 16.9","3,366 15.2",143,0.6,6,"9,389",42.5,"5,439",24.6,"3,743",16.9,"3,366",15.2
318,KITUI CENTRAL,Female,"49,968","19,562 39.1","18,390 36.8","6,772 13.6","4,859 9.7",381,0.8,4,"19,562",39.1,"18,390",36.8,"6,772",13.6,"4,859",9.7
321,KITUI WEST,Female,"34,643","14,281 41.2","11,764 34.0","4,485 12.9","3,898 11.3",215,0.6,-,"14,281",41.2,"11,764",34.0,"4,485",12.9,"3,898",11.3
324,KYUSO,Female,"37,187","17,091 46.0","6,830 18.4","5,994 16.1","6,773 18.2",493,1.3,6,"17,091",46.0,"6,830",18.4,"5,994",16.1,"6,773",18.2
327,LOWER YATTA,Female,"29,649","12,801 43.2","7,368 24.9","4,905 16.5","4,114 13.9",456,1.5,5,"12,801",43.2,"7,368",24.9,"4,905",16.5,"4,114",13.9
330,MATINYANI,Female,"22,909","9,284 40.5","7,255 31.7","3,321 14.5","2,953 12.9",96,0.4,-,"9,284",40.5,"7,255",31.7,"3,321",14.5,"2,953",12.9
333,MIGWANI,Female,"38,993","16,440 42.2","12,669 32.5","4,790 12.3","4,675 12.0",408,1,11,"16,440",42.2,"12,669",32.5,"4,790",12.3,"4,675",12.0
336,MUMONI,Female,"14,587","6,951 47.7","2,574 17.6","2,691 18.4","2,248 15.4",123,0.8,-,"6,951",47.7,"2,574",17.6,"2,691",18.4,"2,248",15.4
339,MUTITU,Female,"27,040","12,872 47.6","4,596 17.0","3,339 12.3","5,882 21.8",323,1.2,28,"12,872",47.6,"4,596",17.0,"3,339",12.3,"5,882",21.8
342,MUTITU NORTH,Female,"10,194","4,511 44.3","2,432 23.9","1,503 14.7","1,695 16.6",51,0.5,2,"4,511",44.3,"2,432",23.9,"1,503",14.7,"1,695",16.6
345,MUTOMO,Female,"54,761","25,256 46.1","10,813 19.7","7,597 13.9","10,745 19.6",348,0.6,2,"25,256",46.1,"10,813",19.7,"7,597",13.9,"10,745",19.6
348,MWINGI CENTRAL,Female,"52,369","22,534 43.0","14,390 27.5","7,108 13.6","7,865 15.0",462,0.9,10,"22,534",43.0,"14,390",27.5,"7,108",13.6,"7,865",15.0
351,MWINGI EAST,Female,"41,818","19,314 46.2","7,680 18.4","6,015 14.4","8,255 19.7",541,1.3,13,"19,314",46.2,"7,680",18.4,"6,015",14.4,"8,255",19.7
354,NZAMBANI,Female,"22,324","9,220 41.3","6,496 29.1","3,454 15.5","3,000 13.4",154,0.7,-,"9,220",41.3,"6,496",29.1,"3,454",15.5,"3,000",13.4
357,THAGICU,Female,"7,433","3,447 46.4","1,383 18.6","1,202 16.2","1,372 18.5",29,0.4,-,"3,447",46.4,"1,383",18.6,"1,202",16.2,"1,372",18.5
360,TSEIKURU,Female,"19,835","9,240 46.6","2,978 15.0","2,992 15.1","4,428 22.3",197,1,-,"9,240",46.6,"2,978",15.0,"2,992",15.1,"4,428",22.3
363,MACHAKOS,Female,"665,162","246,686 37.1","256,474 38.6","104,232 15.7","52,234 7.9","5,440",0.8,96,"246,686",37.1,"256,474",38.6,"104,232",15.7,"52,234",7.9
366,ATHI RIVER,Female,"145,277","49,159 33.8","72,729 50.1","16,571 11.4","5,535 3.8","1,221",0.8,62,"49,159",33.8,"72,729",50.1,"16,571",11.4,"5,535",3.8
369,KALAMA,Female,"26,264","9,582 36.5","9,636 36.7","3,699 14.1","3,115 11.9",232,0.9,-,"9,582",36.5,"9,636",36.7,"3,699",14.1,"3,115",11.9
372,KANGUNDO,Female,"46,569","16,994 36.5","16,765 36.0","9,429 20.2","3,186 6.8",194,0.4,1,"16,994",36.5,"16,765",36.0,"9,429",20.2,"3,186",6.8
375,KATHIANI,Female,"53,849","20,591 38.2","18,575 34.5","9,921 18.4","4,432 8.2",323,0.6,7,"20,591",38.2,"18,575",34.5,"9,921",18.4,"4,432",8.2
378,MACHAKOS,Female,"79,267","26,758 33.8","37,241 47.0","9,880 12.5","4,796 6.1",586,0.7,6,"26,758",33.8,"37,241",47.0,"9,880",12.5,"4,796",6.1
381,MASINGA,Female,"70,274","28,754 40.9","19,555 27.8","13,098 18.6","8,102 11.5",758,1.1,7,"28,754",40.9,"19,555",27.8,"13,098",18.6,"8,102",11.5
384,MATUNGULU,Female,"75,408","28,274 37.5","27,276 36.2","13,857 18.4","5,261 7.0",734,1,6,"28,274",37.5,"27,276",36.2,"13,857",18.4,"5,261",7.0
387,MWALA,Female,"86,597","33,354 38.5","30,043 34.7","13,916 16.1","8,809 10.2",472,0.5,3,"33,354",38.5,"30,043",34.7,"13,916",16.1,"8,809",10.2
390,YATTA,Female,"81,657","33,220 40.7","24,654 30.2","13,861 17.0","8,998 11.0",920,1.1,4,"33,220",40.7,"24,654",30.2,"13,861",17.0,"8,998",11.0
393,MAKUENI,Female,"467,204","192,669 41.2","140,265 30.0","83,969 18.0","44,519 9.5","5,700",1.2,82,"192,669",41.2,"140,265",30.0,"83,969",18.0,"44,519",9.5
396,KATHONZWENI,Female,"38,044","16,069 42.2","11,070 29.1","6,304 16.6","3,807 10.0",792,2.1,2,"16,069",42.2,"11,070",29.1,"6,304",16.6,"3,807",10.0
399,KIBWEZI,Female,"92,334","40,039 43.4","23,597 25.6","17,427 18.9","10,123 11.0","1,136",1.2,12,"40,039",43.4,"23,597",25.6,"17,427",18.9,"10,123",11.0
402,KILUNGU,Female,"30,170","12,696 42.1","9,124 30.2","5,255 17.4","2,756 9.1",332,1.1,7,"12,696",42.1,"9,124",30.2,"5,255",17.4,"2,756",9.1
405,MAKINDU,Female,"39,965","16,471 41.2","11,966 29.9","6,963 17.4","4,062 10.2",487,1.2,16,"16,471",41.2,"11,966",29.9,"6,963",17.4,"4,062",10.2
408,MAKUENI,Female,"60,893","23,613 38.8","21,570 35.4","10,383 17.1","4,804 7.9",520,0.9,3,"23,613",38.8,"21,570",35.4,"10,383",17.1,"4,804",7.9
411,MBOONI EAST,Female,"46,896","18,975 40.5","13,851 29.5","8,654 18.5","4,845 10.3",569,1.2,2,"18,975",40.5,"13,851",29.5,"8,654",18.5,"4,845",10.3
414,MBOONI WEST,Female,"50,058","20,745 41.4","14,403 28.8","10,049 20.1","4,082 8.2",774,1.5,5,"20,745",41.4,"14,403",28.8,"10,049",20.1,"4,082",8.2
417,MUKAA,Female,"49,569","19,249 38.8","16,602 33.5","8,959 18.1","4,197 8.5",543,1.1,19,"19,249",38.8,"16,602",33.5,"8,959",18.1,"4,197",8.5
420,NZAUI,Female,"59,275","24,812 41.9","18,082 30.5","9,975 16.8","5,843 9.9",547,0.9,16,"24,812",41.9,"18,082",30.5,"9,975",16.8,"5,843",9.9
423,NYANDARUA,Female,"301,715","121,466 40.3","100,304 33.2","54,994 18.2","24,123 8.0",795,0.3,33,"121,466",40.3,"100,304",33.2,"54,994",18.2,"24,123",8.0
426,KINANGOP,Female,"52,953","21,268 40.2","17,000 32.1","10,158 19.2","4,468 8.4",52,0.1,7,"21,268",40.2,"17,000",32.1,"10,158",19.2,"4,468",8.4
429,NYANDARUA SOUTH,Female,"44,384","18,158 40.9","15,373 34.6","7,516 16.9","3,259 7.3",76,0.2,2,"18,158",40.9,"15,373",34.6,"7,516",16.9,"3,259",7.3
432,MIRANGINE,Female,"31,510","13,139 41.7","9,642 30.6","5,881 18.7","2,788 8.8",56,0.2,4,"13,139",41.7,"9,642",30.6,"5,881",18.7,"2,788",8.8
435,KIPIPIRI,Female,"44,718","18,701 41.8","13,850 31.0","7,964 17.8","4,079 9.1",116,0.3,8,"18,701",41.8,"13,850",31.0,"7,964",17.8,"4,079",9.1
438,NYANDARUA CENTRAL,Female,"35,087","13,733 39.1","11,757 33.5","6,747 19.2","2,742 7.8",104,0.3,4,"13,733",39.1,"11,757",33.5,"6,747",19.2,"2,742",7.8
441,NYANDARUA WEST,Female,"45,973","17,746 38.6","15,788 34.3","9,121 19.8","3,153 6.9",162,0.4,3,"17,746",38.6,"15,788",34.3,"9,121",19.8,"3,153",6.9
444,NYANDARUA NORTH,Female,"47,086","18,721 39.8","16,890 35.9","7,607 16.2","3,634 7.7",229,0.5,5,"18,721",39.8,"16,890",35.9,"7,607",16.2,"3,634",7.7
447,ABERDARE NATIONAL PARK,Female,4,- -,4 100.0,- -,- -,-,-,-,-,-,4,100.0,-,-,-,-
450,NYERI,Female,"361,061","123,475 34.2","151,460 41.9","61,009 16.9","23,140 6.4","1,958",0.5,19,"123,475",34.2,"151,460",41.9,"61,009",16.9,"23,140",6.4
453,TETU,Female,"38,846","12,961 33.4","16,099 41.4","6,906 17.8","2,751 7.1",128,0.3,1,"12,961",33.4,"16,099",41.4,"6,906",17.8,"2,751",7.1
456,KIENI EAST,Female,"51,366","18,139 35.3","21,850 42.5","8,261 16.1","2,923 5.7",191,0.4,2,"18,139",35.3,"21,850",42.5,"8,261",16.1,"2,923",5.7
459,KIENI WEST,Female,"41,798","15,455 37.0","16,590 39.7","6,805 16.3","2,702 6.5",244,0.6,2,"15,455",37.0,"16,590",39.7,"6,805",16.3,"2,702",6.5
462,MATHIRA EAST,Female,"48,029","16,305 33.9","20,192 42.0","8,621 17.9","2,635 5.5",274,0.6,2,"16,305",33.9,"20,192",42.0,"8,621",17.9,"2,635",5.5
465,MATHIRA WEST,Female,"28,813","9,585 33.3","11,450 39.7","5,893 20.5","1,781 6.2",99,0.3,5,"9,585",33.3,"11,450",39.7,"5,893",20.5,"1,781",6.2
468,NYERI SOUTH,Female,"44,383","14,950 33.7","18,147 40.9","7,354 16.6","3,753 8.5",178,0.4,1,"14,950",33.7,"18,147",40.9,"7,354",16.6,"3,753",8.5
471,MUKURWE-INI,Female,"42,541","14,296 33.6","15,656 36.8","8,500 20.0","3,771 8.9",316,0.7,2,"14,296",33.6,"15,656",36.8,"8,500",20.0,"3,771",8.9
474,NYERI CENTRAL,Female,"65,196","21,764 33.4","31,416 48.2","8,661 13.3","2,823 4.3",528,0.8,4,"21,764",33.4,"31,416",48.2,"8,661",13.3,"2,823",4.3
477,MT. KENYA FOREST,Female,60,19 31.7,35 58.3,5 8.3,1 1.7,-,-,-,19,31.7,35,58.3,5,8.3,1,1.7
480,ABERDARE FOREST,Female,29,1 3.4,25 86.2,3 10.3,- -,-,-,-,1,3.4,25,86.2,3,10.3,-,-
483,KIRINYAGA,Female,"289,729","94,852 32.7","98,822 34.1","69,497 24.0","24,867 8.6","1,675",0.6,16,"94,852",32.7,"98,822",34.1,"69,497",24.0,"24,867",8.6
486,KIRINYAGA CENTRAL,Female,"58,884","18,927 32.1","22,337 37.9","12,121 20.6","5,043 8.6",455,0.8,1,"18,927",32.1,"22,337",37.9,"12,121",20.6,"5,043",8.6
489,KIRINYAGA EAST,Female,"64,689","20,504 31.7","21,289 32.9","16,720 25.8","5,860 9.1",308,0.5,8,"20,504",31.7,"21,289",32.9,"16,720",25.8,"5,860",9.1
492,KIRINYAGA WEST,Female,"55,129","18,333 33.3","20,511 37.2","11,373 20.6","4,636 8.4",275,0.5,1,"18,333",33.3,"20,511",37.2,"11,373",20.6,"4,636",8.4
495,MWEA EAST,Female,"61,598","20,216 32.8","20,033 32.5","15,955 25.9","4,973 8.1",417,0.7,4,"20,216",32.8,"20,033",32.5,"15,955",25.9,"4,973",8.1
498,MWEA WEST,Female,"49,419","16,869 34.1","14,646 29.6","13,327 27.0","4,355 8.8",220,0.4,2,"16,869",34.1,"14,646",29.6,"13,327",27.0,"4,355",8.8
501,MT. KENYA FOREST,Female,10,3 30.0,6 60.0,1 10.0,- -,-,-,-,3,30.0,6,60.0,1,10.0,-,-
504,MURANG'A,Female,"499,505","174,580 35.0","176,382 35.3","100,619 20.1","46,040 9.2","1,814",0.4,70,"174,580",35.0,"176,382",35.3,"100,619",20.1,"46,040",9.2
507,MURANG'A EAST,Female,"51,779","17,459 33.7","20,816 40.2","8,562 16.5","4,747 9.2",191,0.4,4,"17,459",33.7,"20,816",40.2,"8,562",16.5,"4,747",9.2
510,KANGEMA,Female,"38,500","12,818 33.3","14,876 38.6","6,918 18.0","3,776 9.8",112,0.3,-,"12,818",33.3,"14,876",38.6,"6,918",18.0,"3,776",9.8
513,MATHIOYA,Female,"44,699","15,278 34.2","16,131 36.1","8,007 17.9","5,080 11.4",195,0.4,8,"15,278",34.2,"16,131",36.1,"8,007",17.9,"5,080",11.4
516,KAHURO,Female,"42,467","14,279 33.6","14,874 35.0","9,202 21.7","3,957 9.3",152,0.4,3,"14,279",33.6,"14,874",35.0,"9,202",21.7,"3,957",9.3
519,MURANG'A SOUTH,Female,"86,901","31,256 36.0","28,756 33.1","18,943 21.8","7,673 8.8",260,0.3,13,"31,256",36.0,"28,756",33.1,"18,943",21.8,"7,673",8.8
522,GATANGA,Female,"87,586","31,719 36.2","30,969 35.4","17,330 19.8","7,196 8.2",358,0.4,14,"31,719",36.2,"30,969",35.4,"17,330",19.8,"7,196",8.2
525,KIGUMO,Female,"64,750","22,658 35.0","21,403 33.1","14,340 22.1","6,101 9.4",235,0.4,13,"22,658",35.0,"21,403",33.1,"14,340",22.1,"6,101",9.4
528,KANDARA,Female,"82,811","29,109 35.2","28,552 34.5","17,315 20.9","7,509 9.1",311,0.4,15,"29,109",35.2,"28,552",34.5,"17,315",20.9,"7,509",9.1
531,ABERDARE FOREST,Female,12,4 33.3,5 41.7,2 16.7,1 8.3,-,-,-,4,33.3,5,41.7,2,16.7,1,8.3
534,KIAMBU,Female,"1,139,012","389,788 34.2","508,948 44.7","175,810 15.4","58,423 5.1","5,783",0.5,260,"389,788",34.2,"508,948",44.7,"175,810",15.4,"58,423",5.1
537,GATUNDU NORTH,Female,"52,279","18,198 34.8","17,865 34.2","11,303 21.6","4,677 8.9",226,0.4,10,"18,198",34.8,"17,865",34.2,"11,303",21.6,"4,677",8.9
