,County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
42,LAGDERA,"8,340","8,270 70","8,270",70,"7,910",95.6 360 4.4 -,95.6,360,,4.4,-
43,WAJIR,"127,932","126,878 1,054","126,878","1,054","120,367","94.9 6,503 5.1 8",94.9,"6,503",,5.1,0
44,BUNA,"6,480","6,480 -","6,480",-,"6,327",97.6 153 2.4 -,97.6,153,,2.4,-
45,ELDAS,"13,961","13,862 99","13,862",99,"13,711",98.9 151 1.1 -,98.9,151,,1.1,-
46,HABASWEIN,"31,292","31,113 179","31,113",179,"29,816","95.8 1,293 4.2 4",95.8,"1,293",,4.2,0
47,TARBAJ,"9,309","9,241 68","9,241",68,"9,139",98.9 102 1.1 -,98.9,102,,1.1,-
48,WAJIR EAST,"18,674","18,282 392","18,282",392,"14,995","82.0 3,285 18.0 2",82.0,"3,285",,18.0,0
49,WAJIR NORTH,"10,490","10,478 12","10,478",12,"9,855",94.1 623 5.9 -,94.1,623,,5.9,-
50,WAJIR SOUTH,"21,364","21,149 215","21,149",215,"20,796",98.3 351 1.7 2,98.3,351,,1.7,0
51,WAJIR WEST,"16,362","16,273 89","16,273",89,"15,728",96.7 545 3.3 -,96.7,545,,3.3,-
52,MANDERA,"125,763","123,954 1,809","123,954","1,809","114,521","92.4 9,410 7.6 23",92.4,"9,410",,7.6,0
53,MANDERA WEST,"14,274","14,201 73","14,201",73,"13,481",94.9 718 5.1 2,94.9,718,,5.1,0
54,BANISA,"24,285","24,000 285","24,000",285,"23,613",98.4 386 1.6 1,98.4,386,,1.6,0
55,KOTULO,"9,446","9,342 104","9,342",104,"9,017",96.5 325 3.5 -,96.5,325,,3.5,-
56,LAFEY,"11,597","11,380 217","11,380",217,"11,066",97.2 314 2.8 -,97.2,314,,2.8,-
57,MANDERA CENTRAL,"21,140","20,795 345","20,795",345,"19,324","92.9 1,451 7.0 20",92.9,"1,451",,7.0,0.1
58,MANDERA EAST,"25,904","25,206 698","25,206",698,"19,682","78.1 5,524 21.9 -",78.1,"5,524",,21.9,-
59,MANDERA NORTH,"19,117","19,030 87","19,030",87,"18,338",96.4 692 3.6 -,96.4,692,,3.6,-
60,MARSABIT,"77,495","76,689 806","76,689",806,"66,082","86.2 10,561 13.8 46",86.2,"10,561",,13.8,0.1
61,LOIYANGALANI,"7,774","7,646 128","7,646",128,"7,376",96.5 270 3.5 -,96.5,270,,3.5,-
62,MARSABIT CENTRAL,"15,849","15,658 191","15,658",191,"10,880","69.5 4,776 30.5 2",69.5,"4,776",,30.5,0
63,MARSABIT NORTH,"7,521","7,468 53","7,468",53,"7,338",98.3 130 1.7 -,98.3,130,,1.7,-
64,MARSABIT SOUTH,"11,615","11,563 52","11,563",52,"11,151",96.4 409 3.5 3,96.4,409,,3.5,0
65,MOYALE,"17,709","17,591 118","17,591",118,"13,395","76.1 4,194 23.8 2",76.1,"4,194",,23.8,0
66,NORTH HORR,"9,789","9,601 188","9,601",188,"9,449",98.4 114 1.2 38,98.4,114,,1.2,0.4
67,SOLOLO,"7,238","7,162 76","7,162",76,"6,493",90.7 668 9.3 1,90.7,668,,9.3,0
68,ISIOLO,"58,072","53,217 4,855","53,217","4,855","38,285","71.9 14,918 28.0 14",71.9,"14,918",,28.0,0
69,GARBATULLA,"18,661","17,047 1,614","17,047","1,614","15,450","90.6 1,592 9.3 5",90.6,"1,592",,9.3,0
70,ISIOLO,"29,853","27,612 2,241","27,612","2,241","14,669","53.1 12,934 46.8 9",53.1,"12,934",,46.8,0
71,MERTI,"9,558","8,558 1,000","8,558","1,000","8,166",95.4 392 4.6 -,95.4,392,,4.6,-
72,MERU,"426,360","423,931 2,429","423,931","2,429","313,867","74.0 109,916 25.9 148",74.0,"109,916",,25.9,0
73,BUURI EAST,"23,834","23,737 97","23,737",97,"17,740","74.7 5,986 25.2 11",74.7,"5,986",,25.2,0
74,BUURI WEST,"27,973","27,905 68","27,905",68,"13,216","47.4 14,685 52.6 4",47.4,"14,685",,52.6,0
75,IGEMBE CENTRAL,"52,031","51,848 183","51,848",183,"42,208","81.4 9,624 18.6 16",81.4,"9,624",,18.6,0
76,IGEMBE NORTH,"38,871","38,716 155","38,716",155,"31,541","81.5 7,158 18.5 17",81.5,"7,158",,18.5,0
77,IGEMBE SOUTH,"43,281","43,222 59","43,222",59,"29,694","68.7 13,507 31.3 21",68.7,"13,507",,31.3,0
78,IMENTI NORTH,"57,668","57,556 112","57,556",112,"30,338","52.7 27,198 47.3 20",52.7,"27,198",,47.3,0
79,IMENTI SOUTH,"64,186","63,954 232","63,954",232,"46,723","73.1 17,221 26.9 10",73.1,"17,221",,26.9,0
80,MERU CENTRAL,"39,595","39,498 97","39,498",97,"33,046","83.7 6,436 16.3 16",83.7,"6,436",,16.3,0
81,TIGANIA CENTRAL,"25,039","24,983 56","24,983",56,"22,213","88.9 2,767 11.1 3",88.9,"2,767",,11.1,0
82,TIGANIA EAST,"17,185","16,791 394","16,791",394,"14,873","88.6 1,900 11.3 18",88.6,"1,900",,11.3,0.1
83,TIGANIA WEST,"36,207","35,402 805","35,402",805,"32,080","90.6 3,310 9.3 12",90.6,"3,310",,9.3,0
84,MERU NATIONAL PARK,207,46 161,46,161,-,- 46 100.0 -,-,46,,100.0,-
85,MT. KENYA FOREST,283,273 10,273,10,195,71.4 78 28.6 -,71.4,78,,28.6,-
86,THARAKA-NITHI,"109,860","109,450 410","109,450",410,"90,352","82.6 19,062 17.4 36",82.6,"19,062",,17.4,0
87,IGAMBANG'OMBE,"14,398","14,383 15","14,383",15,"12,551","87.3 1,826 12.7 6",87.3,"1,826",,12.7,0
88,MAARA,"35,041","34,779 262","34,779",262,"28,925","83.2 5,845 16.8 9",83.2,"5,845",,16.8,0
89,MERU SOUTH,"28,249","28,211 38","28,211",38,"20,258","71.8 7,943 28.2 10",71.8,"7,943",,28.2,0
90,THARAKA NORTH,"13,413","13,403 10","13,403",10,"12,307","91.8 1,088 8.1 8",91.8,"1,088",,8.1,0.1
91,THARAKA SOUTH,"18,646","18,603 43","18,603",43,"16,311","87.7 2,289 12.3 3",87.7,"2,289",,12.3,0
92,MT. KENYA FOREST,113,71 42,71,42,-,- 71 100.0 -,-,71,,100.0,-
93,EMBU,"182,743","182,427 316","182,427",316,"133,108","73.0 49,298 27.0 21",73.0,"49,298",,27.0,0
94,EMBU EAST,"39,678","39,586 92","39,586",92,"32,844","83.0 6,742 17.0 -",83.0,"6,742",,17.0,-
95,EMBU NORTH,"24,300","24,294 6","24,294",6,"20,104","82.8 4,188 17.2 2",82.8,"4,188",,17.2,0
96,EMBU WEST,"43,153","43,126 27","43,126",27,"19,840","46.0 23,280 54.0 6",46.0,"23,280",,54.0,0
97,MBEERE SOUTH,"46,065","45,924 141","45,924",141,"36,283","79.0 9,630 21.0 11",79.0,"9,630",,21.0,0
98,MBEERE NORTH,"29,528","29,483 45","29,483",45,"24,037","81.5 5,444 18.5 2",81.5,"5,444",,18.5,0
99,MT. KENYA FOREST,19,14 5,14,5,-,- 14 100.0 -,-,14,,100.0,-
100,KITUI,"262,942","261,814 1,128","261,814","1,128","224,626","85.8 37,132 14.2 56",85.8,"37,132",,14.2,0
101,IKUTHA,"16,679","16,579 100","16,579",100,"15,115","91.2 1,463 8.8 1",91.2,"1,463",,8.8,0
102,KATULANI,"12,170","12,166 4","12,166",4,"11,116","91.4 1,050 8.6 -",91.4,"1,050",,8.6,-
103,KISASI,"10,866","10,860 6","10,860",6,"9,812","90.3 1,045 9.6 3",90.3,"1,045",,9.6,0
104,KITUI CENTRAL,"29,057","29,026 31","29,026",31,"17,874","61.6 11,150 38.4 2",61.6,"11,150",,38.4,0
105,KITUI WEST,"17,497","17,465 32","17,465",32,"15,739","90.1 1,726 9.9 -",90.1,"1,726",,9.9,-
106,KYUSO,"15,993","15,969 24","15,969",24,"14,523","90.9 1,443 9.0 3",90.9,"1,443",,9.0,0
107,LOWER YATTA,"15,454","15,021 433","15,021",433,"12,978","86.4 2,040 13.6 3",86.4,"2,040",,13.6,0
108,MATINYANI,"11,513","11,497 16","11,497",16,"10,973",95.4 524 4.6 -,95.4,524,,4.6,-
109,MIGWANI,"19,096","18,843 253","18,843",253,"17,666","93.8 1,169 6.2 8",93.8,"1,169",,6.2,0
110,MUMONI,"6,496","6,451 45","6,451",45,"6,039",93.6 411 6.4 1,93.6,411,,6.4,0
111,MUTITU,"11,521","11,490 31","11,490",31,"10,579",92.1 894 7.8 17,92.1,894,,7.8,0.1
112,MUTITU NORTH,"4,929","4,929 -","4,929",-,"4,437",90.0 491 10.0 1,90.0,491,,10.0,0
113,MUTOMO,"23,044","23,034 10","23,034",10,"20,684","89.8 2,346 10.2 4",89.8,"2,346",,10.2,0
114,MWINGI CENTRAL,"26,753","26,745 8","26,745",8,"19,301","72.2 7,437 27.8 7",72.2,"7,437",,27.8,0
115,MWINGI EAST,"18,730","18,725 5","18,725",5,"17,188","91.8 1,531 8.2 6",91.8,"1,531",,8.2,0
116,NZAMBANI,"11,276","11,276 -","11,276",-,"9,778","86.7 1,498 13.3 -",86.7,"1,498",,13.3,-
117,THAGICU,"3,289","3,289 -","3,289",-,"3,187",96.9 102 3.1 -,96.9,102,,3.1,-
118,TSEIKURU,"8,579","8,449 130","8,449",130,"7,637",90.4 812 9.6 -,90.4,812,,9.6,-
119,MACHAKOS,"402,466","399,523 2,943","399,523","2,943","257,882","64.5 141,539 35.4 102",64.5,"141,539",,35.4,0
120,ATHI RIVER,"109,735","109,723 12","109,723",12,"24,013","21.9 85,645 78.1 65",21.9,"85,645",,78.1,0.1
121,KALAMA,"14,182","14,137 45","14,137",45,"12,974","91.8 1,162 8.2 1",91.8,"1,162",,8.2,0
122,KANGUNDO,"26,142","26,115 27","26,115",27,"23,963","91.8 2,149 8.2 3",91.8,"2,149",,8.2,0
123,KATHIANI,"28,730","28,730 -","28,730",-,"26,630","92.7 2,094 7.3 6",92.7,"2,094",,7.3,0
124,MACHAKOS,"50,979","50,753 226","50,753",226,"29,501","58.1 21,246 41.9 6",58.1,"21,246",,41.9,0
125,MASINGA,"36,251","36,196 55","36,196",55,"31,913","88.2 4,279 11.8 4",88.2,"4,279",,11.8,0
126,MATUNGULU,"44,454","44,399 55","44,399",55,"33,555","75.6 10,838 24.4 6",75.6,"10,838",,24.4,0
127,MWALA,"45,840","45,809 31","45,809",31,"40,781","89.0 5,021 11.0 7",89.0,"5,021",,11.0,0
128,YATTA,"46,153","43,661 2,492","43,661","2,492","34,552","79.1 9,105 20.9 4",79.1,"9,105",,20.9,0
129,MAKUENI,"244,669","243,979 690","243,979",690,"198,314","81.3 45,609 18.7 56",81.3,"45,609",,18.7,0
130,KATHONZWENI,"18,365","18,362 3","18,362",3,"16,205","88.3 2,153 11.7 4",88.3,"2,153",,11.7,0
131,KIBWEZI,"47,912","47,594 318","47,594",318,"36,202","76.1 11,379 23.9 13",76.1,"11,379",,23.9,0
132,KILUNGU,"14,586","14,563 23","14,563",23,"13,933",95.7 626 4.3 4,95.7,626,,4.3,0
133,MAKINDU,"21,756","21,662 94","21,662",94,"15,374","71.0 6,280 29.0 8",71.0,"6,280",,29.0,0
134,MAKUENI,"34,479","34,352 127","34,352",127,"24,768","72.1 9,580 27.9 4",72.1,"9,580",,27.9,0
135,MBOONI EAST,"23,734","23,724 10","23,724",10,"21,629","91.2 2,094 8.8 1",91.2,"2,094",,8.8,0
