,Unnamed: 0.1,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
172,464,Laikipia,Rumuruti,31.0,,,LAIKIPIA,LAIKIPIA,"475,756","3,045",0.6,38,"184,613",38.8,"152,372",32.0,"59,213",12.4,"76,475",16.1,728,LAIKIPIA,Male,"236,702","94,751 40.0","78,392 33.1","28,229 11.9","33,580 14.2","1,731",0.7,19,"94,751",40,"78,392",33.1,"28,229",11.9,"33,580",14.2,728,LAIKIPIA,Male,"236,702","94,751 40.0","78,392 33.1","28,229 11.9","33,580 14.2","1,731",0.7,19,"94,751",40,"78,392",33.1,"28,229",11.9,"33,580",14.2,laikipia
177,337,Lamu,Lamu,5.0,,,LAMU,LAMU,"130,991",786,0.6,36,"50,249",38.4,"30,833",23.5,"22,762",17.4,"26,325",20.1,86,LAMU,Male,"69,111","25,969 37.6","18,933 27.4","11,830 17.1","11,888 17.2",472,0.7,19,"25,969",37.6,"18,933",27.4,"11,830",17.1,"11,888",17.2,86,LAMU,Male,"69,111","25,969 37.6","18,933 27.4","11,830 17.1","11,888 17.2",472,0.7,19,"25,969",37.6,"18,933",27.4,"11,830",17.1,"11,888",17.2,lamu
194,405,Machakos,Machakos,16.0,,,MACHAKOS,MACHAKOS,"1,327,172","11,638",0.9,199,"505,677",38.1,"519,446",39.1,"203,283",15.3,"86,929",6.5,362,MACHAKOS,Male,"661,982","258,981 39.1","262,961 39.7","99,048 15.0","34,692 5.2","6,197",0.9,103,"258,981",39.1,"262,961",39.7,"99,048",15,"34,692",5.2,362,MACHAKOS,Male,"661,982","258,981 39.1","262,961 39.7","99,048 15.0","34,692 5.2","6,197",0.9,103,"258,981",39.1,"262,961",39.7,"99,048",15,"34,692",5.2,machakos
195,406,Machakos,Machakos,16.0,,,MACHAKOS,MACHAKOS,"1,327,172","11,638",0.9,199,"505,677",38.1,"519,446",39.1,"203,283",15.3,"86,929",6.5,377,MACHAKOS,Male,"78,763","27,561 35.0","37,985 48.2","9,600 12.2","3,024 3.8",584,0.7,9,"27,561",35,"37,985",48.2,"9,600",12.2,"3,024",3.8,377,MACHAKOS,Male,"78,763","27,561 35.0","37,985 48.2","9,600 12.2","3,024 3.8",584,0.7,9,"27,561",35,"37,985",48.2,"9,600",12.2,"3,024",3.8,machakos
196,407,Machakos,Machakos,16.0,Machakos,machakos,MACHAKOS,MACHAKOS,"158,036","1,170",0.7,15,"54,322",34.4,"75,229",47.6,"19,480",12.3,"7,820",4.9,362,MACHAKOS,Male,"661,982","258,981 39.1","262,961 39.7","99,048 15.0","34,692 5.2","6,197",0.9,103,"258,981",39.1,"262,961",39.7,"99,048",15,"34,692",5.2,362,MACHAKOS,Male,"661,982","258,981 39.1","262,961 39.7","99,048 15.0","34,692 5.2","6,197",0.9,103,"258,981",39.1,"262,961",39.7,"99,048",15,"34,692",5.2,machakos
197,408,Machakos,Machakos,16.0,Machakos,machakos,MACHAKOS,MACHAKOS,"158,036","1,170",0.7,15,"54,322",34.4,"75,229",47.6,"19,480",12.3,"7,820",4.9,377,MACHAKOS,Male,"78,763","27,561 35.0","37,985 48.2","9,600 12.2","3,024 3.8",584,0.7,9,"27,561",35,"37,985",48.2,"9,600",12.2,"3,024",3.8,377,MACHAKOS,Male,"78,763","27,561 35.0","37,985 48.2","9,600 12.2","3,024 3.8",584,0.7,9,"27,561",35,"37,985",48.2,"9,600",12.2,"3,024",3.8,machakos
201,153,Makueni,Wote,17.0,Makueni,makueni,MAKUENI,MAKUENI,"921,168","12,357",1.3,144,"395,627",42.9,"276,206",30.0,"165,325",17.9,"71,509",7.8,392,MAKUENI,Male,"453,946","202,949 44.7","135,938 29.9","81,353 17.9","26,987 5.9","6,657",1.5,62,"202,949",44.7,"135,938",29.9,"81,353",17.9,"26,987",5.9,392,MAKUENI,Male,"453,946","202,949 44.7","135,938 29.9","81,353 17.9","26,987 5.9","6,657",1.5,62,"202,949",44.7,"135,938",29.9,"81,353",17.9,"26,987",5.9,makueni
202,154,Makueni,Wote,17.0,Makueni,makueni,MAKUENI,MAKUENI,"921,168","12,357",1.3,144,"395,627",42.9,"276,206",30.0,"165,325",17.9,"71,509",7.8,407,MAKUENI,Male,"60,589","24,818 41.0","21,905 36.2","10,371 17.1","2,852 4.7",642,1.1,1,"24,818",41,"21,905",36.2,"10,371",17.1,"2,852",4.7,407,MAKUENI,Male,"60,589","24,818 41.0","21,905 36.2","10,371 17.1","2,852 4.7",642,1.1,1,"24,818",41,"21,905",36.2,"10,371",17.1,"2,852",4.7,makueni
203,155,Makueni,Wote,17.0,Makueni,makueni,MAKUENI,MAKUENI,"121,484","1,162",1,4,"48,433",39.9,"43,475",35.8,"20,754",17.1,"7,656",6.3,392,MAKUENI,Male,"453,946","202,949 44.7","135,938 29.9","81,353 17.9","26,987 5.9","6,657",1.5,62,"202,949",44.7,"135,938",29.9,"81,353",17.9,"26,987",5.9,392,MAKUENI,Male,"453,946","202,949 44.7","135,938 29.9","81,353 17.9","26,987 5.9","6,657",1.5,62,"202,949",44.7,"135,938",29.9,"81,353",17.9,"26,987",5.9,makueni
204,156,Makueni,Wote,17.0,Makueni,makueni,MAKUENI,MAKUENI,"121,484","1,162",1,4,"48,433",39.9,"43,475",35.8,"20,754",17.1,"7,656",6.3,407,MAKUENI,Male,"60,589","24,818 41.0","21,905 36.2","10,371 17.1","2,852 4.7",642,1.1,1,"24,818",41,"21,905",36.2,"10,371",17.1,"2,852",4.7,407,MAKUENI,Male,"60,589","24,818 41.0","21,905 36.2","10,371 17.1","2,852 4.7",642,1.1,1,"24,818",41,"21,905",36.2,"10,371",17.1,"2,852",4.7,makueni
