,Unnamed: 0.1,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
377,332,Tana River,Hola,4.0,,,TANA RIVER,TANA RIVER,"284,605","1,445",0.5,126,"95,997",33.7,"32,815",11.5,"29,062",10.2,"125,160",44,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,tana river
378,333,Tana River,Hola,4.0,,,TANA RIVER,TANA RIVER,"79,318",337,0.4,51,"29,008",36.6,"10,976",13.8,"10,532",13.3,"28,414",35.8,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,74,TANA RIVER,Male,"142,087","50,470 35.5","19,351 13.6","14,502 10.2","56,872 40.0",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,tana river
379,334,Tana River,Hola,4.0,,,TANA RIVER,TANA RIVER,"79,318",337,0.4,51,"29,008",36.6,"10,976",13.8,"10,532",13.3,"28,414",35.8,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,83,TANA RIVER,Male,"38,822","14,886 38.3","6,257 16.1","4,877 12.6","12,568 32.4",210,0.5,24,"14,886",38.3,"6,257",16.1,"4,877",12.6,"12,568",32.4,tana river
388,390,Tharaka-Nithi,Chuka,13.0,,,THARAKA-NITHI,THARAKA-NITHI,"367,574","3,543",1,71,"144,933",39.4,"96,834",26.3,"82,897",22.6,"39,296",10.7,263,THARAKA-NITHI,Male,"180,692","73,509 40.7","48,177 26.7","40,913 22.6","16,089 8.9","1,966",1.1,38,"73,509",40.7,"48,177",26.7,"40,913",22.6,"16,089",8.9,263,THARAKA-NITHI,Male,"180,692","73,509 40.7","48,177 26.7","40,913 22.6","16,089 8.9","1,966",1.1,38,"73,509",40.7,"48,177",26.7,"40,913",22.6,"16,089",8.9,tharaka-nithi
399,448,Trans Nzoia,Kitale,26.0,,,TRANS NZOIA,TRANS NZOIA,"911,209","9,713",1.1,68,"440,977",48.4,"173,534",19.0,"193,088",21.2,"93,829",10.3,629,TRANS NZOIA,Male,"448,487","224,218 50.0","88,354 19.7","88,076 19.6","42,289 9.4","5,518",1.2,32,"224,218",50,"88,354",19.7,"88,076",19.6,"42,289",9.4,629,TRANS NZOIA,Male,"448,487","224,218 50.0","88,354 19.7","88,076 19.6","42,289 9.4","5,518",1.2,32,"224,218",50,"88,354",19.7,"88,076",19.6,"42,289",9.4,trans nzoia
404,441,Turkana,Lodwar,23.0,,,TURKANA,TURKANA,"851,797","20,077",2.4,718,"184,015",21.6,"33,028",3.9,"28,982",3.4,"584,977",68.7,575,TURKANA,Male,"439,467","98,266 22.4","21,042 4.8","14,573 3.3","294,430 67.0","10,795",2.5,361,"98,266",22.4,"21,042",4.8,"14,573",3.3,"294,430",67,575,TURKANA,Male,"439,467","98,266 22.4","21,042 4.8","14,573 3.3","294,430 67.0","10,795",2.5,361,"98,266",22.4,"21,042",4.8,"14,573",3.3,"294,430",67,turkana
410,451,Uasin Gishu,Eldoret,27.0,,,UASIN GISHU,UASIN GISHU,"1,070,335","8,633",0.8,138,"480,402",44.9,"321,505",30.0,"180,625",16.9,"79,032",7.4,647,UASIN GISHU,Male,"531,769","241,839 45.5","163,748 30.8","85,855 16.1","35,299 6.6","4,960",0.9,68,"241,839",45.5,"163,748",30.8,"85,855",16.1,"35,299",6.6,647,UASIN GISHU,Male,"531,769","241,839 45.5","163,748 30.8","85,855 16.1","35,299 6.6","4,960",0.9,68,"241,839",45.5,"163,748",30.8,"85,855",16.1,"35,299",6.6,uasin gishu
414,301,Vihiga,Vihiga,38.0,vihiga,vihiga,VIHIGA,VIHIGA,"550,070","3,623",0.7,95,"257,982",46.9,"128,847",23.4,"115,345",21,"44,178",8,908,VIHIGA,Male,"263,949","129,422 49.0","61,789 23.4","52,189 19.8","18,682 7.1","1,815",0.7,52,"129,422",49,"61,789",23.4,"52,189",19.8,"18,682",7.1,908,VIHIGA,Male,"263,949","129,422 49.0","61,789 23.4","52,189 19.8","18,682 7.1","1,815",0.7,52,"129,422",49,"61,789",23.4,"52,189",19.8,"18,682",7.1,vihiga
415,302,Vihiga,Vihiga,38.0,vihiga,vihiga,VIHIGA,VIHIGA,"550,070","3,623",0.7,95,"257,982",46.9,"128,847",23.4,"115,345",21,"44,178",8,914,VIHIGA,Male,"42,455","20,629 48.6","11,222 26.4","7,701 18.1","2,570 6.1",316,0.7,17,"20,629",48.6,"11,222",26.4,"7,701",18.1,"2,570",6.1,914,VIHIGA,Male,"42,455","20,629 48.6","11,222 26.4","7,701 18.1","2,570 6.1",316,0.7,17,"20,629",48.6,"11,222",26.4,"7,701",18.1,"2,570",6.1,vihiga
416,303,Vihiga,Vihiga,38.0,vihiga,vihiga,VIHIGA,VIHIGA,"88,664",660,0.7,26,"41,104",46.4,"23,313",26.3,"17,596",19.8,"5,965",6.7,908,VIHIGA,Male,"263,949","129,422 49.0","61,789 23.4","52,189 19.8","18,682 7.1","1,815",0.7,52,"129,422",49,"61,789",23.4,"52,189",19.8,"18,682",7.1,908,VIHIGA,Male,"263,949","129,422 49.0","61,789 23.4","52,189 19.8","18,682 7.1","1,815",0.7,52,"129,422",49,"61,789",23.4,"52,189",19.8,"18,682",7.1,vihiga
417,304,Vihiga,Vihiga,38.0,vihiga,vihiga,VIHIGA,VIHIGA,"88,664",660,0.7,26,"41,104",46.4,"23,313",26.3,"17,596",19.8,"5,965",6.7,914,VIHIGA,Male,"42,455","20,629 48.6","11,222 26.4","7,701 18.1","2,570 6.1",316,0.7,17,"20,629",48.6,"11,222",26.4,"7,701",18.1,"2,570",6.1,914,VIHIGA,Male,"42,455","20,629 48.6","11,222 26.4","7,701 18.1","2,570 6.1",316,0.7,17,"20,629",48.6,"11,222",26.4,"7,701",18.1,"2,570",6.1,vihiga
419,343,Wajir,Wajir,8.0,,,WAJIR,WAJIR,"711,571","10,209",1.4,64,"132,611",18.6,"13,792",1.9,"5,489",0.8,"549,406",77.2,134,WAJIR,Male,"379,557","75,637 19.9","9,423 2.5","3,224 0.8","285,684 75.3","5,548",1.5,41,"75,637",19.9,"9,423",2.5,"3,224",0.8,"285,684",75.3,134,WAJIR,Male,"379,557","75,637 19.9","9,423 2.5","3,224 0.8","285,684 75.3","5,548",1.5,41,"75,637",19.9,"9,423",2.5,"3,224",0.8,"285,684",75.3,wajir
425,314,West Pokot,Kapenguria,24.0,West Pokot,west pokot,WEST POKOT,WEST POKOT,"553,584","5,860",1.1,103,"235,136",42.5,"36,841",6.7,"56,672",10.2,"218,972",39.6,599,WEST POKOT,Male,"272,728","119,842 43.9","20,733 7.6","28,006 10.3","101,121 37.1","2,978",1.1,48,"119,842",43.9,"20,733",7.6,"28,006",10.3,"101,121",37.1,599,WEST POKOT,Male,"272,728","119,842 43.9","20,733 7.6","28,006 10.3","101,121 37.1","2,978",1.1,48,"119,842",43.9,"20,733",7.6,"28,006",10.3,"101,121",37.1,west pokot
426,315,West Pokot,Kapenguria,24.0,West Pokot,west pokot,WEST POKOT,WEST POKOT,"553,584","5,860",1.1,103,"235,136",42.5,"36,841",6.7,"56,672",10.2,"218,972",39.6,614,WEST POKOT,Male,"81,577","37,936 46.5","9,898 12.1","9,573 11.7","23,085 28.3","1,069",1.3,16,"37,936",46.5,"9,898",12.1,"9,573",11.7,"23,085",28.3,614,WEST POKOT,Male,"81,577","37,936 46.5","9,898 12.1","9,573 11.7","23,085 28.3","1,069",1.3,16,"37,936",46.5,"9,898",12.1,"9,573",11.7,"23,085",28.3,west pokot
427,316,West Pokot,Kapenguria,24.0,West Pokot,west pokot,WEST POKOT,WEST POKOT,"164,801","2,102",1.3,27,"74,570",45.2,"18,353",11.1,"19,565",11.9,"50,184",30.5,599,WEST POKOT,Male,"272,728","119,842 43.9","20,733 7.6","28,006 10.3","101,121 37.1","2,978",1.1,48,"119,842",43.9,"20,733",7.6,"28,006",10.3,"101,121",37.1,599,WEST POKOT,Male,"272,728","119,842 43.9","20,733 7.6","28,006 10.3","101,121 37.1","2,978",1.1,48,"119,842",43.9,"20,733",7.6,"28,006",10.3,"101,121",37.1,west pokot
428,317,West Pokot,Kapenguria,24.0,West Pokot,west pokot,WEST POKOT,WEST POKOT,"164,801","2,102",1.3,27,"74,570",45.2,"18,353",11.1,"19,565",11.9,"50,184",30.5,614,WEST POKOT,Male,"81,577","37,936 46.5","9,898 12.1","9,573 11.7","23,085 28.3","1,069",1.3,16,"37,936",46.5,"9,898",12.1,"9,573",11.7,"23,085",28.3,614,WEST POKOT,Male,"81,577","37,936 46.5","9,898 12.1","9,573 11.7","23,085 28.3","1,069",1.3,16,"37,936",46.5,"9,898",12.1,"9,573",11.7,"23,085",28.3,west pokot
