County_slash_Sub_County,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct,Use_of_Internet_Female,Use_of_Internet_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct
GARISSA,"778,006 425,411 352,563",,,,"94,786",12.2,"56,148 13.2",,,"38,634",11,"35,766","4.6 22,310 5.2 13,453",,,,,3.8
BALAMBALA,"30,885 19,392 11,492",,,,"2,737",8.9,"1,845 9.5",,,891,7.8,"1,135",3.7 724 3.7 411,,,,,3.6
DADAAB,"171,529 91,581 79,942",,,,"17,569",10.2,"10,186 11.1",,,"7,382",9.2,"6,285","3.7 3,775 4.1 2,509",,,,,3.1
FAFI,"123,861 67,143 56,708",,,,"9,641",7.8,"5,633 8.4",,,"4,008",7.1,"2,660","2.1 1,582 2.4 1,078",,,,,1.9
GARISSA SUBCOUNTY,"148,891 75,234 73,652",,,,"28,763",19.3,"16,129 21.4",,,"12,632",17.2,"9,552","6.4 5,857 7.8 3,694",,,,,5
HULUGHO,"124,947 73,417 51,525",,,,"15,747",12.6,"10,002 13.6",,,"5,745",11.1,"7,114","5.7 4,631 6.3 2,483",,,,,4.8
IJARA,"131,571 75,484 56,083",,,,"17,596",13.4,"10,924 14.5",,,"6,672",11.9,"7,743","5.9 5,054 6.7 2,689",,,,,4.8
LAGDERA,"46,322 23,160 23,161",,,,"2,733",5.9,"1,429 6.2",,,"1,304",5.6,"1,277",2.8 687 3.0 589,,,,,2.5
WAJIR,"711,571 379,557 331,969",,,,"58,976",8.3,"35,013 9.2",,,"23,958",7.2,"20,745","2.9 12,632 3.3 8,108",,,,,2.4
BUNA,"44,083 23,847 20,234",,,,"2,526",5.7,"1,483 6.2",,,"1,043",5.2,940,2.1 570 2.4 370,,,,,1.8
ELDAS,"82,187 41,866 40,314",,,,"7,299",8.9,"4,133 9.9",,,"3,165",7.9,"3,181","3.9 1,865 4.5 1,314",,,,,3.3
HABASWEIN,"158,790 86,244 72,531",,,,"15,607",9.8,"9,328 10.8",,,"6,277",8.7,"4,956","3.1 3,111 3.6 1,844",,,,,2.5
