County_slash_Sub_County,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct,Use_of_Internet_Female,Use_of_Internet_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct
MATHIRA EAST,"93,027 44,995 48,029",,,,"30,255",32.5,"15,678 34.8",,,"14,576",30.3,"14,589","15.7 7,952 17.7 6,637",,,,,13.8
MATHIRA WEST,"56,676 27,860 28,813",,,,"13,896",24.5,"7,333 26.3",,,"6,562",22.8,"5,599","9.9 3,018 10.8 2,581",,,,,9
NYERI SOUTH,"85,827 41,443 44,383",,,,"22,260",25.9,"11,843 28.6",,,"10,417",23.5,"9,472","11.0 5,166 12.5 4,306",,,,,9.7
MUKURWE-INI,"83,933 41,386 42,541",,,,"19,055",22.7,"10,313 24.9",,,"8,742",20.5,"8,529","10.2 4,840 11.7 3,689",,,,,8.7
NYERI CENTRAL,"128,041 62,843 65,196",,,,"57,316",44.8,"29,512 47.0",,,"27,803",42.6,"31,262","24.4 16,599 26.4 14,661",,,,,22.5
MT. KENYA FOREST,178 118 60,,,,73,41,50 42.4,,,23,38.3,42,23.6 25 21.2 17,,,,,28.3
ABERDARE FOREST,99 70 29,,,,78,78.8,54 77.1,,,24,82.8,43,43.4 31 44.3 12,,,,,41.4
KIRINYAGA,"571,312 281,556 289,729",,,,"137,563",24.1,"73,577 26.1",,,"63,977",22.1,"55,510","9.7 30,794 10.9 24,715",,,,,8.5
KIRINYAGA CENTRAL,"114,807 55,919 58,884",,,,"32,210",28.1,"16,912 30.2",,,"15,297",26,"14,786","12.9 7,974 14.3 6,812",,,,,11.6
KIRINYAGA EAST,"127,964 63,267 64,689",,,,"28,245",22.1,"15,600 24.7",,,"12,642",19.5,"10,917","8.5 6,183 9.8 4,734",,,,,7.3
KIRINYAGA WEST,"107,763 52,630 55,129",,,,"26,981",25,"14,332 27.2",,,"12,649",22.9,"11,750","10.9 6,526 12.4 5,224",,,,,9.5
MWEA EAST,"122,344 60,740 61,598",,,,"30,098",24.6,"15,721 25.9",,,"14,374",23.3,"11,147","9.1 6,141 10.1 5,005",,,,,8.1
MWEA WEST,"98,400 48,976 49,419",,,,"20,009",20.3,"10,996 22.5",,,"9,011",18.2,"6,901","7.0 3,962 8.1 2,939",,,,,5.9
MT. KENYA FOREST,34 24 10,,,,20,58.8,16 66.7,,,4,40,9,26.5 8 33.3 1,,,,,10
MURANG'A,"988,224 488,689 499,505",,,,"204,760",20.7,"111,466 22.8",,,"93,286",18.7,"80,287","8.1 44,903 9.2 35,380",,,,,7.1
MURANG'A EAST,"101,606 49,826 51,779",,,,"27,922",27.5,"14,072 28.2",,,"13,850",26.7,"13,329","13.1 6,933 13.9 6,396",,,,,12.4
KANGEMA,"75,668 37,165 38,500",,,,"15,764",20.8,"8,583 23.1",,,"7,180",18.6,"5,854","7.7 3,241 8.7 2,611",,,,,6.8
MATHIOYA,"87,438 42,738 44,699",,,,"15,896",18.2,"8,626 20.2",,,"7,270",16.3,"6,196","7.1 3,442 8.1 2,754",,,,,6.2
KAHURO,"83,338 40,864 42,467",,,,"15,911",19.1,"8,631 21.1",,,"7,275",17.1,"5,486","6.6 3,138 7.7 2,346",,,,,5.5
MURANG'A SOUTH,"172,158 85,252 86,901",,,,"36,809",21.4,"20,103 23.6",,,"16,706",19.2,"14,629","8.5 8,285 9.7 6,344",,,,,7.3
GATANGA,"175,723 88,134 87,586",,,,"37,930",21.6,"21,157 24.0",,,"16,772",19.1,"15,445","8.8 8,660 9.8 6,785",,,,,7.7
KIGUMO,"128,481 63,728 64,750",,,,"23,144",18,"13,054 20.5",,,"10,089",15.6,"8,139","6.3 4,779 7.5 3,360",,,,,5.2
KANDARA,"163,770 80,952 82,811",,,,"31,359",19.1,"17,219 21.3",,,"14,140",17.1,"11,201","6.8 6,419 7.9 4,782",,,,,5.8
ABERDARE FOREST,42 30 12,,,,25,59.5,21 70.0,,,4,33.3,8,19.0 6 20.0 2,,,,,16.7
KIAMBU,"2,231,514 1,092,380 1,139,012",,,,"952,268",42.7,"486,137 44.5",,,"466,080",40.9,"486,912","21.8 261,359 23.9 225,529",,,,,19.8
GATUNDU NORTH,"102,915 50,634 52,279",,,,"22,795",22.1,"12,306 24.3",,,"10,488",20.1,"7,491","7.3 4,301 8.5 3,190",,,,,6.1
GATUNDU SOUTH,"114,575 56,630 57,941",,,,"26,346",23,"14,104 24.9",,,"12,242",21.1,"8,851","7.7 4,901 8.7 3,950",,,,,6.8
GITHUNGURI,"155,046 76,874 78,164",,,,"42,369",27.3,"22,149 28.8",,,"20,218",25.9,"16,086","10.4 8,839 11.5 7,247",,,,,9.3
JUJA,"277,171 136,491 140,658",,,,"133,777",48.3,"68,981 50.5",,,"64,788",46.1,"71,054","25.6 39,208 28.7 31,842",,,,,22.6
KABETE,"184,688 90,196 94,478",,,,"87,230",47.2,"44,176 49.0",,,"43,047",45.6,"46,746","25.3 25,118 27.8 21,623",,,,,22.9
KIAMBAA,"218,165 106,623 111,530",,,,"101,132",46.4,"50,970 47.8",,,"50,160",45,"51,780","23.7 27,063 25.4 24,714",,,,,22.2
KIAMBU SUBCOUNTY,"133,949 63,471 70,464",,,,"67,815",50.6,"32,488 51.2",,,"35,319",50.1,"40,193","30.0 20,311 32.0 19,881",,,,,28.2
KIKUYU,"172,833 83,603 89,226",,,,"83,951",48.6,"41,613 49.8",,,"42,336",47.4,"49,598","28.7 25,598 30.6 23,999",,,,,26.9
LARI,"125,884 62,427 63,454",,,,"29,719",23.6,"16,394 26.3",,,"13,325",21,"10,661","8.5 5,999 9.6 4,662",,,,,7.3
LIMURU,"147,004 73,445 73,559",,,,"49,957",34,"26,789 36.5",,,"23,168",31.5,"22,425","15.3 12,384 16.9 10,041",,,,,13.7
RUIRU,"340,681 165,256 175,406",,,,"181,536",53.3,"92,193 55.8",,,"89,333",50.9,"97,382","28.6 52,725 31.9 44,652",,,,,25.5
THIKA EAST,"35,971 18,224 17,743",,,,"10,688",29.7,"5,780 31.7",,,"4,905",27.6,"4,157","11.6 2,305 12.6 1,852",,,,,10.4
THIKA WEST,"222,632 108,506 114,110",,,,"114,953",51.6,"58,194 53.6",,,"56,751",49.7,"60,488","27.2 32,607 30.1 27,876",,,,,24.4
TURKANA,"851,797 439,467 412,311",,,,"58,533",6.9,"36,920 8.4",,,"21,613",5.2,"20,541","2.4 13,440 3.1 7,101",,,,,1.7
KIBISH,"33,611 17,046 16,564",,,,890,2.6,591 3.5,,,299,1.8,310,0.9 216 1.3 94,,,,,0.6
LOIMA,"98,183 49,440 48,743",,,,"2,901",3,"1,821 3.7",,,"1,080",2.2,"1,062",1.1 663 1.3 399,,,,,0.8
TURKANA CENTRAL,"166,135 82,906 83,229",,,,"19,585",11.8,"11,961 14.4",,,"7,624",9.2,"7,633","4.6 4,888 5.9 2,745",,,,,3.3
TURKANA EAST,"130,834 72,914 57,908",,,,"7,414",5.7,"4,754 6.5",,,"2,660",4.6,"2,839","2.2 1,792 2.5 1,047",,,,,1.8
TURKANA NORTH,"59,378 29,770 29,608",,,,"2,038",3.4,"1,339 4.5",,,699,2.4,773,1.3 571 1.9 202,,,,,0.7
TURKANA SOUTH,"142,538 72,846 69,688",,,,"9,280",6.5,"5,851 8.0",,,"3,429",4.9,"3,555","2.5 2,300 3.2 1,255",,,,,1.8
TURKANA WEST,"221,118 114,545 106,571",,,,"16,425",7.4,"10,603 9.3",,,"5,822",5.5,"4,369","2.0 3,010 2.6 1,359",,,,,1.3
WEST POKOT,"553,584 272,728 280,844",,,,"44,864",8.1,"28,103 10.3",,,"16,761",6,"16,460","3.0 10,064 3.7 6,396",,,,,2.3
KIPKOMO,"91,581 45,307 46,268",,,,"7,394",8.1,"4,709 10.4",,,"2,685",5.8,"2,760","3.0 1,660 3.7 1,100",,,,,2.4
POKOT CENTRAL,"106,071 53,164 52,905",,,,"4,848",4.6,"3,260 6.1",,,"1,588",3,"1,543","1.5 1,005 1.9 538",,,,,1
POKOT NORTH,"118,673 56,999 61,672",,,,"5,448",4.6,"3,570 6.3",,,"1,878",3,"2,100","1.8 1,352 2.4 748",,,,,1.2
POKOT SOUTH,"72,458 35,681 36,775",,,,"6,461",8.9,"4,310 12.1",,,"2,151",5.8,"1,890","2.6 1,222 3.4 668",,,,,1.8
WEST POKOT SUBCOUNTY,"164,801 81,577 83,224",,,,"20,713",12.6,"12,254 15.0",,,"8,459",10.2,"8,167","5.0 4,825 5.9 3,342",,,,,4
SAMBURU,"279,891 141,072 138,814",,,,"27,282",9.7,"16,768 11.9",,,"10,514",7.6,"11,516","4.1 7,286 5.2 4,230",,,,,3
SAMBURU CENTRAL,"149,358 75,738 73,618",,,,"17,539",11.7,"10,635 14.0",,,"6,904",9.4,"7,519","5.0 4,607 6.1 2,912",,,,,4
SAMBURU EAST,"69,944 34,048 35,896",,,,"6,268",9,"3,870 11.4",,,"2,398",6.7,"2,580","3.7 1,664 4.9 916",,,,,2.6
SAMBURU NORTH,"60,589 31,286 29,300",,,,"3,475",5.7,"2,263 7.2",,,"1,212",4.1,"1,417","2.3 1,015 3.2 402",,,,,1.4
TRANS NZOIA,"911,209 448,487 462,701",,,,"154,412",16.9,"88,098 19.6",,,"66,311",14.3,"64,667","7.1 37,083 8.3 27,583",,,,,6
TRANS NZOIA WEST,"184,140 91,254 92,883",,,,"34,776",18.9,"20,148 22.1",,,"14,627",15.7,"14,441","7.8 8,483 9.3 5,958",,,,,6.4
TRANS NZOIA EAST,"212,422 104,721 107,693",,,,"33,388",15.7,"19,164 18.3",,,"14,224",13.2,"12,132","5.7 6,939 6.6 5,193",,,,,4.8
KWANZA,"188,466 92,532 95,931",,,,"29,556",15.7,"16,790 18.1",,,"12,765",13.3,"11,620","6.2 6,763 7.3 4,857",,,,,5.1
ENDEBESS,"102,457 51,455 50,999",,,,"9,816",9.6,"6,474 12.6",,,"3,342",6.6,"4,019","3.9 2,523 4.9 1,496",,,,,2.9
KIMININI,"223,724 108,525 115,195",,,,"46,876",21,"25,522 23.5",,,"21,353",18.5,"22,455","10.0 12,375 11.4 10,079",,,,,8.7
UASIN GISHU,"1,070,335 531,769 538,543",,,,"299,885",28,"163,826 30.8",,,"136,049",25.3,"144,382","13.5 78,776 14.8 65,601",,,,,12.2
AINABKOI,"127,533 62,850 64,683",,,,"38,066",29.8,"20,320 32.3",,,"17,746",27.4,"20,316","15.9 10,694 17.0 9,622",,,,,14.9
KAPSERET,"182,852 91,412 91,436",,,,"67,976",37.2,"36,693 40.1",,,"31,281",34.2,"34,483","18.9 18,570 20.3 15,912",,,,,17.4
KESSES,"137,814 68,811 69,000",,,,"30,972",22.5,"17,493 25.4",,,"13,477",19.5,"14,226","10.3 7,875 11.4 6,350",,,,,9.2
MOIBEN,"165,378 81,639 83,737",,,,"48,743",29.5,"26,212 32.1",,,"22,531",26.9,"24,837","15.0 13,392 16.4 11,445",,,,,13.7
SOY,"211,662 105,136 106,521",,,,"43,783",20.7,"24,937 23.7",,,"18,843",17.7,"19,192","9.1 10,847 10.3 8,343",,,,,7.8
TURBO,"245,096 121,921 123,166",,,,"70,345",28.7,"38,171 31.3",,,"32,171",26.1,"31,328","12.8 17,398 14.3 13,929",,,,,11.3
ELGEYO/MARAKWET,"418,765 209,151 209,602",,,,"59,627",14.2,"35,299 16.9",,,"24,326",11.6,"22,935","5.5 13,147 6.3 9,786",,,,,4.7
KEIYO NORTH,"91,430 45,566 45,863",,,,"17,270",18.9,"9,822 21.6",,,"7,448",16.2,"7,684","8.4 4,235 9.3 3,449",,,,,7.5
KEIYO SOUTH,"112,236 56,593 55,639",,,,"17,441",15.5,"10,315 18.2",,,"7,124",12.8,"6,676","5.9 3,781 6.7 2,893",,,,,5.2
MARAKWET EAST,"88,986 43,796 45,188",,,,"7,943",8.9,"4,915 11.2",,,"3,028",6.7,"2,866","3.2 1,777 4.1 1,089",,,,,2.4
MARAKWET WEST,"126,113 63,196 62,912",,,,"16,973",13.5,"10,247 16.2",,,"6,726",10.7,"5,709","4.5 3,354 5.3 2,355",,,,,3.7
NANDI,"822,163 408,980 413,163",,,,"140,534",17.1,"81,657 20.0",,,"58,872",14.2,"54,869","6.7 30,800 7.5 24,066",,,,,5.8
CHESUMEI,"152,235 75,011 77,221",,,,"33,312",21.9,"18,383 24.5",,,"14,928",19.3,"13,103","8.6 7,168 9.6 5,934",,,,,7.7
NANDI CENTRAL,"136,533 67,514 69,013",,,,"25,736",18.8,"14,722 21.8",,,"11,011",16,"10,150","7.4 5,662 8.4 4,486",,,,,6.5
NANDI EAST,"110,834 55,676 55,155",,,,"21,288",19.2,"12,891 23.2",,,"8,397",15.2,"8,612","7.8 4,907 8.8 3,705",,,,,6.7
NANDI NORTH,"154,455 76,585 77,867",,,,"23,780",15.4,"13,794 18.0",,,"9,986",12.8,"8,956","5.8 5,102 6.7 3,854",,,,,4.9
NANDI SOUTH,"160,898 79,744 81,151",,,,"22,869",14.2,"13,140 16.5",,,"9,728",12,"9,161","5.7 5,045 6.3 4,116",,,,,5.1
TINDERET,"107,208 54,450 52,756",,,,"13,549",12.6,"8,727 16.0",,,"4,822",9.1,"4,887","4.6 2,916 5.4 1,971",,,,,3.7
BARINGO,"609,555 306,702 302,842",,,,"93,138",15.3,"54,448 17.8",,,"38,687",12.8,"38,025","6.2 21,854 7.1 16,170",,,,,5.3
BARINGO CENTRAL,"89,180 44,084 45,096",,,,"20,343",22.8,"11,373 25.8",,,"8,970",19.9,"9,584","10.7 5,308 12.0 4,276",,,,,9.5
BARINGO NORTH,"96,670 48,209 48,459",,,,"13,187",13.6,"7,960 16.5",,,"5,226",10.8,"5,589","5.8 3,297 6.8 2,292",,,,,4.7
EAST POKOT,"73,135 36,951 36,182",,,,"3,020",4.1,"1,861 5.0",,,"1,159",3.2,"1,259",1.7 785 2.1 474,,,,,1.3
KOIBATEK,"119,478 59,953 59,523",,,,"25,544",21.4,"14,761 24.6",,,"10,783",18.1,"10,108","8.5 5,662 9.4 4,446",,,,,7.5
MARIGAT,"80,968 40,463 40,502",,,,"11,772",14.5,"7,183 17.8",,,"4,588",11.3,"4,181","5.2 2,579 6.4 1,601",,,,,4
MOGOTIO,"83,716 42,194 41,520",,,,"15,244",18.2,"8,804 20.9",,,"6,439",15.5,"5,944","7.1 3,318 7.9 2,626",,,,,6.3
TIATY EAST,"66,408 34,848 31,560",,,,"4,028",6.1,"2,506 7.2",,,"1,522",4.8,"1,360",2.0 905 2.6 455,,,,,1.4
LAIKIPIA,"475,756 236,702 239,042",,,,"107,448",22.6,"59,898 25.3",,,"47,547",19.9,"44,988","9.5 25,358 10.7 19,629",,,,,8.2
LAIKIPIA CENTRAL,"89,229 44,606 44,623",,,,"24,716",27.7,"13,391 30.0",,,"11,325",25.4,"11,004","12.3 5,989 13.4 5,015",,,,,11.2
LAIKIPIA EAST,"93,683 46,952 46,726",,,,"30,485",32.5,"16,946 36.1",,,"13,537",29,"13,108","14.0 7,491 16.0 5,616",,,,,12
LAIKIPIA NORTH,"32,310 16,107 16,202",,,,"2,507",7.8,"1,671 10.4",,,836,5.2,832,2.6 576 3.6 256,,,,,1.6
LAIKIPIA WEST,"117,836 59,138 58,695",,,,"15,147",12.9,"9,199 15.6",,,"5,948",10.1,"5,282","4.5 3,145 5.3 2,137",,,,,3.6
NYAHURURU,"142,698 69,899 72,796",,,,"34,593",24.2,"18,691 26.7",,,"15,901",21.8,"14,762","10.3 8,157 11.7 6,605",,,,,9.1
NAKURU,"1,981,598 982,910 998,603",,,,"531,767",26.8,"293,579 29.9",,,"238,166",23.8,"230,624","11.6 130,385 13.3 100,225",,,,,10
GILGIL,"169,516 84,928 84,581",,,,"47,755",28.2,"26,922 31.7",,,"20,831",24.6,"21,416","12.6 12,457 14.7 8,958",,,,,10.6
KURESOI NORTH,"161,409 80,563 80,843",,,,"19,962",12.4,"12,833 15.9",,,"7,129",8.8,"6,421","4.0 3,998 5.0 2,423",,,,,3
KURESOI SOUTH,"142,631 71,731 70,897",,,,"20,442",14.3,"12,997 18.1",,,"7,445",10.5,"6,734","4.7 4,100 5.7 2,634",,,,,3.7
MOLO,"144,889 72,141 72,743",,,,"28,049",19.4,"16,264 22.5",,,"11,785",16.2,"10,608","7.3 6,199 8.6 4,409",,,,,6.1
NAIVASHA,"322,714 161,071 161,617",,,,"102,716",31.8,"57,251 35.5",,,"45,456",28.1,"40,468","12.5 23,447 14.6 17,014",,,,,10.5
NAKURU EAST,"176,055 83,491 92,556",,,,"85,041",48.3,"41,796 50.1",,,"43,242",46.7,"46,156","26.2 24,437 29.3 21,718",,,,,23.5
NAKURU NORTH,"201,190 97,573 103,602",,,,"61,609",30.6,"31,974 32.8",,,"29,631",28.6,"26,611","13.2 14,771 15.1 11,835",,,,,11.4
NAKURU WEST,"179,490 91,321 88,159",,,,"65,871",36.7,"36,670 40.2",,,"29,198",33.1,"28,001","15.6 15,999 17.5 12,002",,,,,13.6
NJORO,"220,036 109,028 111,005",,,,"38,685",17.6,"22,505 20.6",,,"16,180",14.6,"15,435","7.0 9,109 8.4 6,326",,,,,5.7
RONGAI,"184,553 92,132 92,417",,,,"48,767",26.4,"26,991 29.3",,,"21,775",23.6,"24,138","13.1 13,186 14.3 10,952",,,,,11.9
SUBUKIA,"79,115 38,931 40,183",,,,"12,870",16.3,"7,376 18.9",,,"5,494",13.7,"4,636","5.9 2,682 6.9 1,954",,,,,4.9
NAROK,"1,044,966 520,523 524,419",,,,"125,491",12,"78,467 15.1",,,"47,018",9,"42,546","4.1 25,812 5.0 16,733",,,,,3.2
NAROK EAST,"104,856 53,336 51,513",,,,"11,601",11.1,"7,438 13.9",,,"4,163",8.1,"3,126","3.0 1,962 3.7 1,164",,,,,2.3
NAROK NORTH,"227,649 115,452 112,188",,,,"44,706",19.6,"26,104 22.6",,,"18,598",16.6,"16,234","7.1 9,364 8.1 6,870",,,,,6.1
NAROK SOUTH,"215,493 106,882 108,609",,,,"19,111",8.9,"12,482 11.7",,,"6,628",6.1,"5,659","2.6 3,599 3.4 2,059",,,,,1.9
NAROK WEST,"171,981 84,283 87,696",,,,"16,281",9.5,"10,563 12.5",,,"5,717",6.5,"5,170","3.0 3,265 3.9 1,905",,,,,2.2
TRANS MARA EAST,"102,459 50,134 52,324",,,,"8,237",8,"5,363 10.7",,,"2,874",5.5,"3,415","3.3 2,130 4.2 1,285",,,,,2.5
TRANS MARA WEST,"222,496 110,408 112,085",,,,"25,525",11.5,"16,491 14.9",,,"9,034",8.1,"8,936","4.0 5,487 5.0 3,449",,,,,3.1
MAU FOREST,32 28 4,,,,30,93.8,26 92.9,,,4,100,6,18.8 5 17.9 1,,,,,25
KAJIADO,"1,016,058 504,023 512,004",,,,"336,468",33.1,"179,615 35.6",,,"156,840",30.6,"164,967","16.2 89,944 17.8 75,014",,,,,14.7
ISINYA,"191,272 95,366 95,900",,,,"89,948",47,"46,985 49.3",,,"42,958",44.8,"40,373","21.1 21,682 22.7 18,688",,,,,19.5
KAJIADO CENTRAL,"145,212 72,629 72,580",,,,"27,228",18.8,"15,778 21.7",,,"11,450",15.8,"10,431","7.2 6,161 8.5 4,270",,,,,5.9
KAJIADO NORTH,"282,534 138,169 144,354",,,,"148,583",52.6,"75,963 55.0",,,"72,613",50.3,"87,772","31.1 46,769 33.8 40,998",,,,,28.4
KAJIADO WEST,"165,055 82,432 82,618",,,,"34,050",20.6,"19,137 23.2",,,"14,912",18,"14,691","8.9 8,353 10.1 6,337",,,,,7.7
LOITOKITOK,"173,159 85,227 87,927",,,,"24,417",14.1,"14,489 17.0",,,"9,928",11.3,"7,934","4.6 4,766 5.6 3,168",,,,,3.6
MASHUURU,"58,826 30,200 28,625",,,,"12,242",20.8,"7,263 24.0",,,"4,979",17.4,"3,766","6.4 2,213 7.3 1,553",,,,,5.4
KERICHO,"834,061 415,734 418,300",,,,"158,104",19,"95,506 23.0",,,"62,594",15,"69,075","8.3 40,364 9.7 28,710",,,,,6.9
BELGUT,"135,941 67,923 68,018",,,,"28,758",21.2,"17,196 25.3",,,"11,562",17,"12,694","9.3 7,309 10.8 5,385",,,,,7.9
BURETI,"185,127 91,535 93,587",,,,"34,550",18.7,"20,757 22.7",,,"13,792",14.7,"14,889","8.0 8,711 9.5 6,178",,,,,6.6
KERICHO EAST,"156,786 79,013 77,766",,,,"42,000",26.8,"24,553 31.1",,,"17,446",22.4,"20,465","13.1 11,819 15.0 8,646",,,,,11.1
KIPKELION,"112,279 55,954 56,321",,,,"14,684",13.1,"9,578 17.1",,,"5,106",9.1,"5,817","5.2 3,591 6.4 2,226",,,,,4
LONDIANI,"126,773 62,955 63,808",,,,"21,376",16.9,"13,179 20.9",,,"8,196",12.8,"7,717","6.1 4,564 7.2 3,153",,,,,4.9
SOIN SIGOWET,"117,155 58,354 58,800",,,,"16,736",14.3,"10,243 17.6",,,"6,492",11,"7,493","6.4 4,370 7.5 3,122",,,,,5.3
BOMET,"810,122 400,694 409,407",,,,"134,885",16.6,"83,163 20.8",,,"51,721",12.6,"53,643","6.6 31,930 8.0 21,712",,,,,5.3
BOMET EAST,"132,732 65,185 67,541",,,,"17,556",13.2,"10,829 16.6",,,"6,727",10,"6,100","4.6 3,741 5.7 2,359",,,,,3.5
CHEPALUNGU,"152,423 73,652 78,767",,,,"19,724",12.9,"12,480 16.9",,,"7,244",9.2,"9,179","6.0 5,540 7.5 3,639",,,,,4.6
KONOIN,"152,161 77,411 74,747",,,,"29,201",19.2,"18,570 24.0",,,"10,631",14.2,"10,151","6.7 6,146 7.9 4,005",,,,,5.4
SOTIK,"211,301 103,882 107,415",,,,"35,958",17,"21,781 21.0",,,"14,177",13.2,"15,078","7.1 8,936 8.6 6,142",,,,,5.7
BOMET CENTRAL,"161,505 80,564 80,937",,,,"32,446",20.1,"19,503 24.2",,,"12,942",16,"13,135","8.1 7,567 9.4 5,567",,,,,6.9
KAKAMEGA,"1,732,145 828,945 903,166",,,,"250,964",14.5,"139,101 16.8",,,"111,859",12.4,"109,715","6.3 61,397 7.4 48,318",,,,,5.3
BUTERE,"143,388 68,366 75,019",,,,"17,915",12.5,"10,077 14.7",,,"7,838",10.4,"7,238","5.0 4,174 6.1 3,064",,,,,4.1
KAKAMEGA CENTRAL,"173,048 84,569 88,477",,,,"52,016",30.1,"27,947 33.0",,,"24,068",27.2,"28,835","16.7 15,689 18.6 13,146",,,,,14.9
KAKAMEGA EAST,"155,365 74,398 80,963",,,,"20,737",13.3,"11,428 15.4",,,"9,308",11.5,"8,934","5.8 4,945 6.6 3,989",,,,,4.9
KAKAMEGA NORTH,"221,048 106,855 114,188",,,,"27,593",12.5,"15,809 14.8",,,"11,784",10.3,"10,621","4.8 6,015 5.6 4,606",,,,,4
KAKAMEGA SOUTH,"104,341 49,548 54,793",,,,"13,893",13.3,"7,528 15.2",,,"6,365",11.6,"5,254","5.0 2,889 5.8 2,365",,,,,4.3
KHWISERO,"106,001 49,957 56,041",,,,"12,490",11.8,"6,916 13.8",,,"5,574",9.9,"5,765","5.4 3,292 6.6 2,473",,,,,4.4
LIKUYANI,"141,338 68,337 72,998",,,,"22,255",15.7,"12,118 17.7",,,"10,137",13.9,"8,537","6.0 4,707 6.9 3,830",,,,,5.2
LUGARI,"114,040 54,848 59,192",,,,"16,347",14.3,"9,107 16.6",,,"7,240",12.2,"6,691","5.9 3,715 6.8 2,976",,,,,5
MATETE,"61,383 29,404 31,979",,,,"7,382",12,"4,000 13.6",,,"3,382",10.6,"3,165","5.2 1,748 5.9 1,417",,,,,4.4
MATUNGU,"154,460 72,733 81,724",,,,"15,479",10,"8,804 12.1",,,"6,674",8.2,"5,764","3.7 3,387 4.7 2,377",,,,,2.9
MUMIAS EAST,"108,468 51,751 56,714",,,,"14,066",13,"8,059 15.6",,,"6,007",10.6,"5,844","5.4 3,446 6.7 2,398",,,,,4.2
MUMIAS WEST,"106,473 50,529 55,943",,,,"16,207",15.2,"8,912 17.6",,,"7,295",13,"7,192","6.8 4,014 7.9 3,178",,,,,5.7
NAVAKHOLO,"142,792 67,650 75,135",,,,"14,584",10.2,"8,396 12.4",,,"6,187",8.2,"5,875","4.1 3,376 5.0 2,499",,,,,3.3
VIHIGA,"550,070 263,949 286,112",,,,"77,622",14.1,"41,756 15.8",,,"35,864",12.5,"36,123","6.6 19,879 7.5 16,243",,,,,5.7
EMUHAYA,"90,814 43,383 47,430",,,,"10,609",11.7,"5,741 13.2",,,"4,867",10.3,"4,935","5.4 2,731 6.3 2,204",,,,,4.6
VIHIGA SUBCOUNTY,"88,664 42,455 46,207",,,,"14,412",16.3,"7,716 18.2",,,"6,695",14.5,"7,174","8.1 3,870 9.1 3,303",,,,,7.1
SABATIA,"122,708 58,591 64,116",,,,"18,891",15.4,"10,084 17.2",,,"8,807",13.7,"8,140","6.6 4,450 7.6 3,690",,,,,5.8
LUANDA,"98,821 47,692 51,127",,,,"14,055",14.2,"7,577 15.9",,,"6,478",12.7,"7,082","7.2 3,940 8.3 3,142",,,,,6.1
HAMISI,"149,047 71,816 77,228",,,,"19,653",13.2,"10,637 14.8",,,"9,016",11.7,"8,790","5.9 4,887 6.8 3,903",,,,,5.1
KAKAMEGA FOREST,16 12 4,,,,2,12.5,1 8.3,,,1,25,2,12.5 1 8.3 1,,,,,25
BUNGOMA,"1,538,767 745,883 792,851",,,,"212,520",13.8,"119,213 16.0",,,"93,303",11.8,"93,169","6.1 52,712 7.1 40,456",,,,,5.1
BUMULA,"199,499 95,312 104,186",,,,"19,349",9.7,"11,097 11.6",,,"8,252",7.9,"7,352","3.7 4,332 4.5 3,020",,,,,2.9
BUNGOMA CENTRAL,"163,799 79,315 84,477",,,,"21,310",13,"12,282 15.5",,,"9,026",10.7,"9,217","5.6 5,342 6.7 3,875",,,,,4.6
BUNGOMA EAST,"106,122 51,497 54,623",,,,"17,213",16.2,"9,468 18.4",,,"7,745",14.2,"7,633","7.2 4,146 8.1 3,487",,,,,6.4
BUNGOMA NORTH,"111,891 54,098 57,792",,,,"14,858",13.3,"8,346 15.4",,,"6,512",11.3,"6,662","6.0 3,790 7.0 2,872",,,,,5
BUNGOMA SOUTH,"263,411 126,979 136,427",,,,"56,612",21.5,"30,427 24.0",,,"26,184",19.2,"27,162","10.3 15,017 11.8 12,145",,,,,8.9
CHEPTAIS,"124,273 61,904 62,363",,,,"10,373",8.3,"6,441 10.4",,,"3,932",6.3,"3,779","3.0 2,336 3.8 1,443",,,,,2.3
KIMILILI,"149,814 72,387 77,424",,,,"20,753",13.9,"11,379 15.7",,,"9,373",12.1,"8,582","5.7 4,783 6.6 3,798",,,,,4.9
MT. ELGON,"72,721 35,916 36,802",,,,"7,725",10.6,"4,725 13.2",,,"3,000",8.2,"3,231","4.4 1,957 5.4 1,274",,,,,3.5
BUNGOMA WEST,"110,636 53,608 57,027",,,,"11,471",10.4,"6,769 12.6",,,"4,702",8.2,"5,041","4.6 2,926 5.5 2,115",,,,,3.7
TONGAREN,"92,891 44,960 47,930",,,,"12,671",13.6,"7,112 15.8",,,"5,559",11.6,"5,214","5.6 2,960 6.6 2,254",,,,,4.7
