County_slash_Sub_County,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
IGEMBE NORTH,"156,536 76,912 79,620",,,,"59,260",37.9,"30,937 40.2",,,"28,322",35.6
IGEMBE SOUTH,"149,522 74,030 75,484",,,,"68,964",46.1,"35,519 48.0",,,"33,443",44.3
IMENTI NORTH,"162,829 80,497 82,328",,,,"104,428",64.1,"51,268 63.7",,,"53,157",64.6
IMENTI SOUTH,"193,742 96,744 96,993",,,,"114,730",59.2,"57,067 59.0",,,"57,659",59.4
MERU CENTRAL,"125,670 62,757 62,910",,,,"71,605",57,"35,980 57.3",,,"35,623",56.6
TIGANIA CENTRAL,"97,405 48,073 49,332",,,,"39,876",40.9,"20,704 43.1",,,"19,172",38.9
TIGANIA EAST,"67,622 32,914 34,705",,,,"27,824",41.1,"13,628 41.4",,,"14,196",40.9
TIGANIA WEST,"130,798 63,209 67,585",,,,"61,200",46.8,"29,433 46.6",,,"31,765",47
MERU NATIONAL PARK,294 219 75,,,,251,85.4,197 90.0,,,54,72
MT. KENYA FOREST ,442 393 49,,,,286,64.7,251 63.9,,,35,71.4
THARAKA-NITHI,"367,574 180,692 186,875",,,,"188,394",51.3,"93,265 51.6",,,"95,125",50.9
IGAMBANG'OMBE,"49,368 24,367 25,000",,,,"23,138",46.9,"11,566 47.5",,,"11,571",46.3
MAARA,"108,517 54,491 54,026",,,,"62,921",58,"31,246 57.3",,,"31,675",58.6
MERU SOUTH,"85,236 41,988 43,246",,,,"51,994",61,"25,381 60.4",,,"26,612",61.5
THARAKA NORTH,"54,321 26,290 28,029",,,,"20,006",36.8,"10,344 39.3",,,"9,661",34.5
THARAKA SOUTH,"69,972 33,482 36,488",,,,"30,200",43.2,"14,668 43.8",,,"15,531",42.6
MT. KENYA FOREST,160 74 86,,,,135,84.4,60 81.1,,,75,87.2
EMBU,"568,228 283,024 285,182",,,,"323,700",57,"159,715 56.4",,,"163,970",57.5
EMBU EAST,"122,079 60,807 61,270",,,,"70,942",58.1,"34,622 56.9",,,"36,318",59.3
EMBU NORTH,"75,194 37,443 37,748",,,,"44,732",59.5,"21,931 58.6",,,"22,799",60.4
EMBU WEST,"116,797 57,297 59,491",,,,"76,974",65.9,"37,269 65.0",,,"39,697",66.7
MBEERE SOUTH,"152,697 77,699 74,993",,,,"80,789",52.9,"41,124 52.9",,,"39,662",52.9
MBEERE NORTH,"101,440 49,760 51,677",,,,"50,242",49.5,"24,751 49.7",,,"25,491",49.3
MT. KENYA FOREST,21 18 3,,,,21,100,18 100.0,,,3,100
KITUI,"1,056,907 508,247 548,634",,,,"452,948",42.9,"210,760 41.5",,,"242,178",44.1
IKUTHA,"77,563 37,282 40,281",,,,"28,363",36.6,"13,056 35.0",,,"15,307",38
KATULANI,"44,328 21,770 22,557",,,,"21,392",48.3,"10,100 46.4",,,"11,291",50.1
KISASI,"43,226 21,140 22,086",,,,"18,824",43.5,"8,707 41.2",,,"10,117",45.8
KITUI CENTRAL,"97,406 47,435 49,968",,,,"53,137",54.6,"25,179 53.1",,,"27,955",55.9
KITUI WEST,"66,202 31,558 34,643",,,,"32,561",49.2,"14,822 47.0",,,"17,739",51.2
KYUSO,"71,052 33,864 37,187",,,,"27,089",38.1,"12,630 37.3",,,"14,459",38.9
LOWER YATTA,"59,184 29,535 29,649",,,,"27,203",46,"13,333 45.1",,,"13,870",46.8
MATINYANI,"44,779 21,869 22,909",,,,"21,678",48.4,"10,140 46.4",,,"11,538",50.4
MIGWANI,"73,803 34,807 38,993",,,,"35,851",48.6,"16,067 46.2",,,"19,782",50.7
MUMONI,"27,319 12,732 14,587",,,,"10,778",39.5,"4,910 38.6",,,"5,868",40.2
MUTITU,"51,464 24,422 27,040",,,,"17,394",33.8,"7,976 32.7",,,"9,418",34.8
MUTITU NORTH,"19,815 9,620 10,194",,,,"8,288",41.8,"3,832 39.8",,,"4,456",43.7
MUTOMO,"105,422 50,656 54,761",,,,"36,746",34.9,"17,104 33.8",,,"19,640",35.9
MWINGI CENTRAL,"100,501 48,132 52,369",,,,"46,029",45.8,"21,262 44.2",,,"24,767",47.3
MWINGI EAST,"79,205 37,382 41,818",,,,"29,666",37.5,"13,296 35.6",,,"16,368",39.1
NZAMBANI,"43,682 21,356 22,324",,,,"19,950",45.7,"9,479 44.4",,,"10,471",46.9
THAGICU,"14,025 6,591 7,433",,,,"4,857",34.6,"2,407 36.5",,,"2,450",33
TSEIKURU,"37,931 18,096 19,835",,,,"13,142",34.6,"6,460 35.7",,,"6,682",33.7
MACHAKOS,"1,327,172 661,982 665,162",,,,"748,673",56.4,"366,764 55.4",,,"381,894",57.4
ATHI RIVER,"295,790 150,511 145,277",,,,"204,354",69.1,"105,551 70.1",,,"98,802",68
KALAMA,"51,542 25,273 26,264",,,,"26,890",52.2,"12,743 50.4",,,"14,144",53.9
KANGUNDO,"92,505 45,935 46,569",,,,"48,955",52.9,"23,248 50.6",,,"25,706",55.2
KATHIANI,"105,562 51,709 53,849",,,,"52,849",50.1,"24,824 48.0",,,"28,023",52
MACHAKOS SUBCOUNTY,"158,036 78,763 79,267",,,,"97,746",61.9,"47,906 60.8",,,"49,837",62.9
MASINGA,"138,933 68,657 70,274",,,,"66,702",48,"31,700 46.2",,,"35,001",49.8
MATUNGULU,"151,535 76,123 75,408",,,,"81,182",53.6,"39,864 52.4",,,"41,316",54.8
MWALA,"171,999 85,399 86,597",,,,"88,158",51.3,"41,675 48.8",,,"46,482",53.7
YATTA,"161,270 79,612 81,657",,,,"81,837",50.7,"39,253 49.3",,,"42,583",52.1
MAKUENI,"921,168 453,946 467,204",,,,"451,528",49,"217,271 47.9",,,"234,251",50.1
KATHONZWENI,"74,893 36,846 38,044",,,,"36,271",48.4,"17,312 47.0",,,"18,957",49.8
KIBWEZI,"182,688 90,350 92,334",,,,"83,492",45.7,"40,466 44.8",,,"43,024",46.6
KILUNGU,"57,412 27,241 30,170",,,,"26,387",46,"12,116 44.5",,,"14,271",47.3
MAKINDU,"78,427 38,462 39,965",,,,"38,603",49.2,"18,435 47.9",,,"20,168",50.5
MAKUENI SUBCOUNTY,"121,484 60,589 60,893",,,,"66,350",54.6,"32,712 54.0",,,"33,638",55.2
MBOONI EAST,"92,210 45,311 46,896",,,,"45,517",49.4,"21,318 47.0",,,"24,199",51.6
MBOONI WEST,"96,464 46,405 50,058",,,,"45,536",47.2,"20,880 45.0",,,"24,655",49.3
MUKAA,"100,143 50,574 49,569",,,,"52,311",52.2,"26,394 52.2",,,"25,917",52.3
NZAUI,"117,447 58,168 59,275",,,,"57,061",48.6,"27,638 47.5",,,"29,422",49.6
NYANDARUA,"594,649 292,917 301,715",,,,"327,013",55,"158,844 54.2",,,"168,160",55.7
KINANGOP,"103,793 50,836 52,953",,,,"56,632",54.6,"27,314 53.7",,,"29,315",55.4
NYANDARUA SOUTH,"87,189 42,802 44,384",,,,"48,101",55.2,"23,287 54.4",,,"24,811",55.9
MIRANGINE,"62,731 31,220 31,510",,,,"32,150",51.3,"15,958 51.1",,,"16,192",51.4
KIPIPIRI,"87,881 43,161 44,718",,,,"45,878",52.2,"22,316 51.7",,,"23,561",52.7
NYANDARUA CENTRAL,"69,596 34,508 35,087",,,,"39,309",56.5,"19,249 55.8",,,"20,060",57.2
NYANDARUA WEST,"91,217 45,240 45,973",,,,"52,899",58,"25,734 56.9",,,"27,164",59.1
NYANDARUA NORTH,"92,228 45,140 47,086",,,,"52,030",56.4,"24,976 55.3",,,"27,053",57.5
ABERDARE NATIONAL PARK,14 10 4,,,,14,100,10 100.0,,,4,100
NYERI,"709,353 348,266 361,061",,,,"454,881",64.1,"220,124 63.2",,,"234,736",65
TETU,"75,931 37,083 38,846",,,,"48,081",63.3,"23,044 62.1",,,"25,035",64.4
KIENI EAST,"102,812 51,442 51,366",,,,"65,100",63.3,"32,554 63.3",,,"32,542",63.4
KIENI WEST,"82,829 41,026 41,798",,,,"49,810",60.1,"24,457 59.6",,,"25,348",60.6
MATHIRA EAST,"93,027 44,995 48,029",,,,"61,687",66.3,"29,394 65.3",,,"32,290",67.2
MATHIRA WEST,"56,676 27,860 28,813",,,,"35,719",63,"17,067 61.3",,,"18,649",64.7
NYERI SOUTH,"85,827 41,443 44,383",,,,"54,067",63,"25,610 61.8",,,"28,457",64.1
MUKURWE-INI,"83,933 41,386 42,541",,,,"51,594",61.5,"24,717 59.7",,,"26,873",63.2
NYERI CENTRAL,"128,041 62,843 65,196",,,,"88,599",69.2,"43,125 68.6",,,"45,474",69.7
MT. KENYA FOREST,178 118 60,,,,132,74.2,92 78.0,,,40,66.7
ABERDARE FOREST,99 70 29,,,,92,92.9,64 91.4,,,28,96.6
KIRINYAGA,"571,312 281,556 289,729",,,,"350,182",61.3,"171,114 60.8",,,"179,053",61.8
KIRINYAGA CENTRAL,"114,807 55,919 58,884",,,,"73,218",63.8,"35,262 63.1",,,"37,954",64.5
KIRINYAGA EAST,"127,964 63,267 64,689",,,,"79,263",61.9,"38,951 61.6",,,"40,306",62.3
KIRINYAGA WEST,"107,763 52,630 55,129",,,,"66,314",61.5,"31,850 60.5",,,"34,463",62.5
MWEA EAST,"122,344 60,740 61,598",,,,"74,416",60.8,"36,804 60.6",,,"37,608",61.1
MWEA WEST,"98,400 48,976 49,419",,,,"56,940",57.9,"28,224 57.6",,,"28,714",58.1
MT. KENYA FOREST,34 24 10,,,,31,91.2,23 95.8,,,8,80
MURANG'A,"988,224 488,689 499,505",,,,"567,538",57.4,"274,225 56.1",,,"293,301",58.7
MURANG'A EAST,"101,606 49,826 51,779",,,,"62,035",61.1,"29,618 59.4",,,"32,417",62.6
KANGEMA,"75,668 37,165 38,500",,,,"45,821",60.6,"21,719 58.4",,,"24,101",62.6
MATHIOYA,"87,438 42,738 44,699",,,,"50,686",58,"23,916 56.0",,,"26,770",59.9
KAHURO,"83,338 40,864 42,467",,,,"48,925",58.7,"23,155 56.7",,,"25,767",60.7
MURANG'A SOUTH,"172,158 85,252 86,901",,,,"97,115",56.4,"47,344 55.5",,,"49,768",57.3
GATANGA,"175,723 88,134 87,586",,,,"99,119",56.4,"49,053 55.7",,,"50,064",57.2
KIGUMO,"128,481 63,728 64,750",,,,"72,183",56.2,"35,047 55.0",,,"37,135",57.4
KANDARA,"163,770 80,952 82,811",,,,"91,619",55.9,"44,347 54.8",,,"47,270",57.1
ABERDARE FOREST,42 30 12,,,,35,83.3,26 86.7,,,9,75
KIAMBU,"2,231,514 1,092,380 1,139,012",,,,"1,473,583",66,"716,399 65.6",,,"757,094",66.5
GATUNDU NORTH,"102,915 50,634 52,279",,,,"59,090",57.4,"28,435 56.2",,,"30,653",58.6
GATUNDU SOUTH,"114,575 56,630 57,941",,,,"67,388",58.8,"32,708 57.8",,,"34,678",59.9
GITHUNGURI,"155,046 76,874 78,164",,,,"94,071",60.7,"45,966 59.8",,,"48,100",61.5
JUJA,"277,171 136,491 140,658",,,,"188,618",68.1,"92,961 68.1",,,"95,637",68
KABETE,"184,688 90,196 94,478",,,,"126,101",68.3,"60,993 67.6",,,"65,095",68.9
KIAMBAA,"218,165 106,623 111,530",,,,"147,894",67.8,"71,868 67.4",,,"76,019",68.2
KIAMBU SUBCOUNTY,"133,949 63,471 70,464",,,,"92,466",69,"43,173 68.0",,,"49,283",69.9
KIKUYU,"172,833 83,603 89,226",,,,"118,008",68.3,"56,334 67.4",,,"61,670",69.1
LARI,"125,884 62,427 63,454",,,,"72,101",57.3,"35,597 57.0",,,"36,504",57.5
LIMURU,"147,004 73,445 73,559",,,,"91,077",62,"45,490 61.9",,,"45,587",62
RUIRU,"340,681 165,256 175,406",,,,"238,845",70.1,"115,925 70.1",,,"122,906",70.1
THIKA EAST,"35,971 18,224 17,743",,,,"21,836",60.7,"11,114 61.0",,,"10,719",60.4
THIKA WEST,"222,632 108,506 114,110",,,,"156,088",70.1,"75,835 69.9",,,"80,243",70.3
TURKANA,"851,797 439,467 412,311",,,,"141,432",16.6,"79,015 18.0",,,"62,417",15.1
KIBISH,"33,611 17,046 16,564",,,,"1,984",5.9,"1,114 6.5",,,870,5.3
LOIMA,"98,183 49,440 48,743",,,,"10,405",10.6,"5,991 12.1",,,"4,414",9.1
TURKANA CENTRAL,"166,135 82,906 83,229",,,,"46,066",27.7,"25,155 30.3",,,"20,911",25.1
TURKANA EAST,"130,834 72,914 57,908",,,,"17,271",13.2,"9,787 13.4",,,"7,484",12.9
TURKANA NORTH,"59,378 29,770 29,608",,,,"7,427",12.5,"4,280 14.4",,,"3,147",10.6
TURKANA SOUTH,"142,538 72,846 69,688",,,,"26,076",18.3,"14,437 19.8",,,"11,639",16.7
TURKANA WEST,"221,118 114,545 106,571",,,,"32,203",14.6,"18,251 15.9",,,"13,952",13.1
WEST POKOT,"553,584 272,728 280,844",,,,"116,990",21.1,"67,674 24.8",,,"49,315",17.6
KIPKOMO,"91,581 45,307 46,268",,,,"20,782",22.7,"12,001 26.5",,,"8,780",19
POKOT CENTRAL,"106,071 53,164 52,905",,,,"16,135",15.2,"10,306 19.4",,,"5,829",11
POKOT NORTH,"118,673 56,999 61,672",,,,"17,472",14.7,"10,912 19.1",,,"6,560",10.6
POKOT SOUTH,"72,458 35,681 36,775",,,,"18,526",25.6,"10,205 28.6",,,"8,321",22.6
WEST POKOT SUBCOUNTY,"164,801 81,577 83,224",,,,"44,075",26.7,"24,250 29.7",,,"19,825",23.8
SAMBURU,"279,891 141,072 138,814",,,,"76,156",27.2,"39,751 28.2",,,"36,404",26.2
SAMBURU CENTRAL,"149,358 75,738 73,618",,,,"44,521",29.8,"23,407 30.9",,,"21,113",28.7
SAMBURU EAST,"69,944 34,048 35,896",,,,"18,787",26.9,"9,676 28.4",,,"9,111",25.4
SAMBURU NORTH,"60,589 31,286 29,300",,,,"12,848",21.2,"6,668 21.3",,,"6,180",21.1
TRANS NZOIA,"911,209 448,487 462,701",,,,"367,752",40.4,"184,029 41.0",,,"183,716",39.7
TRANS NZOIA WEST,"184,140 91,254 92,883",,,,"76,724",41.7,"39,466 43.2",,,"37,257",40.1
TRANS NZOIA EAST,"212,422 104,721 107,693",,,,"85,493",40.2,"42,115 40.2",,,"43,376",40.3
KWANZA,"188,466 92,532 95,931",,,,"73,829",39.2,"36,704 39.7",,,"37,123",38.7
ENDEBESS,"102,457 51,455 50,999",,,,"31,396",30.6,"17,335 33.7",,,"14,061",27.6
KIMININI,"223,724 108,525 115,195",,,,"100,310",44.8,"48,409 44.6",,,"51,899",45.1
UASIN GISHU,"1,070,335 531,769 538,543",,,,"549,746",51.4,"274,986 51.7",,,"274,746",51
AINABKOI,"127,533 62,850 64,683",,,,"67,016",52.5,"33,157 52.8",,,"33,859",52.3
KAPSERET,"182,852 91,412 91,436",,,,"108,149",59.1,"54,903 60.1",,,"53,243",58.2
KESSES,"137,814 68,811 69,000",,,,"65,210",47.3,"32,655 47.5",,,"32,553",47.2
MOIBEN,"165,378 81,639 83,737",,,,"85,679",51.8,"42,523 52.1",,,"43,155",51.5
SOY,"211,662 105,136 106,521",,,,"96,027",45.4,"47,995 45.7",,,"48,029",45.1
TURBO,"245,096 121,921 123,166",,,,"127,665",52.1,"63,753 52.3",,,"63,907",51.9
ELGEYO/MARAKWET,"418,765 209,151 209,602",,,,"157,287",37.6,"80,892 38.7",,,"76,391",36.4
KEIYO NORTH,"91,430 45,566 45,863",,,,"38,134",41.7,"19,471 42.7",,,"18,663",40.7
KEIYO SOUTH,"112,236 56,593 55,639",,,,"46,433",41.4,"24,089 42.6",,,"22,341",40.2
MARAKWET EAST,"88,986 43,796 45,188",,,,"26,787",30.1,"13,644 31.2",,,"13,142",29.1
