County_slash_Sub_County,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
BOMET EAST,"132,732 65,185 67,541",,,,"50,286",37.9,"24,535 37.6",,,"25,750",38.1
CHEPALUNGU,"152,423 73,652 78,767",,,,"57,580",37.8,"27,485 37.3",,,"30,094",38.2
KONOIN,"152,161 77,411 74,747",,,,"66,620",43.8,"35,439 45.8",,,"31,180",41.7
SOTIK,"211,301 103,882 107,415",,,,"87,112",41.2,"43,427 41.8",,,"43,684",40.7
BOMET CENTRAL,"161,505 80,564 80,937",,,,"69,817",43.2,"35,860 44.5",,,"33,955",42
KAKAMEGA,"1,732,145 828,945 903,166",,,,"708,904",40.9,"334,786 40.4",,,"374,106",41.4
BUTERE,"143,388 68,366 75,019",,,,"57,206",39.9,"26,531 38.8",,,"30,674",40.9
KAKAMEGA CENTRAL,"173,048 84,569 88,477",,,,"92,062",53.2,"45,545 53.9",,,"46,516",52.6
KAKAMEGA EAST,"155,365 74,398 80,963",,,,"65,785",42.3,"30,431 40.9",,,"35,351",43.7
KAKAMEGA NORTH,"221,048 106,855 114,188",,,,"87,449",39.6,"42,499 39.8",,,"44,950",39.4
KAKAMEGA SOUTH,"104,341 49,548 54,793",,,,"44,340",42.5,"20,085 40.5",,,"24,255",44.3
KHWISERO,"106,001 49,957 56,041",,,,"43,719",41.2,"19,481 39.0",,,"24,237",43.2
LIKUYANI,"141,338 68,337 72,998",,,,"60,025",42.5,"28,184 41.2",,,"31,841",43.6
LUGARI,"114,040 54,848 59,192",,,,"48,533",42.6,"22,774 41.5",,,"25,759",43.5
MATETE,"61,383 29,404 31,979",,,,"22,543",36.7,"10,695 36.4",,,"11,848",37
MATUNGU,"154,460 72,733 81,724",,,,"52,927",34.3,"25,003 34.4",,,"27,923",34.2
MUMIAS EAST,"108,468 51,751 56,714",,,,"41,226",38,"19,660 38.0",,,"21,565",38
MUMIAS WEST,"106,473 50,529 55,943",,,,"43,070",40.5,"20,175 39.9",,,"22,894",40.9
NAVAKHOLO,"142,792 67,650 75,135",,,,"50,019",35,"23,723 35.1",,,"26,293",35
VIHIGA,"550,070 263,949 286,112",,,,"237,122",43.1,"107,137 40.6",,,"129,981",45.4
EMUHAYA,"90,814 43,383 47,430",,,,"37,743",41.6,"16,835 38.8",,,"20,907",44.1
VIHIGA SUBCOUNTY,"88,664 42,455 46,207",,,,"39,796",44.9,"17,984 42.4",,,"21,811",47.2
SABATIA,"122,708 58,591 64,116",,,,"54,759",44.6,"24,706 42.2",,,"30,053",46.9
LUANDA,"98,821 47,692 51,127",,,,"42,679",43.2,"19,496 40.9",,,"23,181",45.3
HAMISI,"149,047 71,816 77,228",,,,"62,129",41.7,"28,104 39.1",,,"34,025",44.1
KAKAMEGA FOREST,16 12 4,,,,16,100,12 100.0,,,4,100
BUNGOMA,"1,538,767 745,883 792,851",,,,"566,662",36.8,"279,377 37.5",,,"287,279",36.2
BUMULA,"199,499 95,312 104,186",,,,"66,127",33.1,"32,213 33.8",,,"33,914",32.6
BUNGOMA CENTRAL,"163,799 79,315 84,477",,,,"60,206",36.8,"29,858 37.6",,,"30,346",35.9
BUNGOMA EAST,"106,122 51,497 54,623",,,,"41,818",39.4,"20,200 39.2",,,"21,618",39.6
BUNGOMA NORTH,"111,891 54,098 57,792",,,,"42,855",38.3,"20,312 37.5",,,"22,543",39
BUNGOMA SOUTH,"263,411 126,979 136,427",,,,"114,051",43.3,"56,434 44.4",,,"57,615",42.2
CHEPTAIS,"124,273 61,904 62,363",,,,"33,782",27.2,"18,500 29.9",,,"15,281",24.5
KIMILILI,"149,814 72,387 77,424",,,,"56,147",37.5,"27,121 37.5",,,"29,025",37.5
MT. ELGON,"72,721 35,916 36,802",,,,"22,492",30.9,"11,818 32.9",,,"10,674",29
BUNGOMA WEST,"110,636 53,608 57,027",,,,"37,875",34.2,"18,841 35.1",,,"19,034",33.4
TONGAREN,"92,891 44,960 47,930",,,,"36,289",39.1,"17,123 38.1",,,"19,166",40
WEBUYE WEST,"140,446 68,209 72,234",,,,"54,406",38.7,"26,541 38.9",,,"27,865",38.6
MT. ELGON FOREST,"3,264 1,698 1,566",,,,614,18.8,416 24.5,,,198,12.6
BUSIA,"820,788 388,748 432,013",,,,"315,440",38.4,"152,005 39.1",,,"163,428",37.8
BUNYALA,"79,588 38,196 41,391",,,,"31,819",40,"15,534 40.7",,,"16,284",39.3
BUSIA SUBCOUNTY,"128,002 60,908 67,093",,,,"54,250",42.4,"26,484 43.5",,,"27,766",41.4
BUTULA,"129,739 59,856 69,880",,,,"47,956",37,"21,260 35.5",,,"26,693",38.2
NAMBALE,"103,180 48,653 54,523",,,,"38,074",36.9,"18,040 37.1",,,"20,032",36.7
SAMIA,"99,108 46,819 52,275",,,,"39,683",40,"19,015 40.6",,,"20,668",39.5
TESO NORTH,"126,387 60,543 65,842",,,,"46,335",36.7,"23,115 38.2",,,"23,220",35.3
TESO SOUTH,"154,784 73,773 81,009",,,,"57,323",37,"28,557 38.7",,,"28,765",35.5
SIAYA,"919,461 434,630 484,814",,,,"405,688",44.1,"184,736 42.5",,,"220,943",45.6
SIAYA SUBCOUNTY,"207,196 97,050 110,142",,,,"92,051",44.4,"41,490 42.8",,,"50,558",45.9
GEM,"166,766 79,237 87,525",,,,"72,586",43.5,"33,012 41.7",,,"39,573",45.2
UGENYA,"125,274 58,138 67,132",,,,"52,181",41.7,"22,497 38.7",,,"29,681",44.2
UGUNJA,"96,903 45,246 51,657",,,,"42,988",44.4,"19,163 42.4",,,"23,825",46.1
BONDO,"181,834 87,903 93,928",,,,"84,976",46.7,"40,768 46.4",,,"44,207",47.1
RARIEDA,"141,488 67,056 74,430",,,,"60,906",43,"27,806 41.5",,,"33,099",44.5
KISUMU,"1,061,224 511,739 549,465",,,,"524,515",49.4,"252,715 49.4",,,"271,786",49.5
