,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct
82,TANA RIVER,TANA RIVER,"79,318","29,008 36.6","10,976 13.8","10,532 13.3","28,414 35.8",337,0.4,51,"29,008",36.6,"10,976",13.8,"10,532",13.3,"28,414",35.8
85,LAMU,LAMU,"130,991","50,249 38.4","30,833 23.5","22,762 17.4","26,325 20.1",786,0.6,36,"50,249",38.4,"30,833",23.5,"22,762",17.4,"26,325",20.1
88,LAMU EAST,LAMU EAST,"20,637","7,592 36.8","4,029 19.5","4,189 20.3","4,745 23.0",82,0.4,-,"7,592",36.8,"4,029",19.5,"4,189",20.3,"4,745",23.0
91,LAMU WEST,LAMU WEST,"110,354","42,657 38.7","26,804 24.3","18,573 16.8","21,580 19.6",704,0.6,36,"42,657",38.7,"26,804",24.3,"18,573",16.8,"21,580",19.6
94,TAITA/TAVETA,TAITA/TAVETA,"312,593","116,381 37.2","118,731 38.0","47,998 15.4","28,128 9.0","1,286",0.4,69,"116,381",37.2,"118,731",38.0,"47,998",15.4,"28,128",9.0
97,MWATATE,MWATATE,"76,078","28,635 37.6","27,675 36.4","12,851 16.9","6,765 8.9",143,0.2,9,"28,635",37.6,"27,675",36.4,"12,851",16.9,"6,765",8.9
100,TAITA,TAITA,"52,345","19,302 36.9","22,153 42.3","6,632 12.7","4,059 7.8",197,0.4,2,"19,302",36.9,"22,153",42.3,"6,632",12.7,"4,059",7.8
103,TAVETA,TAVETA,"82,789","31,879 38.5","25,884 31.3","15,410 18.6","9,009 10.9",585,0.7,22,"31,879",38.5,"25,884",31.3,"15,410",18.6,"9,009",10.9
106,VOI,VOI,"101,381","36,565 36.1","43,019 42.4","13,105 12.9","8,295 8.2",361,0.4,36,"36,565",36.1,"43,019",42.4,"13,105",12.9,"8,295",8.2
109,GARISSA,GARISSA,"778,006","132,990 17.1","23,144 3.0","9,508 1.2","584,730 75.2","27,479",3.5,155,"132,990",17.1,"23,144",3.0,"9,508",1.2,"584,730",75.2
112,BALAMBALA,BALAMBALA,"30,885","2,740 8.9",653 2.1,142 0.5,"26,934 87.2",416,1.3,-,"2,740",8.9,653,2.1,142,0.5,"26,934",87.2
115,DADAAB,DADAAB,"171,529","20,883 12.2","3,254 1.9","1,479 0.9","138,363 80.7","7,491",4.4,59,"20,883",12.2,"3,254",1.9,"1,479",0.9,"138,363",80.7
118,FAFI,FAFI,"123,861","15,237 12.3","2,351 1.9","1,334 1.1","102,021 82.4","2,895",2.3,23,"15,237",12.3,"2,351",1.9,"1,334",1.1,"102,021",82.4
121,GARISSA,GARISSA,"148,891","40,562 27.2","12,093 8.1","4,244 2.9","86,046 57.8","5,898",4,48,"40,562",27.2,"12,093",8.1,"4,244",2.9,"86,046",57.8
124,HULUGHO,HULUGHO,"124,947","19,993 16.0","1,347 1.1","1,038 0.8","99,237 79.4","3,324",2.7,8,"19,993",16.0,"1,347",1.1,"1,038",0.8,"99,237",79.4
127,IJARA,IJARA,"131,571","28,963 22.0","3,063 2.3","1,029 0.8","91,781 69.8","6,718",5.1,17,"28,963",22.0,"3,063",2.3,"1,029",0.8,"91,781",69.8
130,LAGDERA,LAGDERA,"46,322","4,612 10.0",383 0.8,242 0.5,"40,348 87.1",737,1.6,-,"4,612",10.0,383,0.8,242,0.5,"40,348",87.1
133,WAJIR,WAJIR,"711,571","132,611 18.6","13,792 1.9","5,489 0.8","549,406 77.2","10,209",1.4,64,"132,611",18.6,"13,792",1.9,"5,489",0.8,"549,406",77.2
136,BUNA,BUNA,"44,083","6,081 13.8",478 1.1,179 0.4,"36,483 82.8",862,2,-,"6,081",13.8,478,1.1,179,0.4,"36,483",82.8
139,ELDAS,ELDAS,"82,187","14,237 17.3",851 1.0,450 0.5,"65,185 79.3","1,464",1.8,-,"14,237",17.3,851,1.0,450,0.5,"65,185",79.3
142,HABASWEIN,HABASWEIN,"158,790","35,144 22.1","3,024 1.9","1,340 0.8","118,608 74.7",650,0.4,24,"35,144",22.1,"3,024",1.9,"1,340",0.8,"118,608",74.7
145,TARBAJ,TARBAJ,"50,653","6,525 12.9",424 0.8,271 0.5,"43,113 85.1",320,0.6,-,"6,525",12.9,424,0.8,271,0.5,"43,113",85.1
148,WAJIR EAST,WAJIR EAST,"101,247","25,940 25.6","5,590 5.5","1,791 1.8","65,460 64.7","2,439",2.4,27,"25,940",25.6,"5,590",5.5,"1,791",1.8,"65,460",64.7
151,WAJIR NORTH,WAJIR NORTH,"55,799","9,690 17.4",827 1.5,354 0.6,"43,773 78.4","1,155",2.1,-,"9,690",17.4,827,1.5,354,0.6,"43,773",78.4
154,WAJIR SOUTH,WAJIR SOUTH,"107,634","15,891 14.8","1,313 1.2",557 0.5,"88,448 82.2","1,412",1.3,13,"15,891",14.8,"1,313",1.2,557,0.5,"88,448",82.2
157,WAJIR WEST,WAJIR WEST,"111,178","19,103 17.2","1,285 1.2",547 0.5,"88,336 79.5","1,907",1.7,-,"19,103",17.2,"1,285",1.2,547,0.5,"88,336",79.5
160,MANDERA,MANDERA,"775,085","168,647 21.8","21,483 2.8","7,222 0.9","555,819 71.7","21,776",2.8,138,"168,647",21.8,"21,483",2.8,"7,222",0.9,"555,819",71.7
163,MANDERA WEST,MANDERA WEST,"86,713","22,717 26.2","1,501 1.7",596 0.7,"60,134 69.3","1,761",2,4,"22,717",26.2,"1,501",1.7,596,0.7,"60,134",69.3
166,BANISA,BANISA,"135,664","20,564 15.2","1,603 1.2",536 0.4,"110,225 81.2","2,735",2,1,"20,564",15.2,"1,603",1.2,536,0.4,"110,225",81.2
169,KOTULO,KOTULO,"63,722","16,578 26.0","1,667 2.6",562 0.9,"43,739 68.6","1,176",1.8,-,"16,578",26.0,"1,667",2.6,562,0.9,"43,739",68.6
172,LAFEY,LAFEY,"74,593","12,181 16.3",928 1.2,395 0.5,"58,134 77.9","2,954",4,1,"12,181",16.3,928,1.2,395,0.5,"58,134",77.9
175,MANDERA CENTRAL,MANDERA CENTRAL,"140,725","34,878 24.8","3,761 2.7","1,536 1.1","96,339 68.5","4,079",2.9,132,"34,878",24.8,"3,761",2.7,"1,536",1.1,"96,339",68.5
178,MANDERA EAST,MANDERA EAST,"144,168","36,560 25.4","9,290 6.4","2,707 1.9","89,821 62.3","5,790",4,-,"36,560",25.4,"9,290",6.4,"2,707",1.9,"89,821",62.3
181,MANDERA NORTH,MANDERA NORTH,"129,500","25,169 19.4","2,733 2.1",890 0.7,"97,427 75.2","3,281",2.5,-,"25,169",19.4,"2,733",2.1,890,0.7,"97,427",75.2
184,MARSABIT,MARSABIT,"409,629","108,132 26.4","25,727 6.3","12,494 3.1","259,725 63.4","3,335",0.8,216,"108,132",26.4,"25,727",6.3,"12,494",3.1,"259,725",63.4
187,LOIYANGALANI,LOIYANGALANI,"31,574","6,673 21.1",964 3.1,634 2.0,"23,141 73.3",162,0.5,-,"6,673",21.1,964,3.1,634,2.0,"23,141",73.3
190,MARSABIT CENTRAL,MARSABIT CENTRAL,"71,619","27,959 39.0","10,705 14.9","4,347 6.1","27,481 38.4","1,127",1.6,-,"27,959",39.0,"10,705",14.9,"4,347",6.1,"27,481",38.4
193,MARSABIT NORTH,MARSABIT NORTH,"45,650","10,319 22.6","1,294 2.8",663 1.5,"33,120 72.6",254,0.6,-,"10,319",22.6,"1,294",2.8,663,1.5,"33,120",72.6
196,MARSABIT SOUTH,MARSABIT SOUTH,"59,493","11,620 19.5","2,332 3.9","1,036 1.7","44,228 74.3",266,0.4,11,"11,620",19.5,"2,332",3.9,"1,036",1.7,"44,228",74.3
199,MOYALE,MOYALE,"97,766","32,258 33.0","6,761 6.9","4,004 4.1","54,087 55.3",645,0.7,11,"32,258",33.0,"6,761",6.9,"4,004",4.1,"54,087",55.3
202,NORTH HORR,NORTH HORR,"62,863","6,587 10.5","1,355 2.2",467 0.7,"53,912 85.8",354,0.6,188,"6,587",10.5,"1,355",2.2,467,0.7,"53,912",85.8
205,SOLOLO,SOLOLO,"40,664","12,716 31.3","2,316 5.7","1,343 3.3","23,756 58.4",527,1.3,6,"12,716",31.3,"2,316",5.7,"1,343",3.3,"23,756",58.4
208,ISIOLO,ISIOLO,"245,462","79,881 32.5","34,817 14.2","14,485 5.9","114,759 46.8","1,483",0.6,37,"79,881",32.5,"34,817",14.2,"14,485",5.9,"114,759",46.8
211,GARBATULLA,GARBATULLA,"92,227","25,147 27.3","6,186 6.7","2,946 3.2","57,317 62.1",619,0.7,12,"25,147",27.3,"6,186",6.7,"2,946",3.2,"57,317",62.1
214,ISIOLO,ISIOLO,"110,631","41,522 37.5","25,668 23.2","9,942 9.0","32,798 29.6",676,0.6,25,"41,522",37.5,"25,668",23.2,"9,942",9.0,"32,798",29.6
217,MERTI,MERTI,"42,604","13,212 31.0","2,963 7.0","1,597 3.7","24,644 57.8",188,0.4,-,"13,212",31.0,"2,963",7.0,"1,597",3.7,"24,644",57.8
220,MERU,MERU,"1,436,400","554,475 38.6","360,142 25.1","301,441 21.0","205,961 14.3","13,999",1,382,"554,475",38.6,"360,142",25.1,"301,441",21.0,"205,961",14.3
223,BUURI EAST,BUURI EAST,"71,784","25,158 35.0","26,395 36.8","13,320 18.6","6,405 8.9",474,0.7,32,"25,158",35.0,"26,395",36.8,"13,320",18.6,"6,405",8.9
226,BUURI WEST,BUURI WEST,"75,344","26,396 35.0","28,001 37.2","14,238 18.9","6,250 8.3",451,0.6,8,"26,396",35.0,"28,001",37.2,"14,238",18.9,"6,250",8.3
229,IGEMBE CENTRAL,IGEMBE CENTRAL,"204,412","84,771 41.5","24,445 12.0","50,589 24.7","41,948 20.5","2,617",1.3,42,"84,771",41.5,"24,445",12.0,"50,589",24.7,"41,948",20.5
232,IGEMBE NORTH,IGEMBE NORTH,"156,536","66,151 42.3","16,939 10.8","29,927 19.1","41,455 26.5","2,014",1.3,50,"66,151",42.3,"16,939",10.8,"29,927",19.1,"41,455",26.5
235,IGEMBE SOUTH,IGEMBE SOUTH,"149,522","56,443 37.7","26,006 17.4","37,957 25.4","26,764 17.9","2,296",1.5,56,"56,443",37.7,"26,006",17.4,"37,957",25.4,"26,764",17.9
238,IMENTI NORTH,IMENTI NORTH,"162,829","55,511 34.1","70,530 43.3","25,379 15.6","10,294 6.3","1,061",0.7,54,"55,511",34.1,"70,530",43.3,"25,379",15.6,"10,294",6.3
241,IMENTI SOUTH,IMENTI SOUTH,"193,742","67,801 35.0","65,743 33.9","43,429 22.4","15,235 7.9","1,517",0.8,17,"67,801",35.0,"65,743",33.9,"43,429",22.4,"15,235",7.9
244,MERU CENTRAL,MERU CENTRAL,"125,670","44,995 35.8","44,593 35.5","24,179 19.2","11,085 8.8",767,0.6,51,"44,995",35.8,"44,593",35.5,"24,179",19.2,"11,085",8.8
247,TIGANIA CENTRAL,TIGANIA CENTRAL,"97,405","41,347 42.4","16,145 16.6","23,752 24.4","15,311 15.7",847,0.9,3,"41,347",42.4,"16,145",16.6,"23,752",24.4,"15,311",15.7
250,TIGANIA EAST,TIGANIA EAST,"67,622","29,551 43.7","11,368 16.8","11,938 17.7","13,941 20.6",769,1.1,55,"29,551",43.7,"11,368",16.8,"11,938",17.7,"13,941",20.6
253,TIGANIA WEST,TIGANIA WEST,"130,798","56,289 43.0","29,571 22.6","26,565 20.3","17,173 13.1","1,186",0.9,14,"56,289",43.0,"29,571",22.6,"26,565",20.3,"17,173",13.1
256,MERU NATIONAL PARK,MERU NATIONAL PARK,294,44 15.0,229 77.9,6 2.0,15 5.1,-,-,-,44,15.0,229,77.9,6,2.0,15,5.1
259,MT. KENYA FOREST,MT. KENYA FOREST,442,18 4.1,177 40.0,162 36.7,85 19.2,-,-,-,18,4.1,177,40.0,162,36.7,85,19.2
262,THARAKA-NITHI,THARAKA-NITHI,"367,574","144,933 39.4","96,834 26.3","82,897 22.6","39,296 10.7","3,543",1,71,"144,933",39.4,"96,834",26.3,"82,897",22.6,"39,296",10.7
265,IGAMBANG'OMBE,IGAMBANG'OMBE,"49,368","20,369 41.3","9,492 19.2","13,284 26.9","5,664 11.5",544,1.1,15,"20,369",41.3,"9,492",19.2,"13,284",26.9,"5,664",11.5
268,MAARA,MAARA,"108,517","37,866 34.9","36,716 33.8","25,656 23.6","7,384 6.8",882,0.8,13,"37,866",34.9,"36,716",33.8,"25,656",23.6,"7,384",6.8
271,MERU SOUTH,MERU SOUTH,"85,236","30,872 36.2","29,636 34.8","18,458 21.7","5,550 6.5",699,0.8,21,"30,872",36.2,"29,636",34.8,"18,458",21.7,"5,550",6.5
274,THARAKA NORTH,THARAKA NORTH,"54,321","23,967 44.1","7,847 14.4","10,367 19.1","10,996 20.2","1,127",2.1,17,"23,967",44.1,"7,847",14.4,"10,367",19.1,"10,996",20.2
277,THARAKA SOUTH,THARAKA SOUTH,"69,972","31,795 45.4","13,065 18.7","15,120 21.6","9,696 13.9",291,0.4,5,"31,795",45.4,"13,065",18.7,"15,120",21.6,"9,696",13.9
280,MT. KENYA FOREST,MT. KENYA FOREST,160,64 40.0,78 48.8,12 7.5,6 3.8,-,-,-,64,40.0,78,48.8,12,7.5,6,3.8
283,EMBU,EMBU,"568,228","205,389 36.1","180,500 31.8","131,329 23.1","48,555 8.5","2,404",0.4,51,"205,389",36.1,"180,500",31.8,"131,329",23.1,"48,555",8.5
286,EMBU EAST,EMBU EAST,"122,079","41,231 33.8","38,387 31.4","31,506 25.8","10,483 8.6",469,0.4,3,"41,231",33.8,"38,387",31.4,"31,506",25.8,"10,483",8.6
289,EMBU NORTH,EMBU NORTH,"75,194","25,255 33.6","24,666 32.8","18,336 24.4","6,717 8.9",216,0.3,4,"25,255",33.6,"24,666",32.8,"18,336",24.4,"6,717",8.9
292,EMBU WEST,EMBU WEST,"116,797","38,642 33.1","47,698 40.8","22,991 19.7","6,955 6.0",502,0.4,9,"38,642",33.1,"47,698",40.8,"22,991",19.7,"6,955",6.0
295,MBEERE SOUTH,MBEERE SOUTH,"152,697","58,147 38.1","45,348 29.7","34,852 22.8","13,558 8.9",762,0.5,30,"58,147",38.1,"45,348",29.7,"34,852",22.8,"13,558",8.9
298,MBEERE NORTH,MBEERE NORTH,"101,440","42,114 41.5","24,381 24.0","23,643 23.3","10,842 10.7",455,0.4,5,"42,114",41.5,"24,381",24.0,"23,643",23.3,"10,842",10.7
301,MT. KENYA FOREST,MT. KENYA FOREST,21,- -,20 95.2,1 4.8,- -,-,-,-,-,-,20,95.2,1,4.8,-,-
304,KITUI,KITUI,"1,056,907","490,726 46.4","265,238 25.1","152,030 14.4","136,969 13.0","11,795",1.1,149,"490,726",46.4,"265,238",25.1,"152,030",14.4,"136,969",13.0
307,IKUTHA,IKUTHA,"77,563","39,676 51.2","15,378 19.8","11,877 15.3","9,400 12.1","1,229",1.6,3,"39,676",51.2,"15,378",19.8,"11,877",15.3,"9,400",12.1
310,KATULANI,KATULANI,"44,328","18,641 42.1","13,632 30.8","6,425 14.5","4,896 11.0",734,1.7,-,"18,641",42.1,"13,632",30.8,"6,425",14.5,"4,896",11.0
313,KISASI,KISASI,"43,226","19,501 45.1","10,676 24.7","7,396 17.1","5,286 12.2",360,0.8,7,"19,501",45.1,"10,676",24.7,"7,396",17.1,"5,286",12.2
316,KITUI CENTRAL,KITUI CENTRAL,"97,406","39,644 40.7","35,837 36.8","13,394 13.8","7,671 7.9",852,0.9,8,"39,644",40.7,"35,837",36.8,"13,394",13.8,"7,671",7.9
319,KITUI WEST,KITUI WEST,"66,202","29,215 44.1","21,826 33.0","8,742 13.2","5,922 8.9",497,0.8,-,"29,215",44.1,"21,826",33.0,"8,742",13.2,"5,922",8.9
322,KYUSO,KYUSO,"71,052","34,600 48.7","12,965 18.2","11,286 15.9","11,140 15.7","1,053",1.5,8,"34,600",48.7,"12,965",18.2,"11,286",15.9,"11,140",15.7
325,LOWER YATTA,LOWER YATTA,"59,184","26,585 44.9","14,826 25.1","9,950 16.8","6,806 11.5","1,011",1.7,6,"26,585",44.9,"14,826",25.1,"9,950",16.8,"6,806",11.5
328,MATINYANI,MATINYANI,"44,779","19,193 42.9","14,153 31.6","6,715 15.0","4,437 9.9",281,0.6,-,"19,193",42.9,"14,153",31.6,"6,715",15.0,"4,437",9.9
331,MIGWANI,MIGWANI,"73,803","33,664 45.6","23,025 31.2","8,964 12.1","7,271 9.9",855,1.2,24,"33,664",45.6,"23,025",31.2,"8,964",12.1,"7,271",9.9
334,MUMONI,MUMONI,"27,319","13,808 50.5","4,787 17.5","4,817 17.6","3,647 13.3",258,0.9,2,"13,808",50.5,"4,787",17.5,"4,817",17.6,"3,647",13.3
337,MUTITU,MUTITU,"51,464","25,958 50.4","8,943 17.4","6,259 12.2","9,577 18.6",678,1.3,49,"25,958",50.4,"8,943",17.4,"6,259",12.2,"9,577",18.6
340,MUTITU NORTH,MUTITU NORTH,"19,815","9,275 46.8","4,869 24.6","2,857 14.4","2,657 13.4",152,0.8,5,"9,275",46.8,"4,869",24.6,"2,857",14.4,"2,657",13.4
343,MUTOMO,MUTOMO,"105,422","51,247 48.6","21,277 20.2","14,541 13.8","17,523 16.6",828,0.8,6,"51,247",48.6,"21,277",20.2,"14,541",13.8,"17,523",16.6
346,MWINGI CENTRAL,MWINGI CENTRAL,"100,501","46,035 45.8","26,978 26.8","13,360 13.3","13,107 13.0","1,007",1,14,"46,035",45.8,"26,978",26.8,"13,360",13.3,"13,107",13.0
349,MWINGI EAST,MWINGI EAST,"79,205","39,172 49.5","14,419 18.2","10,957 13.8","13,537 17.1","1,103",1.4,17,"39,172",49.5,"14,419",18.2,"10,957",13.8,"13,537",17.1
352,NZAMBANI,NZAMBANI,"43,682","19,051 43.6","12,982 29.7","6,592 15.1","4,717 10.8",340,0.8,-,"19,051",43.6,"12,982",29.7,"6,592",15.1,"4,717",10.8
355,THAGICU,THAGICU,"14,025","6,905 49.2","2,593 18.5","2,280 16.3","2,182 15.6",65,0.5,-,"6,905",49.2,"2,593",18.5,"2,280",16.3,"2,182",15.6
358,TSEIKURU,TSEIKURU,"37,931","18,556 48.9","6,072 16.0","5,618 14.8","7,193 19.0",492,1.3,-,"18,556",48.9,"6,072",16.0,"5,618",14.8,"7,193",19.0
361,MACHAKOS,MACHAKOS,"1,327,172","505,677 38.1","519,446 39.1","203,283 15.3","86,929 6.5","11,638",0.9,199,"505,677",38.1,"519,446",39.1,"203,283",15.3,"86,929",6.5
364,ATHI RIVER,ATHI RIVER,"295,790","98,497 33.3","151,215 51.1","32,500 11.0","10,789 3.6","2,662",0.9,127,"98,497",33.3,"151,215",51.1,"32,500",11.0,"10,789",3.6
367,KALAMA,KALAMA,"51,542","19,779 38.4","19,205 37.3","6,915 13.4","5,181 10.1",461,0.9,1,"19,779",38.4,"19,205",37.3,"6,915",13.4,"5,181",10.1
370,KANGUNDO,KANGUNDO,"92,505","35,182 38.0","34,196 37.0","17,672 19.1","5,041 5.4",412,0.4,2,"35,182",38.0,"34,196",37.0,"17,672",19.1,"5,041",5.4
373,KATHIANI,KATHIANI,"105,562","42,712 40.5","36,686 34.8","18,540 17.6","6,877 6.5",734,0.7,13,"42,712",40.5,"36,686",34.8,"18,540",17.6,"6,877",6.5
376,MACHAKOS,MACHAKOS,"158,036","54,322 34.4","75,229 47.6","19,480 12.3","7,820 4.9","1,170",0.7,15,"54,322",34.4,"75,229",47.6,"19,480",12.3,"7,820",4.9
379,MASINGA,MASINGA,"138,933","59,688 43.0","38,008 27.4","26,094 18.8","13,506 9.7","1,621",1.2,16,"59,688",43.0,"38,008",27.4,"26,094",18.8,"13,506",9.7
