school,tuition_in_shillings 
Makini Ngong Road Academy,196200
Fred's Academy,67400
Pleasant View Academy,24000
Gilgil Hills Academy,47000
Premese Makueni Academy,28700
Sally Ann School,40500
Acacia Crest Academy,136150
Chemitan Academy,27000
High Peak,66000
Lily Academy,29790
